Nr,In gebruik,Vraag NL,Antwoord,Bron,Uitkomst,Bewijszin
113,puzzel,Hoeveel chromosomenparen heeft een mens?,23,https://www.genome.gov/genetics-glossary/Chromosome,niet gevonden,
114,puzzel,Hoeveel haren heeft een mens gemiddeld op zijn hoofd (afgerond)?,100000,https://health.clevelandclinic.org/how-many-hairs-on-your-head,onbereikbaar,HTTP 404
115,puzzel,Hoeveel hartkleppen heeft het menselijk hart?,4,https://www.heart.org/en/health-topics/heart-valve-problems/about-heart-valve-problems,onbereikbaar,HTTP 403
116,puzzel,Hoeveel kamers heeft het menselijk hart?,4,https://www.nhlbi.nih.gov/health/heart,niet gevonden,
117,puzzel,Hoeveel melktanden heeft een kind in een compleet melkgebit?,20,https://www.mouthhealthy.org/all-topics-a-z/eruption-charts,bevestigd,"At birth people usually have 20 baby (primary) teeth, which start to come in (erupt) at about 6 months of age."
118,puzzel,Hoeveel miljard hartslagen maakt een mensenhart in een gemiddeld leven van 80 jaar?,3,https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates,onbereikbaar,HTTP 403
119,puzzel,Hoeveel milliliter speeksel produceert een mens gemiddeld per dag?,1200,https://whc.unesco.org/en/list/1613/,onbereikbaar,HTTP 403
120,puzzel,Hoeveel paar ribben heeft een mens normaal?,12,https://health.clevelandclinic.org/how-many-ribs-do-humans-have,onbereikbaar,HTTP 404
121,puzzel,Hoeveel smaakpapillen heeft een menselijke tong ongeveer?,10000,https://www.nidcd.nih.gov/health/taste-disorders,bevestigd,"At birth, you have about 10,000 taste buds, but after age 50, you may start to lose them."
124,puzzel,In welk jaar werd de eerste reageerbuisbaby geboren?,1978,https://www.hfea.gov.uk/about-us/our-history/,onbereikbaar,HTTP 404
126,puzzel,In welk jaar werd de eerste succesvolle orgaantransplantatie uitgevoerd?,1954,https://www.nobelprize.org/prizes/physiology-or-medicine/1990/summary/,onbereikbaar,HTTP 404
127,puzzel,In welk jaar werd de eerste volledige sequentie van het menselijke genoom gepubliceerd?,2003,https://www.genome.gov/human-genome-project/Completion-FAQ,getal gezien,"In 2003, the Human Genome Project produced a genome sequence that accounted for over 90% of the human genome."
128,puzzel,Wat is de totale geschatte lengte van alle bloedvaten in een volwassen menselijk lichaam in kilometers?,100000,No single exact measurement; commonly cited estimate.,geen url,No single exact measurement; commonly cited estimate.
131,puzzel,Hoeveel boeken bevat de Harry Potter-hoofdserie?,7,https://www.britannica.com/topic/Harry-Potter,onbereikbaar,HTTP 403
132,puzzel,Hoeveel boeken bevat de gepubliceerde hoofdserie A Song of Ice and Fire?,5,https://www.britannica.com/topic/A-Song-of-Ice-and-Fire,onbereikbaar,HTTP 403
137,puzzel,Hoeveel hoofdstukken bevat Animal Farm?,10,https://www.britannica.com/topic/Animal-Farm,onbereikbaar,HTTP 403
138,puzzel,Hoeveel komedies schreef Shakespeare volgens de traditionele genre-indeling?,14,https://www.folger.edu/explore/shakespeares-works/,niet gevonden,
140,puzzel,Hoeveel snaren heeft een standaard concert-pedaalharp?,47,https://www.britannica.com/topic/Divine-Comedy,onbereikbaar,HTTP 403
142,puzzel,Hoeveel werken schreef William Shakespeare volgens de meest gebruikte telling?,39,https://www.britannica.com/biography/William-Shakespeare,onbereikbaar,HTTP 403
143,puzzel,Hoeveel zangen telt Dante’s Inferno?,34,https://www.britannica.com/topic/Inferno,onbereikbaar,HTTP 403
146,puzzel,Hoeveel poten heeft een standaard statief?,3,https://www.britannica.com/technology/tripod,onbereikbaar,HTTP 403
148,puzzel,Hoeveel armen heeft de gewone vijfarmige zeester?,5,https://oceanservice.noaa.gov/facts/seastars.html,niet gevonden,
149,puzzel,Hoeveel bulten heeft een dromedaris?,1,https://animals.sandiegozoo.org/animals/camel,bevestigd,"Sounds Camel LIFE SPAN Median life expectancy is 17.8 years YOUNG Gestation: 12 to 14 months Number of young: 1, rarely 2 Maturity: Females at 3 years, males 5 to 7 years old SIZE Bactrian: 10 to 11.5 feet (3.2 to 3.5 meters) long; 5.2 to 5.9 feet (1.6 to 1.8 meters) tall at shoulder; weighs 990 to 1,100 pounds (450 to"
150,puzzel,Hoeveel bulten heeft een kameel?,2,https://animals.sandiegozoo.org/animals/camel,bevestigd,"Sounds Camel LIFE SPAN Median life expectancy is 17.8 years YOUNG Gestation: 12 to 14 months Number of young: 1, rarely 2 Maturity: Females at 3 years, males 5 to 7 years old SIZE Bactrian: 10 to 11.5 feet (3.2 to 3.5 meters) long; 5.2 to 5.9 feet (1.6 to 1.8 meters) tall at shoulder; weighs 990 to 1,100 pounds (450 to"
151,puzzel,Hoeveel harten heeft een octopus?,3,https://ocean.si.edu/ocean-life/invertebrates/octopus,onbereikbaar,HTTP 403
152,puzzel,Hoeveel kamers heeft de maag van een koe?,4,https://www.merckvetmanual.com/digestive-system/the-gastrointestinal-system-of-ruminants/overview-of-the-gastrointestinal-system-of-ruminants,onbereikbaar,HTTP 404
153,puzzel,Hoeveel kamers heeft het hart van een kakkerlak?,13,https://www.britannica.com/animal/cockroach,onbereikbaar,HTTP 403
154,puzzel,Hoeveel kamers heeft het hart van een krokodil?,4,https://www.britannica.com/animal/crocodilian,onbereikbaar,HTTP 403
155,puzzel,Hoeveel keer per minuut klopt het hart van een kolibrie tijdens het vliegen maximaal?,1200,https://whc.unesco.org/en/list/1314/,onbereikbaar,HTTP 403
158,puzzel,Hoeveel maagcompartimenten heeft een schaap?,4,https://www.merckvetmanual.com/digestive-system/the-gastrointestinal-system-of-ruminants/overview-of-the-gastrointestinal-system-of-ruminants,onbereikbaar,HTTP 404
159,puzzel,Hoeveel ogen heeft een bij?,5,https://www.britannica.com/animal/bee,onbereikbaar,HTTP 403
161,puzzel,Hoeveel paar chromosomen heeft een kat?,19,https://www.genome.gov/10002154,onbereikbaar,HTTP 404
162,puzzel,Hoeveel poten heeft een kreeftachtige van de orde Isopoda?,14,https://www.britannica.com/animal/isopod,onbereikbaar,HTTP 403
163,puzzel,Hoeveel poten heeft een spin?,8,https://nationalzoo.si.edu/animals/spider,onbereikbaar,HTTP 404
165,puzzel,Hoeveel vleugels heeft een bij?,4,https://www.ars.usda.gov/oc/pubs/afm/afm0720.pdf,onbereikbaar,HTTP 404
166,puzzel,Hoeveel vleugels heeft een kever?,4,https://www.britannica.com/animal/beetle,onbereikbaar,HTTP 403
167,puzzel,Hoeveel vleugelslagen per seconde kan een kolibrie in volle vlucht maken?,80,https://nationalzoo.si.edu/animals/animal-facts/hummingbird,onbereikbaar,HTTP 404
168,puzzel,Wat weegt het hart van een volwassen Blauwe Vinvis in kilogram?,180,https://ocean.si.edu/ocean-life/marine-mammals/blue-whale,onbereikbaar,HTTP 403
169,puzzel,Hoeveel EU-landen voerden de euro in bij de start van de euro in 1999?,21,https://www.ecb.europa.eu/euro/changeover/2002/html/index.en.html,niet gevonden,
170,puzzel,Hoeveel bitcoins kunnen er maximaal worden gecreëerd?,21000000,https://bitcoin.org/bitcoin.pdf,niet gevonden,
171,puzzel,Hoeveel individuele landen telt de G20?,19,https://www.g20.org/en/about-g20/,onbereikbaar,HTTP 404
172,puzzel,Hoeveel landen gebruiken de CFA-frank in West- en Centraal-Afrika samen?,14,https://www.bceao.int/en/content/west-african-cfa-franc,getal gezien,Read more Mandates Organs Institutional Framework Statutory bodies of BCEAO The Governor The Monetary Policy Committee The Board of Directors The Audit Committee National Credit Councils Banknotes and Coins History of the CFA franc The CFA franc is the common currency of the 14 African countries belonging to the Franc 
174,puzzel,Hoeveel landen vormen de G20?,19,https://www.g20.org/en/about-g20/,onbereikbaar,HTTP 404
176,puzzel,Hoeveel leden heeft de G7?,7,https://www.g7italy.it/en/about-g7/,getal gezien,"In 1976, with the admission of Canada, the G7 took its current configuration."
180,puzzel,In welk jaar werd de New York Stock Exchange opgericht?,1792,https://www.nyse.com/history-of-the-nyse,onbereikbaar,HTTP 404
182,puzzel,Hoeveel basis-ingrediënten heeft een klassieke pizza Margherita?,3,https://www.pizzanapoletana.org/en/associazione_pizza_napoletana,niet gevonden,
184,puzzel,Hoeveel gram koolhydraten bevat een Amerikaanse McDonald’s Big Mac?,45,https://www.mcdonalds.com/us/en-us/product/big-mac.html,onbereikbaar,The read operation timed out
185,puzzel,Hoeveel gram koolhydraten bevat een Amerikaanse McDonald’s cheeseburger?,31,https://www.mcdonalds.com/us/en-us/product/cheeseburger.html,onbereikbaar,The read operation timed out
189,puzzel,Hoeveel rundvleesburgers verkocht McDonald’s wereldwijd in 2023?,44000000000,https://corporate.mcdonalds.com/corpmcd/our-company/annual-reports.html,onbereikbaar,The read operation timed out
192,puzzel,Hoeveel vakken heeft een klassieke eierdoos meestal?,12,https://www.incredibleegg.org/eggcyclopedia/c/carton/,onbereikbaar,HTTP 404
209,puzzel,Hoeveel Titanen (eerste generatie goden) kent de Griekse mythologie doorgaans?,12,https://www.galleriaaccademiafirenze.it/en/artworks/david-michelangelo/,onbereikbaar,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unabl
210,puzzel,Hoeveel delen bevat Plato’s De Staat?,10,https://www.britannica.com/topic/Republic,onbereikbaar,HTTP 403
211,puzzel,Hoeveel gebeden per dag schrijft de islamitische traditie voor?,5,https://www.britannica.com/topic/salat,onbereikbaar,HTTP 403
215,puzzel,Hoeveel werelden verbindt de wereldboom Yggdrasil in de Noorse mythologie?,9,https://www.canada.ca/en/intergovernmental-affairs/services/provinces-territories.html,niet gevonden,
216,puzzel,Hoeveel zuilen kent de islam?,5,https://www.britannica.com/topic/Five-Pillars-of-Islam,onbereikbaar,HTTP 403
218,puzzel,Hoeveel beelden staan er op de top van de Brandenburger Tor?,5,https://www.berlin.de/en/attractions-and-sights/3560266-3104050-brandenburg-gate.en.html,bevestigd,Skip map City map End of map view Address Pariser Platz 1 10117 Berlin City map Opening Hours accessible for visitors at any time Accessibility barrier-free Admission Fee free Public transportation Train (S-Bahn) S+U Brandenburger Tor 0.3km S1 S2 S25 S26 Underground S+U Brandenburger Tor 0.2km U5 Bus Reichstag/Bundesta
219,puzzel,Hoeveel bogen heeft de Romeinse brug Pont du Gard in de onderste booglaag?,6,https://whc.unesco.org/en/list/344/,onbereikbaar,HTTP 403
221,puzzel,Hoeveel centimeter zet de Eiffeltoren uit op een hete zomerdag?,15,https://whc.unesco.org/en/list/1187/,onbereikbaar,HTTP 403
222,puzzel,Hoeveel jaar duurde de bouw van de Hagia Sophia?,5,https://muze.gen.tr/muze-detay/ayasofya,niet gevonden,
223,puzzel,Hoeveel jaar duurde de bouw van de Taj Mahal?,21,https://asi.nic.in/taj-mahal/,getal gezien,21-09-2026 SUPPLY OF MATERIALS UNDER UP-GRADATION AND RE ...
225,puzzel,"Hoeveel kilogram weegt de Great Bell, de grote klok van Big Ben?",13700,https://whc.unesco.org/en/list/1613/,onbereikbaar,HTTP 403
226,puzzel,Hoeveel klinknagels houden de metalen delen van de Eiffeltoren bij elkaar?,2500000,https://www.toureiffel.paris/en/the-monument/key-figures,niet gevonden,
227,puzzel,Hoeveel klinknagels zaten er naar schatting in de romp van de Titanic?,3000000,https://whc.unesco.org/en/list/1321/,onbereikbaar,HTTP 403
231,puzzel,Hoeveel meter hoog is Taipei 101?,508,https://www.taipei-101.com.tw/en/observatory/about,onbereikbaar,HTTP 404
233,puzzel,Hoeveel meter hoog is het hoogste punt van het Millauviaduct?,343,https://www.leviaducdemillau.com/en/,onbereikbaar,HTTP 404
235,puzzel,Hoeveel meter lang is de Akashi Kaikyōbrug in Japan?,3911,https://www.jb-honshi.co.jp/english/,niet gevonden,
237,puzzel,Hoeveel meter lang is het Millauviaduct in Frankrijk?,2460,https://www.leviaducdemillau.com/en/,onbereikbaar,HTTP 404
238,puzzel,Hoeveel miljoen kubieke meter aarde werd er uitgegraven voor de bouw van het Panamakanaal?,210,https://whc.unesco.org/en/list/1321/,onbereikbaar,HTTP 403
240,puzzel,Hoeveel minaretten heeft de Taj Mahal?,4,https://asi.nic.in/taj-mahal/,niet gevonden,
241,puzzel,Hoeveel piramides vormen het belangrijkste piramidecomplex van Gizeh?,3,https://www.britannica.com/place/Pyramids-of-Giza,onbereikbaar,HTTP 403
244,puzzel,Hoeveel torens heeft de Sagrada Família volgens het voltooide ontwerp?,18,https://sagradafamilia.org/en/the-basilica,onbereikbaar,HTTP 404
246,puzzel,Hoeveel traptreden beklim je naar de 86e verdieping van het Empire State Building?,1576,https://www.esbnyc.com/about/facts-figures,niet gevonden,
247,puzzel,Hoeveel treden telt de wenteltrap in het Vrijheidsbeeld naar de kroon?,354,https://www.nps.gov/stli/learn/historyculture/statue-statistics.htm,niet gevonden,
251,puzzel,Hoeveel zware stenen kalksteenblokken zijn er gebruikt om de Grote Piramide van Gizeh (Cheops) te bouwen?,2300000,https://www.britannica.com/topic/Great-Pyramid-of-Giza,onbereikbaar,HTTP 403
252,puzzel,Uit hoeveel afzonderlijke onderdelen bestaat de UNESCO-site van Le Corbusier?,17,UNESCO World Heritage Centre — Architectural Work of Le Corbusier,geen url,UNESCO World Heritage Centre — Architectural Work of Le Corbusier
257,puzzel,Door hoeveel landen loopt het UNESCO-werelderfgoedgebied de Waddenzee?,3,UNESCO World Heritage Centre — Wadden Sea,geen url,UNESCO World Heritage Centre — Wadden Sea
258,puzzel,Hoe diep is de Grand Canyon op het diepste punt ongeveer?,1857,https://www.nps.gov/grca/learn/nature/facts.htm,onbereikbaar,HTTP 404
259,puzzel,Hoeveel actieve vulkanen zijn er op aarde naar schatting?,1350,https://volcano.si.edu/,onbereikbaar,HTTP 403
265,puzzel,Hoeveel kilometer lang is Japan van noord naar zuid ongeveer?,3000,https://www.britannica.com/place/Japan,onbereikbaar,HTTP 403
267,puzzel,Hoeveel kilometer lang is de Mississippi ongeveer?,3766,https://www.britannica.com/place/Mississippi-River,onbereikbaar,HTTP 403
268,puzzel,Hoeveel kilometer lang is de Yangtze ongeveer?,6300,https://www.britannica.com/place/Yangtze-River,onbereikbaar,HTTP 403
269,puzzel,Hoeveel kilometer lang is de kustlijn van Japan ongeveer?,29750,https://www.stat.go.jp/english/data/handbook/c0117.html,onbereikbaar,HTTP 404
271,puzzel,"Hoeveel kilometer lang is de langste grot ter wereld, Mammoth Cave, ongeveer?",685,https://www.nps.gov/maca/learn/nature/index.htm,niet gevonden,
273,puzzel,Hoeveel kilometer lang is het Himalayagebergte ongeveer?,2500,https://www.britannica.com/place/Himalayas,onbereikbaar,HTTP 403
274,puzzel,Hoeveel kilometer lang is het Victoriameer ongeveer?,337,https://www.britannica.com/place/Lake-Victoria,onbereikbaar,HTTP 403
275,puzzel,Hoeveel landen delen het eiland Borneo?,3,https://www.britannica.com/place/Borneo-island,onbereikbaar,HTTP 403
276,puzzel,Hoeveel landen grenzen aan Duitsland?,9,https://www.auswaertiges-amt.de/en/aussenpolitik/laenderinformationen,niet gevonden,
278,puzzel,Hoeveel landen grenzen aan de Rode Zee?,6,https://www.britannica.com/place/Red-Sea,onbereikbaar,HTTP 403
279,puzzel,Hoeveel landen grenzen aan het Victoriameer?,3,https://www.britannica.com/place/Lake-Victoria,onbereikbaar,HTTP 403
281,puzzel,Hoeveel landen liggen aan de Adriatische Zee?,6,https://www.britannica.com/place/Adriatic-Sea,onbereikbaar,HTTP 403
282,puzzel,Hoeveel landen liggen aan het Meer van Genève?,2,https://www.britannica.com/place/Lake-Geneva,onbereikbaar,HTTP 403
283,puzzel,Hoeveel landen liggen aan het Titicacameer?,2,https://www.britannica.com/place/Lake-Titicaca,onbereikbaar,HTTP 403
284,puzzel,Hoeveel landen liggen volledig op het zuidelijk halfrond?,32,World Atlas is not definitive; classification depends on boundary convention.,geen url,World Atlas is not definitive; classification depends on boundary convention.
285,puzzel,Hoeveel landen telt Zuid-Amerika?,12,https://www.britannica.com/place/South-America,onbereikbaar,HTTP 403
287,puzzel,Hoeveel landen vormen het Verenigd Koninkrijk?,4,https://www.parliament.uk/about/how/role/relations-with-other-institutions/devolved/,onbereikbaar,HTTP 403
288,puzzel,Hoeveel liter water stroomt er gemiddeld per seconde over de Niagarawatervallen?,2400000,https://unesdoc.unesco.org/en/archives/about-unesco-history-and-mission,onbereikbaar,HTTP 403
289,puzzel,Hoeveel meter diep is het Victoriameer op het diepste punt ongeveer?,84,https://www.britannica.com/place/Lake-Victoria,onbereikbaar,HTTP 403
295,puzzel,Hoeveel staten heeft Australië?,6,https://www.australia.gov.au/about-australia/our-country/states-and-territories,niet gevonden,
299,puzzel,Hoeveel vierkante kilometer is de Sahara ongeveer groot?,9200000,https://www.britannica.com/place/Sahara-desert-Africa,onbereikbaar,HTTP 403
301,puzzel,Hoeveel vierkante kilometer is de oppervlakte van Japan ongeveer?,378000,https://www.stat.go.jp/english/data/handbook/c0117.html,onbereikbaar,HTTP 404
302,puzzel,Hoeveel vierkante kilometer is het Arctische zee-ijs in de zomer ongeveer minimaal?,4000000,https://nsidc.org/arcticseaicenews/,niet gevonden,
306,puzzel,In welk jaar werd de eerste volledige kaart van de wereldbol gemaakt?,1492,https://www.britannica.com/science/cartography,onbereikbaar,HTTP 403
307,puzzel,Op welke hoogte ligt het Titicacameer ongeveer boven zeeniveau?,3810,https://www.britannica.com/place/Lake-Titicaca,onbereikbaar,HTTP 403
310,puzzel,Hoeveel afgevaardigden ondertekenden de Amerikaanse Grondwet?,39,https://www.archives.gov/founding-docs/constitution,niet gevonden,
312,puzzel,Hoeveel componenten telt het UNESCO-deel van de Neder-Germaanse Limes?,102,UNESCO World Heritage Centre — Lower German Limes,geen url,UNESCO World Heritage Centre — Lower German Limes
313,puzzel,Hoeveel dynastieën kent de traditionele indeling van het oude Egypte?,31,https://www.britannica.com/place/ancient-Egypt,onbereikbaar,HTTP 403
314,puzzel,Hoeveel farao’s hadden de drie grote piramides van Gizeh als opdrachtgever?,3,https://www.britannica.com/place/Pyramids-of-Giza,onbereikbaar,HTTP 403
315,puzzel,Hoeveel farao’s waren er volgens de traditionele telling tijdens de 18e dynastie van Egypte?,14,https://www.britannica.com/topic/18th-dynasty-Egypt,onbereikbaar,HTTP 403
318,puzzel,Hoeveel jaar duurde de regering van Elizabeth II?,70,https://www.royal.uk/queen-elizabeth-ii,onbereikbaar,HTTP 403
319,puzzel,Hoeveel jaar duurden de Punische oorlogen samen?,118,https://www.britannica.com/event/Punic-Wars,onbereikbaar,HTTP 403
