Nr,Status,Vraag NL,Antwoord,Bron,Artikel,Bewijszin,Toelichting,Gevonden via
187,niet gevonden,Hoeveel kcal heeft een middelgroot ei?,70,,,,,
188,niet gevonden,Hoeveel minuten kook je een ei voor een zacht gekookt ei?,6,,,,,
190,niet gevonden,Hoeveel shotjes espresso zitten er in een cappuccino?,1,,,,,
195,niet gevonden,Hoeveel afleveringen telt de Amerikaanse versie van The Office?,201,,,,,
196,bevestigd,Hoeveel afleveringen telt de originele Britse serie The Office (inclusief specials)?,14,https://nl.wikipedia.org/wiki/The_Office,The Office,| afleveringen = 14 ( Lijst van afleveringen van The Office|lijst van afleveringen ),"infobox-veld ""afleveringen"" bevat het antwoord",artikel: The Office
197,bevestigd,Hoeveel afleveringen telt de serie Friends in totaal?,236,https://en.wikipedia.org/wiki/Friends,Friends,| num_episodes = 236 (+ 1 special),"infobox-veld ""num_episodes"" bevat het antwoord",artikel: Friends
198,bevestigd,Hoeveel afleveringen telt de serie Game of Thrones?,73,https://nl.wikipedia.org/wiki/Game_of_Thrones,Game of Thrones,| afleveringen = 73 ( Lijst van afleveringen van Game of Thrones|lijst van afleveringen ),"infobox-veld ""afleveringen"" bevat het antwoord",artikel: Game of Thrones
200,niet gevonden,Hoeveel boeken bevat de originele The Hunger Games-trilogie?,3,,,,,
201,niet gevonden,Hoeveel delen telt de originele The Godfather-filmreeks?,3,,,,,
202,niet gevonden,Hoeveel films regisseerde Christopher Nolan vóór Oppenheimer?,11,,,,,
204,niet gevonden,Hoeveel films telt de originele The Matrix-trilogie?,3,,,,,
207,bevestigd,Hoeveel seizoenen telt The Simpsons?,35,https://en.wikipedia.org/wiki/The_Simpsons_season_35,The Simpsons season 35,"== References ==


== External links ==

Official website
The Simpsons season 35 at IMDb",getal staat in een zin over het onderwerp,zoekopdracht: The Simpsons 35
264,niet gevonden,Hoeveel inwoners heeft Monaco?,39000,,,,,
291,niet gevonden,Hoeveel officiële inwoners heeft Vaticaanstad?,800,,,,,
311,niet gevonden,Hoeveel chromosomen telt een gezonde menselijke cel?,46,,,,,
344,niet gevonden,Wat is de autorij-afstand van Amsterdam naar Parijs in km?,510,,,,,
346,bevestigd,Hoeveel centimeter hoog is de Mona Lisa?,77,https://nl.wikipedia.org/wiki/Mona_Lisa,Mona Lisa,| hoogte = 77,"infobox-veld ""hoogte"" bevat het antwoord",artikel: Mona Lisa
352,bevestigd,Hoeveel meter hoog is het Vrijheidsbeeld inclusief voetstuk?,93,https://nl.wikipedia.org/wiki/Vrijheidsbeeld_%28New_York%29,Vrijheidsbeeld (New York),"== Kenmerken ==
Het 46 meter hoge beeld (93 meter als de sokkel wordt meegerekend) met een gewicht van 225 ton was een geschenk van Frankrijk ter ere van het eeuwfeest van de Amerikaanse Onafhankelijkheidsverklaring en ook als teken van vriendschap.",getal staat bij het gevraagde maatwoord,artikel: Vrijheidsbeeld
353,niet gevonden,Hoeveel nationale talen heeft Zuid-Afrika volgens de grondwet?,11,,,,,
381,niet gevonden,Hoeveel centimeter lang is een standaard das bij het strikken?,145,,,,,
382,niet gevonden,Hoeveel gaten heeft een standaard schoenveter meestal in één schoen?,12,,,,,
383,niet gevonden,Hoeveel meter lang was de langste trouwjurkstaart volgens Guinness World Records?,8100,,,,,
384,niet gevonden,Hoeveel millimeter breed is een standaard herenhorlogeband?,22,,,,,
386,niet gevonden,Hoeveel Grammy-nominaties had Beyoncé volgens de Grammy’s vóór de uitreiking van 2025?,99,,,,,
396,bevestigd,Hoeveel studioalbums bracht Queen uit?,15,https://en.wikipedia.org/wiki/Queen_discography,Queen discography,"British rock band Queen have released 15 studio albums, 10 live albums, 16 compilation albums, 2 soundtrack albums, 2 extended plays, 73 singles, and 7 promotional singles.",getal staat in een zin over het onderwerp,zoekopdracht: Queen 15
400,niet gevonden,Hoeveel facetten (geslepen vlakjes) heeft een standaard ronde briljant geslepen diamant?,57,,,,,
401,niet gevonden,Hoeveel hertz is de toonhoogte van de standaard a in de muziek?,440,,,,,
404,niet gevonden,Hoeveel kilometer per uur waait wind bij windkracht 8 volgens de schaal van Beaufort?,75,,,,,
411,niet gevonden,Hoeveel kg afval produceert een Nederlander gemiddeld per jaar?,449,,,,,
419,niet gevonden,Hoeveel volt heeft een standaard stopcontact in Nederland?,230,,,,,
420,niet gevonden,Hoeveel wieken heeft een klassieke Nederlandse grondzeiler?,4,,,,,
434,niet gevonden,Hoe groot was de grootste pizza ooit in vierkante meter?,1297,,,,,
435,niet gevonden,Hoe hoog was de hoogste hond ooit in centimeters?,112,,,,,
436,niet gevonden,Hoe hoog was de hoogste zandsculptuur ooit in meters?,21,,,,,
437,niet gevonden,Hoe hoog was het hoogste paard ooit in centimeters?,219,,,,,
438,niet gevonden,Hoe klein was het kleinste paard ooit in centimeters?,36,,,,,
439,niet gevonden,Hoe lang duurde de langste plank ooit in minuten?,579,,,,,
440,niet gevonden,Hoe lang is de langste levende man in centimeters?,251,,,,,
441,niet gevonden,Hoe lang is de langste levende vrouw in centimeters?,215,,,,,
442,niet gevonden,Hoe lang waren de langste vingernagels aan één hand in meters?,9,,,,,
443,niet gevonden,Hoe lang was de langste hond ooit in centimeters?,250,,,,,
444,niet gevonden,Hoe lang was de langste hotdog ooit in meters?,203,,,,,
445,niet gevonden,Hoe lang was de langste kat ooit in centimeters?,123,,,,,
446,niet gevonden,Hoe lang was de langste snoepstaaf ooit in kilometer?,1,,,,,
447,bevestigd,Hoe oud werd de oudste hond volgens Guinness World Records in jaren?,29,https://nl.wikipedia.org/wiki/Lijst_van_oudste_mensen,Lijst van oudste mensen,Sinds 29 augustus 2017 wordt de leeftijdsclaim van Spoto door het Guinness Book of Records niet meer erkend.,getal staat in een zin over het onderwerp,zoekopdracht: Guinness World Records 29
448,niet gevonden,Hoe zwaar was de grootste kaas ooit gemaakt in kilogram?,26000,,,,,
449,niet gevonden,Hoe zwaar was de zwaarste hond ooit in kilogram?,156,,,,,
451,niet gevonden,Hoeveel kilometer was de langste zwemtocht ooit?,500,,,,,
452,niet gevonden,Hoeveel marathons liep de persoon met het record voor de meeste marathons?,1000,,,,,
453,niet gevonden,Hoeveel mensen namen deel aan de grootste massale yogales?,100000,,,,,
454,niet gevonden,Hoeveel piercings had de persoon met de meeste piercings ooit?,453,,,,,
455,niet gevonden,Hoeveel punten scoorde een team in de hoogste basketbalscore ooit?,186,,,,,
456,niet gevonden,Hoeveel uur duurde het langste videogame-marathonrecord?,135,,,,,
457,niet gevonden,Hoeveel voertuigen stonden er ongeveer in de langste file ooit?,12000,,,,,
480,niet gevonden,Hoeveel genummerde scorevakken heeft een dartbord?,20,,,,,
481,niet gevonden,"Hoeveel genummerde vakjes heeft een Europees roulettewiel, inclusief 0?",37,,,,,
482,niet gevonden,Hoeveel kaarten bevat een standaard UNO-deck?,112,,,,,
484,niet gevonden,Hoeveel pionnen bevat een klassieke Monopoly-set volgens de moderne standaarduitvoering?,8,,,,,
485,niet gevonden,Hoeveel pionnen gebruikt iedere speler bij Mens-erger-je-niet?,4,,,,,
487,niet gevonden,Hoeveel stippen (inclusief de 4 grote power pellets) moet Pac-Man opeten om een level uit te spelen?,244,,,,,
489,niet gevonden,"Hoeveel straten, stations en nutsbedrijven kun je kopen op een klassiek Monopoly-bord?",28,,,,,
491,niet gevonden,Hoeveel vakjes heeft een standaard Mens-erger-je-niet-bord per spelerskleur?,40,,,,,
493,niet gevonden,Hoeveel vakken bevat een standaard Monopoly-bord in totaal?,40,,,,,
506,niet gevonden,Hoeveel spelers telt een cricketteam op het veld?,11,,,,,
507,niet gevonden,Hoeveel spelers telt een waterpoloteam in het water?,7,,,,,
544,niet gevonden,Hoeveel letters telt het officiële Hawaiiaanse alfabet?,13,,,,,
546,niet gevonden,Hoeveel duizend zoekopdrachten verwerkt Google wereldwijd per seconde?,99,,,,,
550,niet gevonden,Hoeveel watt laadt een standaard iPhone snellader?,20,,,,,
595,niet gevonden,Hoeveel graden is elke binnenhoek van een regelmatige vijfhoek?,108,,,,,
599,niet gevonden,Hoeveel zijden heeft een icosaeder?,20,,,,,
601,niet gevonden,Hoeveel basissmaken worden in de moderne smaakleer onderscheiden?,5,,,,,
622,bevestigd,Hoeveel delen telt de Harry Potter serie in totaal?,7,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,"Scholastic, the American publisher of the Harry Potter series, launched a multimillion-dollar ""There will soon be 7"" marketing campaign with a Knight Bus travelling to 40 libraries across the United States, online fan discussions and competitions, collectible bookmarks, tattoos, and the staged release of seven Deathly ",getal staat in een zin over het onderwerp,zoekopdracht: Harry Potter 7
627,bevestigd,Hoeveel toneelstukken schreef Shakespeare volgens de gangbare telling?,39,https://en.wikipedia.org/wiki/Shakespeare%27s_plays,Shakespeare's plays,Shakespeare's plays are a canon of approximately 39 dramatic works written by the English playwright and poet William Shakespeare.,getal staat in een zin over het onderwerp,artikel: many plays shakespeare
633,niet gevonden,Hoeveel bijenkorven produceert de gemiddelde Ethiopische bijenhouder per jaar?,0,,,,,
635,niet gevonden,Hoeveel centimeter hoog wordt een volwassen emoe?,170,,,,,
637,niet gevonden,Hoeveel dieren bevat de klassieke Big Five van Afrika?,5,,,,,
638,niet gevonden,Hoeveel eieren legt een kangoeroe per worp?,0,,,,,
643,niet gevonden,Hoeveel kilogram weegt een volwassen mannelijke rode reuzenkangoeroe maximaal?,90,,,,,
645,niet gevonden,Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?,6000,,,,,
647,niet gevonden,Hoeveel kilogram weegt een volwassen mannelijke Bengaalse tijger?,220,,,,,
648,niet gevonden,Hoeveel kilogram weegt een volwassen nijlpaard?,1500,,,,,
649,niet gevonden,Hoeveel kilogram weegt een volwassen emoe?,45,,,,,
650,niet gevonden,Hoeveel kilogram weegt een volwassen giraffe?,1200,,,,,
651,niet gevonden,Hoeveel kilogram weegt een volwassen mannelijke jaguar?,100,,,,,
652,niet gevonden,Hoeveel kilogram weegt een volwassen witte neushoorn?,2000,,,,,
653,bevestigd,Hoeveel kilogram weegt een volwassen wombat?,30,https://en.wikipedia.org/wiki/Kilogram,Kilogram,The current definition of a kilogram agrees with this original definition to within 30 parts per million (0.003%).,getal staat bij het gevraagde maatwoord,artikel: many kilograms does
655,niet gevonden,Hoeveel kilometer per uur haalt een cheetah op zijn snelst?,110,,,,,
656,niet gevonden,Hoeveel kilometer per uur sprint een jaguar?,80,,,,,
657,niet gevonden,Hoeveel kilometer per uur sprint een leeuw?,80,,,,,
662,niet gevonden,Hoeveel meter lang kan een volwassen nijlkrokodil worden?,5,,,,,
663,niet gevonden,Hoeveel meter lang wordt een Afrikaanse olifant?,7,,,,,
664,niet gevonden,Hoeveel meter lang wordt een zoutwaterkrokodil maximaal?,6,,,,,
665,bevestigd,Hoeveel meter per uur kruipen tuinslakken maximaal?,50,https://en.wikipedia.org/wiki/Electricity_meter,Electricity meter,"At US$0.095/kWh, a standard residential 50 A meter causes a legally collectible charge of about US$5,000.00 per month.",getal staat bij het gevraagde maatwoord,artikel: many meters hour
671,niet gevonden,Hoeveel procent van de wilde leeuwen leeft in Sub-Sahara Afrika?,95,,,,,
672,niet gevonden,Hoeveel apensoorten telt het Amazonegebied ongeveer?,100,,,,,
675,niet gevonden,Hoeveel soorten telt de kangoeroefamilie (Macropodidae)?,65,,,,,
678,bevestigd,Hoeveel vogelsoorten telt Australië?,830,https://nl.wikipedia.org/wiki/Fauna_van_Australi%C3%AB,Fauna van Australië,"== Vogels ==
Australië herbergt ongeveer 830 vogelsoorten, van grote zoals de emoe tot kleinere zoals de
Satijnblauwe prieelvogel, waarvan het mannetje als onderdeel van het paringsritueel uiterst gecompliceerde priëlen bouwt.",getal staat in een zin over het onderwerp,zoekopdracht: Australië 830
680,niet gevonden,Hoeveel vogelsoorten telt het Amazonegebied?,1300,,,,,
684,niet gevonden,Hoeveel tanden wisselt een haai gedurende zijn leven ongeveer?,20000,,,,,
686,niet gevonden,Hoeveel uur per dag slaapt een koala?,20,,,,,
687,niet gevonden,Hoeveel uur per dag slaapt een leeuw gemiddeld?,20,,,,,
688,niet gevonden,Hoeveel van de 10 giftigste slangen ter wereld komen voor in Australië?,0,,,,,
690,niet gevonden,Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?,900,,,,,
695,niet gevonden,Hoeveel biljoen dollar is de jaarlijkse wereldhandel in goederen ongeveer?,26,,,,,
699,niet gevonden,Hoeveel landen zijn lid van de G7?,7,,,,,
700,niet gevonden,Hoeveel munten telt een volledige set eurocent- en euromunten?,8,,,,,
706,niet gevonden,Hoeveel dagen rijpt Parmigiano Reggiano minimaal?,12,,,,,
710,bevestigd,Hoeveel miljoen zakken koffie produceert Brazilië per jaar?,60,https://nl.wikipedia.org/wiki/Koffie_%28drank%29,Koffie (drank),"== Koffie wereldwijd ==


=== Productie ===

In het oogstjaar 2022/23 werden 165 miljoen zakken van 60 kilogram aan koffiebonen geoogst.",getal staat in een zin over het onderwerp,artikel: miljoen zakken koffie
712,bevestigd,Hoeveel kilogram rundvlees eet een Argentijn per jaar?,50,https://en.wikipedia.org/wiki/Kilogram,Kilogram,"== Redefinition based on fundamental constants ==

The replacement of the International Prototype of the Kilogram (IPK) as the primary standard was motivated by evidence accumulated over a long period of time that the mass of the IPK and its replicas had been changing; the IPK had diverged from its replicas by approxim",getal staat bij het gevraagde maatwoord,artikel: many kilograms beef
713,niet gevonden,Hoeveel kruiden bevat de klassieke Chinese Five-Spice?,5,,,,,
714,niet gevonden,Hoeveel landen hebben de Italiaanse pizza Margherita als cultureel erfgoed erkend?,1,,,,,
715,bevestigd,Hoeveel Afrikaanse landen produceren koffie?,30,https://nl.wikipedia.org/wiki/Afrikaanse_Unie,Afrikaanse Unie,"Tijdens de 8e top van de Afrikaanse Unie die op 29 en 30 januari 2007 in Addis Abeba plaatsvond, besloten de staatshoofden en regeringsleiders een wedstrijd uit te schrijven voor de selectie van een nieuwe vlag voor de Unie.",getal staat in een zin over het onderwerp,zoekopdracht: Afrikaanse 30
718,niet gevonden,Hoeveel liter olijfolie gebruikt een Griek per jaar?,20,,,,,
720,niet gevonden,Hoeveel procent cacao heeft standaard pure chocolade?,70,,,,,
721,niet gevonden,Hoeveel procent van de wereldcacao komt uit West-Afrika?,70,,,,,
723,niet gevonden,Hoeveel soorten worst kent de Duitse keuken ongeveer?,300,,,,,
725,niet gevonden,Hoeveel kaassoorten produceert Frankrijk ongeveer?,300,,,,,
731,niet gevonden,Hoeveel Mad Max films zijn er in totaal gemaakt?,5,,,,,
737,niet gevonden,Hoeveel Oscars won de film Parasite?,4,,,,,
739,bevestigd,Hoeveel Star Wars films uit de Skywalker Saga verschenen er?,9,https://nl.wikipedia.org/wiki/Star_Tours_%E2%80%93_The_Adventures_Continue,Star Tours – The Adventures Continue,Uiteindelijk werd in Disneyland in Anaheim Star Tours geopend op 9 januari 1987.,getal staat in een zin over het onderwerp,artikel: many star wars
747,bevestigd,Hoeveel minuten duurt de film Avatar: The Way of Water?,192,https://en.wikipedia.org/wiki/Avatar%3A_The_Way_of_Water,Avatar: The Way of Water,"| runtime = 192 minutes Cite web |last1=McClintock |first1=Pamela |last2=Couch |first2=Aaron |date=October 29, 2022 |title='Avatar: The Way of Water' Runtime Sails Past Three Hours |url=https://www.hollywoodreporter.com/movies/movie-news/avatar-way-of-water-runtime-1235251391/ |url-status=live |archive-url=https://web.","infobox-veld ""runtime"" bevat het antwoord",artikel: The Way of Water
748,niet gevonden,Hoeveel woorden telt de complete Harry Potter boekenserie (Engels origineel)?,1084170,,,,,
750,niet gevonden,In welk jaar werd de eerste film publiek vertoond?,1895,,,,,
754,niet gevonden,Hoeveel boeken telt de Tenach in de joodse traditie?,24,,,,,
756,niet gevonden,Hoeveel dialogen van Plato zijn traditioneel bewaard gebleven?,36,,,,,
758,niet gevonden,Hoeveel edelwaarheden kent het boeddhisme?,4,,,,,
763,bevestigd,Hoeveel keer per dag bidden moslims volgens de vijf pilaren van de islam?,5,https://en.wikipedia.org/wiki/Nepalese_Muslims,Nepalese Muslims,"Islam is the third-largest religion in Nepal after Hinduism and Buddhism, with 5.09% of the country's population, around 1,483,066 (1.483 million) people, identifying as Muslims in the 2021 census.",getal staat in een zin over het onderwerp,artikel: many times muslims
764,niet gevonden,Hoeveel opdrachten (werken) moest Hercules voltooien volgens de Griekse mythologie?,12,,,,,
765,niet gevonden,Hoeveel paden telt het Achtvoudige Pad van het boeddhisme?,8,,,,,
766,niet gevonden,Hoeveel miljoen pelgrims bezoeken Mekka jaarlijks?,2,,,,,
767,niet gevonden,Hoeveel procent van de wereldbevolking is boeddhistisch?,7,,,,,
769,niet gevonden,Hoeveel zwaarden waren er volgens de legende van koning Arthur beschikbaar?,1,,,,,
770,niet gevonden,Hoeveel piramides telt Egypte ongeveer?,120,,,,,
772,niet gevonden,Hoeveel boogsegmenten telt het Colosseum per verdieping?,80,,,,,
779,bevestigd,Hoeveel kilometer lang is de Grote Muur van China volgens de officiële meting?,21196,https://nl.wikipedia.org/wiki/Chinese_Muur,Chinese Muur,"De gehele verdedigingslinie, inclusief verdedigingsgroeven van 359 kilometer en 2232 kilometer aan natuurlijke grenzen (rivieren, heuvels en bergen), heeft een lengte van 21 196 kilometer.",getal staat bij het gevraagde maatwoord,artikel: Grote Muur van China
780,bevestigd,Hoeveel kilometer lang is het metronet van Mexico-Stad?,226,https://en.wikipedia.org/wiki/Mexico_City_Metro,Mexico City Metro,| system_length = convert|200.9|km|mi|abbr=on revenue; convert|226.5|km|mi|abbr=on total cite web|url=http://www.metro.cdmx.gob.mx/operacion/longlineas.html|title=LONGITUDES DE LAS LINEAS|publisher=Metro de la Ciudad de México|language=es|trans-title=Operations figures|archive-url=https://web.archive.org/web/2016082113,"infobox-veld ""system_length"" bevat het antwoord",artikel: Metro of Mexico City
782,niet gevonden,Hoeveel kilometer van de Kanaaltunnel ligt onder zee?,38,,,,,
784,niet gevonden,Hoeveel kilometer lang was Route 66?,3945,,,,,
786,niet gevonden,"Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?",96,,,,,
787,niet gevonden,Hoeveel meter hoog is het Christus Verlosser-beeld zonder sokkel?,30,,,,,
789,niet gevonden,Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?,40,,,,,
790,bevestigd,Hoeveel meter hoog is de Christus de Verlosser inclusief sokkel?,38,https://nl.wikipedia.org/wiki/Christus_de_Verlosser_%28Rio_de_Janeiro%29,Christus de Verlosser (Rio de Janeiro),"Het beeld is 38 meter hoog en staat op de 710 meter hoge berg Corcovado, uitkijkend over de stad Rio de Janeiro.",getal staat bij het gevraagde maatwoord,artikel: meter hoog christus
791,bevestigd,Hoeveel meter hoog is de Eiffeltoren met antenne?,330,https://nl.wikipedia.org/wiki/Eiffeltoren,Eiffeltoren,"| hoogte = 1e etage: 57,63 m 2e etage: 115,73 m 3e etage: 276,13 m Top (incl. antenne): 330 m","infobox-veld ""hoogte"" bevat het antwoord",artikel: Eiffeltoren
792,niet gevonden,Hoeveel meter hoog is de Grote Piramide van Gizeh nu?,139,,,,,
797,bevestigd,Hoeveel meter hoog is de Taj Mahal?,73,https://en.wikipedia.org/wiki/Taj_Mahal,Taj Mahal,| height = cvt|73|m|ft,"infobox-veld ""height"" bevat het antwoord",artikel: Taj Mahal
798,bevestigd,Hoeveel meter hoog is de Tokyo Tower?,333,https://nl.wikipedia.org/wiki/Tokyo_Skytree,Tokyo Skytree,De oudere Tokiotoren was met haar 333 meter niet hoog genoeg om tussen de steeds hoger wordende gebouwen in met name Centraal Tokio voldoende dekking te verkrijgen.,getal staat bij het gevraagde maatwoord,artikel: meter hoog tokyo
799,bevestigd,Hoeveel meter hoog is de Cairo Tower?,187,https://nl.wikipedia.org/wiki/Cairo_Tower,Cairo Tower,De toren is 187 meter hoog.,getal staat bij het gevraagde maatwoord,artikel: Cairo Tower
801,niet gevonden,Hoeveel meter hoog is kasteel Neuschwanstein?,65,,,,,
807,niet gevonden,Hoeveel piramides telt het piramideveld van Gizeh (de drie grote)?,3,,,,,
808,niet gevonden,Hoeveel rivieren bruggen telt Sydney Harbour?,0,,,,,
811,niet gevonden,Hoeveel sluizen heeft het Panamakanaal?,12,,,,,
812,niet gevonden,Hoeveel stappen telt El Castillo van Chichen Itza in totaal inclusief de top?,365,,,,,
813,niet gevonden,Hoeveel stappen telt de Mayapyramide El Castillo per zijde?,91,,,,,
824,niet gevonden,Hoeveel verdiepingen heeft de Q1 Tower in Gold Coast (tallest in Australië)?,78,,,,,
825,niet gevonden,Hoeveel verdiepingen heeft de Tokyo Skytree uitkijkplatform?,2,,,,,
826,niet gevonden,Hoeveel verdiepingen heeft het Witte Huis?,4,,,,,
834,niet gevonden,Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan?,23,,,,,
835,niet gevonden,Hoeveel Afrikaanse landen grenzen aan de Middellandse Zee?,6,,,,,
836,niet gevonden,Hoeveel Afrikaanse landen liggen aan de Rode Zee?,6,,,,,
837,bevestigd,Hoeveel Europese landen liggen er niet op het vasteland (exclusief eilanden) in de EU als eilandstaten?,2,https://nl.wikipedia.org/wiki/Europese_Unie,Europese Unie,Tevens is in het op 1 december 2009 inwerking getreden Verdrag van Lissabon vastgelegd dat de Europese Unie zal toetreden tot het Europees Verdrag voor de Rechten van de Mens (EVRM) (artikel 6 lid 2 van het Verdrag betreffende de Europese Unie).,getal staat in een zin over het onderwerp,zoekopdracht: Europese 2
838,niet gevonden,Hoeveel duizend inwoners heeft Luxemburg?,660,,,,,
841,niet gevonden,Hoeveel eilanden telt Papoea-Nieuw-Guinea ongeveer?,600,,,,,
846,niet gevonden,Hoeveel eilandstaten telt Afrika?,6,,,,,
848,niet gevonden,Hoeveel hoofdeilanden heeft Nieuw-Zeeland?,2,,,,,
853,niet gevonden,Hoeveel duizend kilometer lang is de Australische kustlijn?,36,,,,,
854,bevestigd,Hoeveel kilometer lang is de Donau?,2850,https://en.wikipedia.org/wiki/Danube,Danube,"| length_km = 2,850","infobox-veld ""length_km"" bevat het antwoord",artikel: Danube
859,niet gevonden,Hoeveel kilometer breed is de Kalahariwoestijn ongeveer?,900,,,,,
860,bevestigd,Hoeveel kilometer lang is de Kongo?,4700,https://nl.wikipedia.org/wiki/Kongo_%28rivier%29,Kongo (rivier),| lengte = 4 700,"infobox-veld ""lengte"" bevat het antwoord",artikel: kilometer lang kongo
863,bevestigd,Hoeveel kilometer lang is de Niger?,4200,https://en.wikipedia.org/wiki/Niger_River,Niger River,"| length_km = 4,200","infobox-veld ""length_km"" bevat het antwoord",artikel: Niger River
865,bevestigd,Hoeveel kilometer lang is de Rijn?,1230,https://en.wikipedia.org/wiki/Rhine,Rhine,| length_km = 1230,"infobox-veld ""length_km"" bevat het antwoord",artikel: Rhine
866,bevestigd,Hoeveel kilometer lang is de Zambezi?,2574,https://en.wikipedia.org/wiki/Zambezi,Zambezi,"| length = cvt|2,574|km|mi","infobox-veld ""length"" bevat het antwoord",artikel: Zambezi
871,niet gevonden,Door hoeveel landen loopt het Andesgebergte?,7,,,,,
875,niet gevonden,Hoeveel landen grenzen aan Argentinië?,5,,,,,
880,niet gevonden,Hoeveel landen grenzen aan Congo-Kinshasa?,9,,,,,
884,niet gevonden,Hoeveel landen grenzen aan Ethiopië?,6,,,,,
885,niet gevonden,Hoeveel landen grenzen aan Frankrijk (vasteland excl. overzeese gebieden)?,8,,,,,
887,niet gevonden,Hoeveel landen grenzen aan Guatemala?,4,,,,,
888,niet gevonden,Hoeveel landen grenzen aan Honduras?,3,,,,,
890,niet gevonden,Hoeveel landen grenzen aan Kameroen?,6,,,,,
891,niet gevonden,Hoeveel landen grenzen aan Kenia?,5,,,,,
894,niet gevonden,Hoeveel landen grenzen aan Mozambique?,6,,,,,
898,niet gevonden,Hoeveel landen grenzen aan Oeganda?,5,,,,,
906,niet gevonden,Hoeveel landen grenzen aan Spanje (vasteland)?,5,,,,,
907,niet gevonden,Hoeveel landen grenzen aan Tanzania?,8,,,,,
911,niet gevonden,Hoeveel landen grenzen aan Zuid-Afrika?,6,,,,,
919,niet gevonden,Hoeveel landen liggen er aan de Middellandse Zee (Noord-Afrika + Europa + Azië)?,22,,,,,
920,niet gevonden,Hoeveel landen telt Europa?,50,,,,,
921,niet gevonden,Hoeveel landen liggen er in Melanesië?,4,,,,,
923,niet gevonden,Hoeveel landen telt Azië?,49,,,,,
924,niet gevonden,Hoeveel landen telt Midden-Amerika?,7,,,,,
925,niet gevonden,Hoeveel landen telt de Sahel-regio?,10,,,,,
929,bevestigd,Hoeveel meter breed zijn de Victoriawatervallen?,1708,https://nl.wikipedia.org/wiki/Victoriawatervallen,Victoriawatervallen,Zij vormen een watergordijn van 1708 meter breed en 100 meter hoog en hebben een maximale valhoogte van 128 meter.,getal staat bij het gevraagde maatwoord,artikel: Victoriawatervallen
931,niet gevonden,Hoeveel meter hoog is de K2?,8611,,,,,
933,bevestigd,Hoeveel meter hoog is Mount Everest?,8849,https://nl.wikipedia.org/wiki/Mount_Everest,Mount Everest,| hoogte = 8849,"infobox-veld ""hoogte"" bevat het antwoord",artikel: Mount Everest
