Nr,Groep,In gebruik,Vraag NL,Antwoord,Oorspronkelijke bron,Gebruikte bron,Uitkomst,Bewijszin
87,geblokkeerd,daily,Hoeveel letters heeft het Thaise alfabet?,44,https://www.britannica.com/topic/Thai-language,http://web.archive.org/web/20260814082621/https://www.britannica.com/topic/Thai-language,niet gevonden,
89,geblokkeerd,daily,Hoeveel naamvallen heeft het Fins?,15,https://www.britannica.com/topic/Finnish-language,http://web.archive.org/web/20260705045004/https://www.britannica.com/topic/Finnish-language,niet gevonden,
93,geblokkeerd,daily,In welk jaar werd de eerste internationale telefonische verbinding gemaakt?,1892,https://www.britannica.com/technology/telephone,https://www.britannica.com/technology/telephone,geen archiefkopie,
97,geblokkeerd,daily,Hoeveel metrostations heeft de Parijse metro?,308,https://www.ratp.fr/en/discover,https://www.ratp.fr/en/discover,geen archiefkopie,
110,geblokkeerd,puzzel,"Hoeveel centimeter meten de dunne en dikke darm samen, volledig uitgestrekt?",750,https://whc.unesco.org/en/list/1187/,http://web.archive.org/web/20260830234257/https://whc.unesco.org/en/list/1187,niet gevonden,
112,geblokkeerd,puzzel,Hoeveel chromosomen heeft een gewone tuinerwt Pisum sativum in een lichaamscel?,14,https://powo.science.kew.org/,http://web.archive.org/web/20260906023542/https://powo.science.kew.org/,niet gevonden,
115,geblokkeerd,puzzel,Hoeveel hartkleppen heeft het menselijk hart?,4,https://www.heart.org/en/health-topics/heart-valve-problems/about-heart-valve-problems,https://www.heart.org/en/health-topics/heart-valve-problems/about-heart-valve-problems,geen archiefkopie,
118,geblokkeerd,puzzel,Hoeveel miljard hartslagen maakt een mensenhart in een gemiddeld leven van 80 jaar?,3,https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates,http://web.archive.org/web/20260512100438/https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates,getal gezien,The American Heart Association is a qualified 501(c)(3) tax-exempt organization.
119,geblokkeerd,puzzel,Hoeveel milliliter speeksel produceert een mens gemiddeld per dag?,1200,https://whc.unesco.org/en/list/1613/,https://whc.unesco.org/en/list/1613/,geen archiefkopie,
131,geblokkeerd,puzzel,Hoeveel boeken bevat de Harry Potter-hoofdserie?,7,https://www.britannica.com/topic/Harry-Potter,http://web.archive.org/web/20260616143131/https://www.britannica.com/topic/Harry-Potter,bevestigd,"The books were transformed into a blockbuster series of eight films (the final book, some 750 pages long, was adapted into two films) released over 10 years, which grossed more than $7 billion worldwide."
132,geblokkeerd,puzzel,Hoeveel boeken bevat de gepubliceerde hoofdserie A Song of Ice and Fire?,5,https://www.britannica.com/topic/A-Song-of-Ice-and-Fire,http://web.archive.org/web/20260220103634/https://www.britannica.com/topic/A-Song-of-Ice-and-Fire,niet gevonden,
137,geblokkeerd,puzzel,Hoeveel hoofdstukken bevat Animal Farm?,10,https://www.britannica.com/topic/Animal-Farm,http://web.archive.org/web/20260527023350/https://www.britannica.com/topic/Animal-Farm,niet gevonden,
140,geblokkeerd,puzzel,Hoeveel snaren heeft een standaard concert-pedaalharp?,47,https://www.britannica.com/topic/Divine-Comedy,https://www.britannica.com/topic/Divine-Comedy,geen archiefkopie,
142,geblokkeerd,puzzel,Hoeveel werken schreef William Shakespeare volgens de meest gebruikte telling?,39,https://www.britannica.com/biography/William-Shakespeare,http://web.archive.org/web/20260902004325/https://www.britannica.com/biography/William-Shakespeare,niet gevonden,
143,geblokkeerd,puzzel,Hoeveel zangen telt Dante’s Inferno?,34,https://www.britannica.com/topic/Inferno,http://web.archive.org/web/20260828125624/https://www.britannica.com/topic/Inferno,niet gevonden,
146,geblokkeerd,puzzel,Hoeveel poten heeft een standaard statief?,3,https://www.britannica.com/technology/tripod,https://www.britannica.com/technology/tripod,geen archiefkopie,
151,geblokkeerd,puzzel,Hoeveel harten heeft een octopus?,3,https://ocean.si.edu/ocean-life/invertebrates/octopus,https://ocean.si.edu/ocean-life/invertebrates/octopus,geen archiefkopie,
153,geblokkeerd,puzzel,Hoeveel kamers heeft het hart van een kakkerlak?,13,https://www.britannica.com/animal/cockroach,https://www.britannica.com/animal/cockroach,geen archiefkopie,
154,geblokkeerd,puzzel,Hoeveel kamers heeft het hart van een krokodil?,4,https://www.britannica.com/animal/crocodilian,http://web.archive.org/web/20170507030316/https://www.britannica.com/animal/crocodilian,niet gevonden,
155,geblokkeerd,puzzel,Hoeveel keer per minuut klopt het hart van een kolibrie tijdens het vliegen maximaal?,1200,https://whc.unesco.org/en/list/1314/,http://web.archive.org/web/20260804120753/https://whc.unesco.org/en/list/1314/,niet gevonden,
159,geblokkeerd,puzzel,Hoeveel ogen heeft een bij?,5,https://www.britannica.com/animal/bee,http://web.archive.org/web/20260730065756/https://www.britannica.com/animal/bee,niet gevonden,
162,geblokkeerd,puzzel,Hoeveel poten heeft een kreeftachtige van de orde Isopoda?,14,https://www.britannica.com/animal/isopod,http://web.archive.org/web/20251122114109/https://www.britannica.com/animal/isopod,bevestigd,Scientists discover 14 strange new species hidden in the deep sea &#8226; Nov.
166,geblokkeerd,puzzel,Hoeveel vleugels heeft een kever?,4,https://www.britannica.com/animal/beetle,http://web.archive.org/web/20250914000427/https://www.britannica.com/animal/beetle,bevestigd,"Last Updated: Sep 4, 2025 • Article History"
168,geblokkeerd,puzzel,Wat weegt het hart van een volwassen Blauwe Vinvis in kilogram?,180,https://ocean.si.edu/ocean-life/marine-mammals/blue-whale,https://ocean.si.edu/ocean-life/marine-mammals/blue-whale,geen archiefkopie,
210,geblokkeerd,puzzel,Hoeveel delen bevat Plato’s De Staat?,10,https://www.britannica.com/topic/Republic,https://www.britannica.com/topic/Republic,geen archiefkopie,
211,geblokkeerd,puzzel,Hoeveel gebeden per dag schrijft de islamitische traditie voor?,5,https://www.britannica.com/topic/salat,http://web.archive.org/web/20260114125832/https://www.britannica.com/topic/salat,niet gevonden,
216,geblokkeerd,puzzel,Hoeveel zuilen kent de islam?,5,https://www.britannica.com/topic/Five-Pillars-of-Islam,https://www.britannica.com/topic/Five-Pillars-of-Islam,geen archiefkopie,
219,geblokkeerd,puzzel,Hoeveel bogen heeft de Romeinse brug Pont du Gard in de onderste booglaag?,6,https://whc.unesco.org/en/list/344/,http://web.archive.org/web/20260806215601/https://whc.unesco.org/en/list/344/,bevestigd,Het onderste gedeelte is ruim 6 meter breed en kreeg later de functie van (tol)brug.
221,geblokkeerd,puzzel,Hoeveel centimeter zet de Eiffeltoren uit op een hete zomerdag?,15,https://whc.unesco.org/en/list/1187/,http://web.archive.org/web/20260830234257/https://whc.unesco.org/en/list/1187,getal gezien,"Mostar, Macao and Biblical vestiges in Israel are among the 17 cultural sites inscribed on UNESCO’s World Heritage List 15 July 2005"
225,geblokkeerd,puzzel,"Hoeveel kilogram weegt de Great Bell, de grote klok van Big Ben?",13700,https://whc.unesco.org/en/list/1613/,https://whc.unesco.org/en/list/1613/,geen archiefkopie,
227,geblokkeerd,puzzel,Hoeveel klinknagels zaten er naar schatting in de romp van de Titanic?,3000000,https://whc.unesco.org/en/list/1321/,http://web.archive.org/web/20260906063436/https://whc.unesco.org/en/list/1321/,niet gevonden,
238,geblokkeerd,puzzel,Hoeveel miljoen kubieke meter aarde werd er uitgegraven voor de bouw van het Panamakanaal?,210,https://whc.unesco.org/en/list/1321/,http://web.archive.org/web/20260906063436/https://whc.unesco.org/en/list/1321/,niet gevonden,
241,geblokkeerd,puzzel,Hoeveel piramides vormen het belangrijkste piramidecomplex van Gizeh?,3,https://www.britannica.com/place/Pyramids-of-Giza,https://www.britannica.com/place/Pyramids-of-Giza,geen archiefkopie,
251,geblokkeerd,puzzel,Hoeveel zware stenen kalksteenblokken zijn er gebruikt om de Grote Piramide van Gizeh (Cheops) te bouwen?,2300000,https://www.britannica.com/topic/Great-Pyramid-of-Giza,https://www.britannica.com/topic/Great-Pyramid-of-Giza,geen archiefkopie,
259,geblokkeerd,puzzel,Hoeveel actieve vulkanen zijn er op aarde naar schatting?,1350,https://volcano.si.edu/,http://web.archive.org/web/20260906032659/https://volcano.si.edu/,niet gevonden,
265,geblokkeerd,puzzel,Hoeveel kilometer lang is Japan van noord naar zuid ongeveer?,3000,https://www.britannica.com/place/Japan,http://web.archive.org/web/20260906171043/https://www.britannica.com/place/Japan,niet gevonden,
267,geblokkeerd,puzzel,Hoeveel kilometer lang is de Mississippi ongeveer?,3766,https://www.britannica.com/place/Mississippi-River,http://web.archive.org/web/20260831035541/https://www.britannica.com/place/Mississippi-River,bevestigd,"It covers a total distance of 2,340 miles (3,766 km) from its source."
268,geblokkeerd,puzzel,Hoeveel kilometer lang is de Yangtze ongeveer?,6300,https://www.britannica.com/place/Yangtze-River,http://web.archive.org/web/20260831052738/https://www.britannica.com/place/Yangtze-River,bevestigd,"The Yangtze River is 3,915 miles (6,300 km) long."
273,geblokkeerd,puzzel,Hoeveel kilometer lang is het Himalayagebergte ongeveer?,2500,https://www.britannica.com/place/Himalayas,http://web.archive.org/web/20260902043756/https://www.britannica.com/place/Himalayas,bevestigd,"The Himalayas stretch uninterruptedly for about 1,550 miles (2,500 km) in Asia, forming a barrier between the Plateau of Tibet to the north and the alluvial plains of the Indian subcontinent to the south."
274,geblokkeerd,puzzel,Hoeveel kilometer lang is het Victoriameer ongeveer?,337,https://www.britannica.com/place/Lake-Victoria,https://www.britannica.com/place/Lake-Victoria,geen archiefkopie,
275,geblokkeerd,puzzel,Hoeveel landen delen het eiland Borneo?,3,https://www.britannica.com/place/Borneo-island,https://www.britannica.com/place/Borneo-island,geen archiefkopie,
278,geblokkeerd,puzzel,Hoeveel landen grenzen aan de Rode Zee?,6,https://www.britannica.com/place/Red-Sea,http://web.archive.org/web/20260818171747/https://www.britannica.com/place/Red-Sea,getal gezien,"13, 2026, 6:39 AM ET (CBS)"
279,geblokkeerd,puzzel,Hoeveel landen grenzen aan het Victoriameer?,3,https://www.britannica.com/place/Lake-Victoria,https://www.britannica.com/place/Lake-Victoria,geen archiefkopie,
281,geblokkeerd,puzzel,Hoeveel landen liggen aan de Adriatische Zee?,6,https://www.britannica.com/place/Adriatic-Sea,http://web.archive.org/web/20260701211033/https://www.britannica.com/place/Adriatic-Sea,getal gezien,6 Britannica Sources
282,geblokkeerd,puzzel,Hoeveel landen liggen aan het Meer van Genève?,2,https://www.britannica.com/place/Lake-Geneva,https://www.britannica.com/place/Lake-Geneva,geen archiefkopie,
283,geblokkeerd,puzzel,Hoeveel landen liggen aan het Titicacameer?,2,https://www.britannica.com/place/Lake-Titicaca,http://web.archive.org/web/20260310132911/https://www.britannica.com/place/Lake-Titicaca,niet gevonden,
285,geblokkeerd,puzzel,Hoeveel landen telt Zuid-Amerika?,12,https://www.britannica.com/place/South-America,http://web.archive.org/web/20260825100414/https://www.britannica.com/place/South-America,bevestigd,"South America is the world's fourth-largest continent, comprising 12 countries: Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guiana, Guyana, Paraguay, Peru, Suriname, Uruguay, and Venezuela."
287,geblokkeerd,puzzel,Hoeveel landen vormen het Verenigd Koninkrijk?,4,https://www.parliament.uk/about/how/role/relations-with-other-institutions/devolved/,http://web.archive.org/web/20260725223726/https://www.parliament.uk/about/how/role/relations-with-other-institutions/devolved/,niet gevonden,
288,geblokkeerd,puzzel,Hoeveel liter water stroomt er gemiddeld per seconde over de Niagarawatervallen?,2400000,https://unesdoc.unesco.org/en/archives/about-unesco-history-and-mission,https://unesdoc.unesco.org/en/archives/about-unesco-history-and-mission,geen archiefkopie,
289,geblokkeerd,puzzel,Hoeveel meter diep is het Victoriameer op het diepste punt ongeveer?,84,https://www.britannica.com/place/Lake-Victoria,https://www.britannica.com/place/Lake-Victoria,geen archiefkopie,
299,geblokkeerd,puzzel,Hoeveel vierkante kilometer is de Sahara ongeveer groot?,9200000,https://www.britannica.com/place/Sahara-desert-Africa,http://web.archive.org/web/20260810235525/https://www.britannica.com/place/Sahara-desert-Africa,niet gevonden,
306,geblokkeerd,puzzel,In welk jaar werd de eerste volledige kaart van de wereldbol gemaakt?,1492,https://www.britannica.com/science/cartography,http://web.archive.org/web/20251112124844/https://www.britannica.com/science/cartography,niet gevonden,
307,geblokkeerd,puzzel,Op welke hoogte ligt het Titicacameer ongeveer boven zeeniveau?,3810,https://www.britannica.com/place/Lake-Titicaca,http://web.archive.org/web/20260310132911/https://www.britannica.com/place/Lake-Titicaca,bevestigd,"Lake Titicaca , the world’s highest lake navigable to large vessels , lying at 12,500 feet (3,810 metres) above sea level in the Andes Mountains of South America , astride the border between Peru to the west and Bolivia to the east."
313,geblokkeerd,puzzel,Hoeveel dynastieën kent de traditionele indeling van het oude Egypte?,31,https://www.britannica.com/place/ancient-Egypt,https://www.britannica.com/place/ancient-Egypt,geen archiefkopie,
314,geblokkeerd,puzzel,Hoeveel farao’s hadden de drie grote piramides van Gizeh als opdrachtgever?,3,https://www.britannica.com/place/Pyramids-of-Giza,https://www.britannica.com/place/Pyramids-of-Giza,geen archiefkopie,
315,geblokkeerd,puzzel,Hoeveel farao’s waren er volgens de traditionele telling tijdens de 18e dynastie van Egypte?,14,https://www.britannica.com/topic/18th-dynasty-Egypt,https://www.britannica.com/topic/18th-dynasty-Egypt,geen archiefkopie,
318,geblokkeerd,puzzel,Hoeveel jaar duurde de regering van Elizabeth II?,70,https://www.royal.uk/queen-elizabeth-ii,https://www.royal.uk/queen-elizabeth-ii,geen archiefkopie,
319,geblokkeerd,puzzel,Hoeveel jaar duurden de Punische oorlogen samen?,118,https://www.britannica.com/event/Punic-Wars,http://web.archive.org/web/20260812161253/https://www.britannica.com/event/Punic-Wars,niet gevonden,
322,geblokkeerd,puzzel,Hoeveel letters telt ons Latijnse alfabet?,26,https://www.britannica.com/topic/Seven-Wonders-of-the-World,http://web.archive.org/web/20260314080135/https://www.britannica.com/topic/Seven-Wonders-of-the-World,niet gevonden,
323,geblokkeerd,puzzel,Hoeveel mensen werden geëvacueerd tijdens de evacuatie van Duinkerke?,338000,https://www.iwm.org.uk/history/what-was-the-dunkirk-evacuation,https://www.iwm.org.uk/history/what-was-the-dunkirk-evacuation,geen archiefkopie,
325,geblokkeerd,puzzel,Hoeveel parachutisten werden tijdens D-Day achter de Duitse linies gedropt?,23000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,geen archiefkopie,
327,geblokkeerd,puzzel,Hoeveel schepen ondersteunden de geallieerde landing in Normandië?,6000,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,https://www.iwm.org.uk/history/d-day-the-unheard-tapes,geen archiefkopie,
328,geblokkeerd,puzzel,Hoeveel schepen telde de Spaanse Armada volgens de gebruikelijke telling?,130,https://www.britannica.com/event/Spanish-Armada,https://www.britannica.com/event/Spanish-Armada,geen archiefkopie,
329,geblokkeerd,puzzel,Hoeveel schepen werden ingezet bij de evacuatie van Duinkerke?,850,https://www.iwm.org.uk/history/what-was-the-dunkirk-evacuation,https://www.iwm.org.uk/history/what-was-the-dunkirk-evacuation,geen archiefkopie,
330,geblokkeerd,puzzel,Hoeveel soldaten namen aan beide kanten samen deel aan de Slag bij Waterloo?,190000,https://www.britannica.com/event/Battle-of-Waterloo,http://web.archive.org/web/20260812125235/https://www.britannica.com/event/Battle-of-Waterloo,niet gevonden,
331,geblokkeerd,puzzel,Hoeveel soldaten telde het Franse leger bij Waterloo ongeveer?,73000,https://www.britannica.com/event/Battle-of-Waterloo,http://web.archive.org/web/20260812125235/https://www.britannica.com/event/Battle-of-Waterloo,niet gevonden,
332,geblokkeerd,puzzel,Hoeveel soldaten telde het leger van Napoleon tijdens de invasie van Rusland?,600000,https://www.britannica.com/event/Napoleonic-Wars,http://web.archive.org/web/20260827230242/https://www.britannica.com/event/Napoleonic-Wars,niet gevonden,
368,geblokkeerd,puzzel,Hoeveel Starbucks-winkels zijn er wereldwijd ongeveer?,40000,https://investor.starbucks.com/financial-data/annual-reports/default.aspx,http://web.archive.org/web/20240515225428/https://investor.starbucks.com/financial-data/annual-reports/default.aspx,niet gevonden,
393,geblokkeerd,puzzel,Hoeveel snaren heeft een standaard viool?,4,https://www.britannica.com/art/violin,http://web.archive.org/web/20260829033312/https://www.britannica.com/art/violin,niet gevonden,
498,geblokkeerd,puzzel,Hoeveel minuten officiële speeltijd heeft een basketbalwedstrijd volgens de NBA-regels?,48,https://official.nba.com/rule-no-5-scoring-and-timing/,http://web.archive.org/web/20260822110120/https://official.nba.com/rule-no-5-scoring-and-timing/,niet gevonden,
508,geblokkeerd,puzzel,Hoeveel Aardes passen er qua volume in de Zon?,1300000,https://whc.unesco.org/en/list/1631/,http://web.archive.org/web/20260830120558/https://whc.unesco.org/en/list/1631/,niet gevonden,
525,geblokkeerd,puzzel,"Hoeveel miljard kilometer legt licht af in één lichtjaar, afgerond?",9460,https://whc.unesco.org/en/list/430/,http://web.archive.org/web/20260903123951/https://whc.unesco.org/en/list/430,niet gevonden,
539,geblokkeerd,puzzel,Hoeveel letters had het klassieke Latijnse alfabet?,23,https://www.britannica.com/topic/Latin-language,http://web.archive.org/web/20260906213642/https://www.britannica.com/topic/Latin-language,niet gevonden,
543,geblokkeerd,puzzel,Hoeveel letters heeft het Russische alfabet?,33,https://www.britannica.com/topic/Cyrillic-alphabet,http://web.archive.org/web/20260618122324/https://www.britannica.com/topic/Cyrillic-alphabet,bevestigd,"Modern Russian has 32 letters (33, with inclusion of the soft sign—which is not, strictly speaking, a letter), Bulgarian 30, Serbian 30, and Ukrainian 32 (33)."
545,geblokkeerd,puzzel,Hoeveel medeklinkerletters heeft het Thaise alfabet?,44,https://www.britannica.com/topic/Thai-language,http://web.archive.org/web/20260814082621/https://www.britannica.com/topic/Thai-language,niet gevonden,
555,geblokkeerd,puzzel,In welk jaar werd de eerste barcode in een winkel gescand?,1974,https://www.gs1.org/about-gs1/history,https://www.gs1.org/about-gs1/history,geen archiefkopie,
556,geblokkeerd,puzzel,In welk jaar werd de eerste camera uitgevonden?,1816,https://www.britannica.com/technology/photography,http://web.archive.org/web/20260905213332/https://www.britannica.com/technology/photography,niet gevonden,
560,geblokkeerd,puzzel,In welk jaar werd de eerste radio-uitzending gemaakt?,1906,https://www.britannica.com/technology/radio,https://www.britannica.com/technology/radio,geen archiefkopie,
565,geblokkeerd,puzzel,Hoeveel landen liggen op het Iberisch Schiereiland?,3,https://www.britannica.com/place/Iberian-Peninsula,http://web.archive.org/web/20260829052245/https://www.britannica.com/place/Iberian-Peninsula,niet gevonden,
566,geblokkeerd,puzzel,Hoeveel landen vormen Centraal-Amerika?,7,https://www.britannica.com/place/Central-America,http://web.archive.org/web/20260901081724/https://www.britannica.com/place/Central-America,niet gevonden,
567,geblokkeerd,puzzel,Hoeveel landen worden door de evenaar doorkruist?,13,https://www.britannica.com/place/Equator,http://web.archive.org/web/20260904025927/https://www.britannica.com/place/Equator,niet gevonden,
572,geblokkeerd,puzzel,Hoeveel kilometer per uur rijdt een hogesnelheidstrein zoals de TGV maximaal in reguliere dienst?,320,https://www.sncf.com/en/group/profile-and-key-figures,http://web.archive.org/web/20230925024422/https://www.sncf.com/en/group/profile-and-key-figures,niet gevonden,
588,geblokkeerd,puzzel,Hoeveel wielen heeft een tuk-tuk meestal?,3,https://www.britannica.com/technology/auto-rickshaw,https://www.britannica.com/technology/auto-rickshaw,geen archiefkopie,
589,geblokkeerd,puzzel,In welk jaar reed de eerste auto met een verbrandingsmotor?,1886,https://www.britannica.com/technology/automobile,http://web.archive.org/web/20260901083543/https://www.britannica.com/technology/automobile,niet gevonden,
590,geblokkeerd,puzzel,In welk jaar voer de eerste moderne onderzeeër succesvol?,1800,https://www.britannica.com/technology/submarine-naval-vessel,http://web.archive.org/web/20260714211735/https://www.britannica.com/technology/submarine-naval-vessel,getal gezien,"In 1800, while in France, Fulton built the submarine Nautilus under a grant from Napoleon Bonaparte."
594,geblokkeerd,puzzel,Hoeveel deelverzamelingen heeft een verzameling met acht elementen?,256,https://www.britannica.com/science/set-theory,http://web.archive.org/web/20260519014218/https://www.britannica.com/science/set-theory,niet gevonden,
596,geblokkeerd,puzzel,Hoeveel mogelijke worpen zijn er met drie gewone dobbelstenen?,216,https://www.britannica.com/science/combinatorics,http://web.archive.org/web/20260814081725/https://www.britannica.com/science/combinatorics,niet gevonden,
598,geblokkeerd,puzzel,Hoeveel verschillende uitkomsten heeft het gooien met twee gewone dobbelstenen?,11,https://www.britannica.com/science/probability-theory,http://web.archive.org/web/20260906135935/https://www.britannica.com/science/probability-theory,niet gevonden,
602,geblokkeerd,—,Hoeveel biljoen bacteriën leven er naar schatting in en op het menselijk lichaam?,38,https://whc.unesco.org/en/list/1321/,http://web.archive.org/web/20260906063436/https://whc.unesco.org/en/list/1321/,niet gevonden,
604,geblokkeerd,—,Hoeveel duizend keer klopt een mensenhart per dag (bij rust)?,100,https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates,http://web.archive.org/web/20260512100438/https://www.heart.org/en/healthy-living/fitness/fitness-basics/target-heart-rates,getal gezien,"For most adults, a resting heart rate between 60 and 100 beats per minute is normal."
607,geblokkeerd,—,Hoeveel liter zuurstof ademt een mens gemiddeld per dag in?,550,https://whc.unesco.org/en/list/1187/,http://web.archive.org/web/20260830234257/https://whc.unesco.org/en/list/1187,niet gevonden,
612,geblokkeerd,—,Hoeveel vierkante centimeter is de totale oppervlakte van je huid?,18000,https://whc.unesco.org/en/list/1321/,http://web.archive.org/web/20260906063436/https://whc.unesco.org/en/list/1321/,niet gevonden,
613,geblokkeerd,—,In welk jaar werd de eerste bloedtransfusie met succes uitgevoerd?,1818,https://www.britannica.com/science/blood-transfusion,http://web.archive.org/web/20260722211300/https://www.britannica.com/science/blood-transfusion,niet gevonden,
619,geblokkeerd,—,Hoeveel boeken bevat de Hebreeuwse Bijbel volgens de joodse indeling?,24,https://www.britannica.com/topic/Hebrew-Bible,http://web.archive.org/web/20260329203243/https://www.britannica.com/topic/Hebrew-Bible,niet gevonden,
620,geblokkeerd,—,Hoeveel boeken bevat de katholieke Bijbel?,73,https://www.britannica.com/topic/biblical-canon,http://web.archive.org/web/20260730231334/https://www.britannica.com/topic/biblical-canon,niet gevonden,
624,geblokkeerd,—,Hoeveel hoofdstukken bevat Alice’s Adventures in Wonderland?,12,https://www.britannica.com/topic/Alices-Adventures-in-Wonderland,http://web.archive.org/web/20260801155625/https://www.britannica.com/topic/Alices-Adventures-in-Wonderland,niet gevonden,
625,geblokkeerd,—,Hoeveel snaren heeft een standaard akoestische gitaar?,6,https://www.poetryfoundation.org/education/glossary/haiku,http://web.archive.org/web/20250907032418/https://www.poetryfoundation.org/education/glossary/haiku,niet gevonden,
639,geblokkeerd,—,Hoeveel eitjes kan een koninginnenbij per dag leggen?,2000,https://whc.unesco.org/en/criteria/,http://web.archive.org/web/20260829085045/https://whc.unesco.org/en/criteria/,niet gevonden,
654,geblokkeerd,—,Hoeveel kilometer moet een bijenvolk gezamenlijk vliegen om één kilo honing te produceren?,90000,https://unesdoc.unesco.org/en/archives/about-unesco-history-and-mission,https://unesdoc.unesco.org/en/archives/about-unesco-history-and-mission,geen archiefkopie,
668,geblokkeerd,—,Hoeveel poten hebben volwassen kreeftachtigen van de orde Decapoda volgens de naam?,10,https://www.britannica.com/animal/decapod,http://web.archive.org/web/20260215041118/https://www.britannica.com/animal/decapod,bevestigd,The presence of five pairs of thoracic legs (pereiopods) is the basis for the name decapod (from the Greek meaning “10 legs”).
669,geblokkeerd,—,Hoeveel poten heeft een insect?,6,https://www.si.edu/spotlight/buginfo/insects,https://www.si.edu/spotlight/buginfo/insects,geen archiefkopie,
681,geblokkeerd,—,Hoeveel spieren zitten er in de slurf van een olifant?,40000,https://whc.unesco.org/en/list/1613/,https://whc.unesco.org/en/list/1613/,geen archiefkopie,
685,geblokkeerd,—,Hoeveel tentakels heeft een octopus?,8,https://ocean.si.edu/ocean-life/invertebrates/octopus,https://ocean.si.edu/ocean-life/invertebrates/octopus,geen archiefkopie,
692,geblokkeerd,—,Hoeveel bedrijven bevat de S&P 500-index?,500,https://www.spglobal.com/spdji/en/indices/equity/sp-500/,http://web.archive.org/web/20260905160242/https://www.spglobal.com/spdji/en/indices/equity/sp-500/,bevestigd,S&P 500&reg; | S&P; Dow Jones Indices
773,geblokkeerd,—,Hoeveel ingangen heeft het Colosseum?,80,https://www.britannica.com/topic/Colosseum,http://web.archive.org/web/20260901170446/https://www.britannica.com/topic/Colosseum,bevestigd,"The completed structure was dedicated in 80 ce by Titus , Vespasian’s son and successor."
776,geblokkeerd,—,Hoeveel jaar duurde de bouw van het Colosseum?,8,https://www.britannica.com/topic/Colosseum,http://web.archive.org/web/20260901170446/https://www.britannica.com/topic/Colosseum,getal gezien,Colosseum - Children's Encyclopedia (Ages 8-11)
783,geblokkeerd,—,Hoeveel kilometer staaldraad zit er in één hoofdkabel van de Golden Gate Bridge?,128000,https://whc.unesco.org/en/list/1187/,http://web.archive.org/web/20260830234257/https://whc.unesco.org/en/list/1187,niet gevonden,
