Nr,Uitkomst,In gebruik,Vraag NL,Antwoord,Bron,Artikel,Bewijs
484,bevestigd,puzzel,Hoeveel pionnen bevat een klassieke Monopoly-set volgens de moderne standaarduitvoering?,8,https://en.wikipedia.org/wiki/Monopoly_%28game%29,Monopoly (game),"==== Token Madness ====
This version of Monopoly contains 8 of the 56 tokens from the 2017 Token Madness event."
491,geen bron,puzzel,Hoeveel vakjes heeft een standaard Mens-erger-je-niet-bord per spelerskleur?,40,,,
546,natellen,puzzel,Hoeveel duizend zoekopdrachten verwerkt Google wereldwijd per seconde?,99,https://nl.wikipedia.org/wiki/Google_LLC,Google LLC,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
595,geen bron,puzzel,Hoeveel graden is elke binnenhoek van een regelmatige vijfhoek?,108,,,
599,geen bron,puzzel,Hoeveel zijden heeft een icosaeder?,20,,,
601,geen bron,—,Hoeveel basissmaken worden in de moderne smaakleer onderscheiden?,5,,,
603,geen bron,—,Hoeveel botten zitten er in één menselijke voet en enkel?,26,,,
610,natellen,—,Hoeveel ribben heeft een menselijk lichaam in totaal?,24,https://nl.wikipedia.org/wiki/Menselijk_lichaam,Menselijk lichaam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
611,natellen,—,Hoeveel spieren heeft het menselijk lichaam ongeveer?,600,https://nl.wikipedia.org/wiki/Menselijk_lichaam,Menselijk lichaam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
614,natellen,—,In welk jaar werd de eerste röntgenfoto gemaakt?,1895,https://nl.wikipedia.org/wiki/X-ray,X-ray,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
632,geen bron,—,Hoeveel vakken heeft een standaard eierdoos?,12,,,
633,natellen,—,Hoeveel bijenkorven produceert de gemiddelde Ethiopische bijenhouder per jaar?,0,https://nl.wikipedia.org/wiki/Ethiopische_kalender,Ethiopische kalender,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
635,geen bron,—,Hoeveel centimeter hoog wordt een volwassen emoe?,170,,,
637,geen bron,—,Hoeveel dieren bevat de klassieke Big Five van Afrika?,5,,,
638,geen bron,—,Hoeveel eieren legt een kangoeroe per worp?,0,,,
642,geen bron,—,Hoeveel kamers heeft de maag van een geit?,4,,,
643,bevestigd,—,Hoeveel kilogram weegt een volwassen mannelijke rode reuzenkangoeroe maximaal?,90,https://nl.wikipedia.org/wiki/Rode_reuzenkangoeroe,Rode reuzenkangoeroe,"Vrouwtjes zijn kleiner en lichter, gewoonlijk tussen 18 en 36 kg, 75 tot 110 cm lang met een staart van 65 tot 90 cm."
644,natellen,—,"Hoeveel kilogram voedsel (bladeren, gras, takken) eet een volwassen Afrikaanse olifant per dag?",150,https://nl.wikipedia.org/wiki/Afrikaans,Afrikaans,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
645,natellen,—,Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?,6000,https://nl.wikipedia.org/wiki/Afrika,Afrika,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
647,natellen,—,Hoeveel kilogram weegt een volwassen mannelijke Bengaalse tijger?,220,https://nl.wikipedia.org/wiki/Bengaalse_tijger,Bengaalse tijger,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
648,geen bron,—,Hoeveel kilogram weegt een volwassen nijlpaard?,1500,,,
649,geen bron,—,Hoeveel kilogram weegt een volwassen emoe?,45,,,
650,geen bron,—,Hoeveel kilogram weegt een volwassen giraffe?,1200,,,
651,geen bron,—,Hoeveel kilogram weegt een volwassen mannelijke jaguar?,100,,,
652,bevestigd,—,Hoeveel kilogram weegt een volwassen witte neushoorn?,2000,https://nl.wikipedia.org/wiki/Witte_neushoorn,Witte neushoorn,"Worden vrouwtjes zo'n 1400 tot 2000 kilogram zwaar, mannetjes kunnen 2000 tot 3600 kilogram wegen."
655,geen bron,—,Hoeveel kilometer per uur haalt een cheetah op zijn snelst?,110,,,
656,geen bron,—,Hoeveel kilometer per uur sprint een jaguar?,80,,,
657,geen bron,—,Hoeveel kilometer per uur sprint een leeuw?,80,,,
659,geen bron,—,Hoeveel magen heeft een koe?,4,,,
662,bevestigd,—,Hoeveel meter lang kan een volwassen nijlkrokodil worden?,5,https://en.wikipedia.org/wiki/Nile,Nile,One of the most visited destinations along the Nile is the Giza pyramid complex – about 9 kilometers (5.6 mi) from the modern course of the Nile in Cairo – which has been a tourist destination since the time of the Greeks.
663,natellen,—,Hoeveel meter lang wordt een Afrikaanse olifant?,7,https://nl.wikipedia.org/wiki/Afrikaans,Afrikaans,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
664,geen bron,—,Hoeveel meter lang wordt een zoutwaterkrokodil maximaal?,6,,,
671,natellen,—,Hoeveel procent van de wilde leeuwen leeft in Sub-Sahara Afrika?,95,https://nl.wikipedia.org/wiki/Sub-Sahara,Sub-Sahara,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
672,bevestigd,—,Hoeveel apensoorten telt het Amazonegebied ongeveer?,100,https://nl.wikipedia.org/wiki/Amazon.com,Amazon.com,In 2015 bereikte het bedrijf voor het eerst een omzet van meer dan 100 miljard dollar.
675,natellen,—,Hoeveel soorten telt de kangoeroefamilie (Macropodidae)?,65,https://en.wikipedia.org/wiki/Macropodidae,Macropodidae,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
680,natellen,—,Hoeveel vogelsoorten telt het Amazonegebied?,1300,https://nl.wikipedia.org/wiki/Amazonebekken,Amazonebekken,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
683,natellen,—,Hoeveel tanden heeft een volwassen witte haai in één functionele tandrij?,24,https://nl.wikipedia.org/wiki/Witte_haai,Witte haai,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
684,geen bron,—,Hoeveel tanden wisselt een haai gedurende zijn leven ongeveer?,20000,,,
686,geen bron,—,Hoeveel uur per dag slaapt een koala?,20,,,
687,geen bron,—,Hoeveel uur per dag slaapt een leeuw gemiddeld?,20,,,
688,bevestigd,—,Hoeveel van de 10 giftigste slangen ter wereld komen voor in Australië?,0,https://nl.wikipedia.org/wiki/Australi%C3%AB_%28land%29,Australië (land),"| class=""ta-left"" | Presbyterianisme|Presbyteriaan || 599.500 || 2,8 || 526.700 || 2,3 || −0,5 || −12,1"
690,natellen,—,Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?,900,https://nl.wikipedia.org/wiki/American,American,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
695,geen bron,—,Hoeveel biljoen dollar is de jaarlijkse wereldhandel in goederen ongeveer?,26,,,
699,geen bron,—,Hoeveel landen zijn lid van de G7?,7,,,
700,geen bron,—,Hoeveel munten telt een volledige set eurocent- en euromunten?,8,,,
706,geen bron,—,Hoeveel dagen rijpt Parmigiano Reggiano minimaal?,12,,,
713,geen bron,—,Hoeveel kruiden bevat de klassieke Chinese Five-Spice?,5,,,
714,natellen,—,Hoeveel landen hebben de Italiaanse pizza Margherita als cultureel erfgoed erkend?,1,https://en.wikipedia.org/wiki/Italian_immigration_to_Belgium,Italian immigration to Belgium,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
718,bevestigd,—,Hoeveel liter olijfolie gebruikt een Griek per jaar?,20,https://nl.wikipedia.org/wiki/Griekenland,Griekenland,"In 2016 was 20,7% van de bevolking 65 jaar of ouder, terwijl dit in 1971 slechts 10,9% van de bevolking was."
720,geen bron,—,Hoeveel procent cacao heeft standaard pure chocolade?,70,,,
721,natellen,—,Hoeveel procent van de wereldcacao komt uit West-Afrika?,70,https://nl.wikipedia.org/wiki/West-Afrika,West-Afrika,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
723,natellen,—,Hoeveel soorten worst kent de Duitse keuken ongeveer?,300,https://en.wikipedia.org/wiki/Duitse_Huis,Duitse Huis,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
725,bevestigd,—,Hoeveel kaassoorten produceert Frankrijk ongeveer?,300,https://nl.wikipedia.org/wiki/Frankrijk,Frankrijk,"De best verkopende landelijke dagbladen zijn Le Monde (centrumlinks), Libération (links) en Le Figaro (rechts) met circa 300.000 exemplaren per dag en L'Équipe, met voornamelijk sportverslaggeving."
731,natellen,—,Hoeveel Mad Max films zijn er in totaal gemaakt?,5,https://nl.wikipedia.org/wiki/Mad_Max,Mad Max,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
737,bevestigd,—,Hoeveel Oscars won de film Parasite?,4,https://nl.wikipedia.org/wiki/Parasite_%282019%29,Parasite (2019),| rowspan=4| 73e British Academy Film Awards|BAFTA Awards || colspan=2|Beste film || {{Tabelcel genomineerd}}
748,natellen,—,Hoeveel woorden telt de complete Harry Potter boekenserie (Engels origineel)?,1084170,https://nl.wikipedia.org/wiki/Harry_Potter_%28boekenreeks%29,Harry Potter (boekenreeks),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
750,geen bron,—,In welk jaar werd de eerste film publiek vertoond?,1895,,,
754,natellen,—,Hoeveel boeken telt de Tenach in de joodse traditie?,24,https://nl.wikipedia.org/wiki/Tenach,Tenach,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
756,natellen,—,Hoeveel dialogen van Plato zijn traditioneel bewaard gebleven?,36,https://nl.wikipedia.org/wiki/Plato,Plato,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
758,bevestigd,—,Hoeveel edelwaarheden kent het boeddhisme?,4,https://en.wikipedia.org/wiki/Buddhism,Buddhism,"It is the world's fourth-largest religion, with about 320 million followers, known as Buddhists, who comprise 4.1% of the global population."
764,natellen,—,Hoeveel opdrachten (werken) moest Hercules voltooien volgens de Griekse mythologie?,12,https://nl.wikipedia.org/wiki/Hercules,Hercules,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
765,geen bron,—,Hoeveel paden telt het Achtvoudige Pad van het boeddhisme?,8,,,
766,bevestigd,—,Hoeveel miljoen pelgrims bezoeken Mekka jaarlijks?,2,https://en.wikipedia.org/wiki/Mecca,Mecca,"Its metropolitan population in 2022 was 2.4 million, making it the third most populated city in Saudi Arabia after Riyadh and Jeddah."
767,natellen,—,Hoeveel procent van de wereldbevolking is boeddhistisch?,7,https://nl.wikipedia.org/wiki/Mahayana_Temple_Buddhist_Association,Mahayana Temple Buddhist Association,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
769,bevestigd,—,Hoeveel zwaarden waren er volgens de legende van koning Arthur beschikbaar?,1,https://en.wikipedia.org/wiki/King_Arthur,King Arthur,1–14.
770,bevestigd,—,Hoeveel piramides telt Egypte ongeveer?,120,https://nl.wikipedia.org/wiki/Egypte_%28land%29,Egypte (land),| vlag = Bestand:Flag of Egypt.svg|120px|rand|Vlag van Egypte
772,bevestigd,—,Hoeveel boogsegmenten telt het Colosseum per verdieping?,80,https://nl.wikipedia.org/wiki/Colosseum,Colosseum,"Na de voltooiing in 80 werd het ingewijd door keizer Titus, de oudste zoon van keizer Vespasianus."
774,bevestigd,—,Hoeveel jaar duurde de bouw van de Dom van Keulen?,632,https://en.wikipedia.org/wiki/Cologne_Cathedral,Cologne Cathedral,"At that time, the cathedral had a height of 157 metres (515 ft), making it the tallest building in the world – after a total of 632 years of construction."
782,natellen,—,Hoeveel kilometer van de Kanaaltunnel ligt onder zee?,38,https://nl.wikipedia.org/wiki/Kanaaltunnel,Kanaaltunnel,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
784,natellen,—,Hoeveel kilometer lang was Route 66?,3945,https://nl.wikipedia.org/wiki/Route,Route,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
786,natellen,—,"Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?",96,https://nl.wikipedia.org/wiki/Big_Ben,Big Ben,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
787,geen bron,—,Hoeveel meter hoog is het Christus Verlosser-beeld zonder sokkel?,30,,,
789,geen bron,—,Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?,40,,,
792,natellen,—,Hoeveel meter hoog is de Grote Piramide van Gizeh nu?,139,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,Great Pyramid of Giza,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
801,bevestigd,—,Hoeveel meter hoog is kasteel Neuschwanstein?,65,https://en.wikipedia.org/wiki/Neuschwanstein_Castle,Neuschwanstein Castle,"According to Guinness World Records, at 65 metres (213 feet), it is the tallest castle in the world."
807,bevestigd,—,Hoeveel piramides telt het piramideveld van Gizeh (de drie grote)?,3,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,Great Pyramid of Giza,"According to Diodorus, the cladding of the pyramid was still in excellent condition at the time, whereas the uppermost part of the pyramid was formed by a platform 6 cubits (3.1 m; 10.3 ft) high."
808,bevestigd,—,Hoeveel rivieren bruggen telt Sydney Harbour?,0,https://en.wikipedia.org/wiki/Sydney_Harbour_Bridge,Sydney Harbour Bridge,| length = {{Convert|1149|m|ft|0|abbr=on}}
811,bevestigd,—,Hoeveel sluizen heeft het Panamakanaal?,12,https://en.wikipedia.org/wiki/Panama_Canal,Panama Canal,"For its first century, the width and length of ships that may transit the canal was limited by the Pedro Miguel Locks; their draft by the canal's minimum 12.6 m (41.2 ft) depth; and their height by the main span of the Bridge of the Americas at Balboa."
812,bevestigd,—,Hoeveel stappen telt El Castillo van Chichen Itza in totaal inclusief de top?,365,https://en.wikipedia.org/wiki/El_Castillo%2C_Chichen_Itza,"El Castillo, Chichen Itza","All four sides of the temple have approximately 91 steps which, when added together and including the temple platform on top as the final ""step"", may produce a total of 365 steps (the steps on the south side of the temple are eroded)."
813,geen bron,—,Hoeveel stappen telt de Mayapyramide El Castillo per zijde?,91,,,
824,natellen,—,Hoeveel verdiepingen heeft de Q1 Tower in Gold Coast (tallest in Australië)?,78,https://nl.wikipedia.org/wiki/Gold_Coast,Gold Coast,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
825,natellen,—,Hoeveel verdiepingen heeft de Tokyo Skytree uitkijkplatform?,2,https://nl.wikipedia.org/wiki/Tokyo_Skytree,Tokyo Skytree,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
826,natellen,—,Hoeveel verdiepingen heeft het Witte Huis?,4,https://nl.wikipedia.org/wiki/Witte_Huis_%28Washington%29,Witte Huis (Washington),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
834,natellen,—,Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan?,23,https://nl.wikipedia.org/wiki/Atlantische_Oceaan,Atlantische Oceaan,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
835,natellen,—,Hoeveel Afrikaanse landen grenzen aan de Middellandse Zee?,6,https://nl.wikipedia.org/wiki/Middellandse_Zee,Middellandse Zee,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
836,natellen,—,Hoeveel Afrikaanse landen liggen aan de Rode Zee?,6,https://nl.wikipedia.org/wiki/Afrikaans,Afrikaans,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
838,natellen,—,Hoeveel duizend inwoners heeft Luxemburg?,660,https://nl.wikipedia.org/wiki/Luxemburg_%28land%29,Luxemburg (land),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
841,bevestigd,—,Hoeveel eilanden telt Papoea-Nieuw-Guinea ongeveer?,600,https://en.wikipedia.org/wiki/Papua_New_Guinea,Papua New Guinea,"There are four larger islands (Bougainville, Manus, New Britain, and New Ireland) and over 600 smaller ones; the smaller islands also often have steep slopes and small coastal areas."
846,bevestigd,—,Hoeveel eilandstaten telt Afrika?,6,https://en.wikipedia.org/wiki/Africa,Africa,"At about 30.3 million km2 (11.7 million square miles) including adjacent islands, it covers around 20% of Earth's land area and 6% of its total surface area."
848,bevestigd,—,Hoeveel hoofdeilanden heeft Nieuw-Zeeland?,2,https://nl.wikipedia.org/wiki/Nieuw-Zeeland,Nieuw-Zeeland,"| religie = 15,4% Protestantisme|protestants 10,1% Katholicisme|katholiek 11,9% overig Christendom|christelijk 1,1% boeddhisme|boeddhistisch 2,7% Hindoeïsme|hindoeïstisch 8,9% overige of niet opgegeven 48,6% niet-religieus"
853,natellen,—,Hoeveel duizend kilometer lang is de Australische kustlijn?,36,https://en.wikipedia.org/wiki/Australische_Zeitung,Australische Zeitung,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
859,natellen,—,Hoeveel kilometer breed is de Kalahariwoestijn ongeveer?,900,https://nl.wikipedia.org/wiki/Kalahari,Kalahari,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
868,natellen,—,Hoeveel kilometer lang is de kustlijn van Canada ongeveer?,202080,https://nl.wikipedia.org/wiki/Canada,Canada,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
871,natellen,—,Door hoeveel landen loopt het Andesgebergte?,7,https://nl.wikipedia.org/wiki/Andes,Andes,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
875,natellen,—,Hoeveel landen grenzen aan Argentinië?,5,https://nl.wikipedia.org/wiki/Argentini%C3%AB,Argentinië,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
880,natellen,—,Hoeveel landen grenzen aan Congo-Kinshasa?,9,https://nl.wikipedia.org/wiki/Congo-Kinshasa,Congo-Kinshasa,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
884,natellen,—,Hoeveel landen grenzen aan Ethiopië?,6,https://nl.wikipedia.org/wiki/Ethiopi%C3%AB,Ethiopië,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
885,bevestigd,—,Hoeveel landen grenzen aan Frankrijk (vasteland excl. overzeese gebieden)?,8,https://en.wikipedia.org/wiki/France,France,"French films account for 35% of the total film revenues of France, which is the highest percentage of national film revenues in the developed world outside the United States, compared to 14% in Spain and 8% in the UK."
887,natellen,—,Hoeveel landen grenzen aan Guatemala?,4,https://nl.wikipedia.org/wiki/Guatemala,Guatemala,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
888,natellen,—,Hoeveel landen grenzen aan Honduras?,3,https://nl.wikipedia.org/wiki/Honduras,Honduras,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
890,natellen,—,Hoeveel landen grenzen aan Kameroen?,6,https://nl.wikipedia.org/wiki/Kameroen,Kameroen,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
891,natellen,—,Hoeveel landen grenzen aan Kenia?,5,https://nl.wikipedia.org/wiki/Kenia,Kenia,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
894,natellen,—,Hoeveel landen grenzen aan Mozambique?,6,https://nl.wikipedia.org/wiki/Mozambique,Mozambique,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
898,natellen,—,Hoeveel landen grenzen aan Oeganda?,5,https://nl.wikipedia.org/wiki/Oeganda,Oeganda,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
906,natellen,—,Hoeveel landen grenzen aan Spanje (vasteland)?,5,https://nl.wikipedia.org/wiki/Spanje,Spanje,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
907,natellen,—,Hoeveel landen grenzen aan Tanzania?,8,https://nl.wikipedia.org/wiki/Tanzania,Tanzania,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
911,bevestigd,—,Hoeveel landen grenzen aan Zuid-Afrika?,6,https://en.wikipedia.org/wiki/South_Africa,South Africa,"As of 2026, its largest export markets are China (12.5%), the United States (7.7%), Germany (7.4%), Japan (5.6%) and the United Kingdom (4.0%), while its principal import sources are China (22.7%), India (12.2%), Nigeria (6.8%), the United States (6.3%) and Germany (5.7%)."
919,natellen,—,Hoeveel landen liggen er aan de Middellandse Zee (Noord-Afrika + Europa + Azië)?,22,https://nl.wikipedia.org/wiki/Middellandse_Zee,Middellandse Zee,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
920,bevestigd,—,Hoeveel landen telt Europa?,50,https://en.wikipedia.org/wiki/Europe,Europe,"In the course of the 5th century BCE, several of the Greek city states would ultimately check the Achaemenid Persian advance in Europe through the Greco-Persian Wars, considered a pivotal moment in world history, as the 50 years of peace that followed are known as Golden Age of Athens, the seminal period of ancient Gre"
921,bevestigd,—,Hoeveel landen liggen er in Melanesië?,4,https://en.wikipedia.org/wiki/Melanesia,Melanesia,|title = ''' List of sovereign states and dependent territories in Oceania|4 '''
923,bevestigd,—,Hoeveel landen telt Azië?,49,https://en.wikipedia.org/wiki/Asia,Asia,"Asia is subdivided into 49 countries, five of them (Georgia, Azerbaijan, Russia, Kazakhstan and Turkey) are transcontinental countries lying partly in Europe."
924,bevestigd,—,Hoeveel landen telt Midden-Amerika?,7,https://en.wikipedia.org/wiki/Central_America,Central America,"SICA membership includes the 7 nations of Central America plus the Dominican Republic, a state that is traditionally considered part of the Caribbean."
925,natellen,—,Hoeveel landen telt de Sahel-regio?,10,https://nl.wikipedia.org/wiki/Sahel_%28Burkina_Faso%29,Sahel (Burkina Faso),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
931,geen bron,—,Hoeveel meter hoog is de K2?,8611,,,
943,bevestigd,—,Hoeveel meter hoog zijn de Victoriawatervallen?,108,https://en.wikipedia.org/wiki/Victoria_Falls,Victoria Falls,"== Size ==
Victoria Falls is classified as the largest based on its combined width of 1,708 metres (5,604 ft) and height of 108 metres (354 ft), resulting in the world's largest sheet of falling water."
949,bevestigd,—,Hoeveel miljoen inwoners heeft Colombia?,52,https://en.wikipedia.org/wiki/Colombia,Colombia,"It covers an area of 1,141,748 square kilometers (440,831 sq mi) and has a population of around 52 million."
950,natellen,—,Hoeveel miljoen inwoners heeft Mexico?,130,https://nl.wikipedia.org/wiki/Mexico_%28land%29,Mexico (land),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
951,bevestigd,—,Hoeveel miljoen inwoners heeft Nieuw-Zeeland?,5,https://en.wikipedia.org/wiki/New_Zealand,New Zealand,"Today, the majority of New Zealand's population of around 5.3 million is of European descent; the indigenous Māori are the largest minority, followed by Asians and Pasifika."
954,natellen,—,Hoeveel nationale parken telt de Verenigde Staten?,63,https://nl.wikipedia.org/wiki/Verenigde_Staten,Verenigde Staten,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
959,natellen,—,Hoeveel procent van Australië is woestijn of droog gebied?,70,https://nl.wikipedia.org/wiki/Australi%C3%AB_%28land%29,Australië (land),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
963,bevestigd,—,Hoeveel regio's telt Nieuw-Zeeland?,16,https://nl.wikipedia.org/wiki/Nieuw-Zeeland,Nieuw-Zeeland,"Van de protestantse kerkgenootschappen is de Anglicaanse Kerk de grootste (22%), gevolgd door de presbyterianen (16%) en de methodisten (5%)."
964,bevestigd,—,Hoeveel staatjes telt Micronesië als federatie?,4,https://en.wikipedia.org/wiki/Micronesia,Micronesia,"The 2010 census showed the Northern Mariana Islands was 50% Asian of which 35.3% were Filipino, 6.8% Chinese, 4.2% Korean and 3.7% other Asian (mainly Japanese, Bangladeshi and Thai)."
966,natellen,—,Hoeveel sterren staan er op de Amerikaanse vlag?,50,https://nl.wikipedia.org/wiki/American,American,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
968,natellen,—,Hoeveel territoria heeft Australië naast de staten?,2,https://nl.wikipedia.org/wiki/Australi%C3%AB_%28land%29,Australië (land),Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
969,bevestigd,—,Hoeveel tijdzones heeft Australië?,3,https://en.wikipedia.org/wiki/Australia,Australia,"Australia has a population density of 3.4 persons per square kilometre of total land area, which makes it one of the most sparsely populated countries in the world."
