Nr,Vraag NL,Ons antwoord,Eigenschap,Onderwerp,Wikidata-item,Wikidata-waarde,Peiljaar,Oordeel,Afwijking,Bron
862,Hoeveel kilometer lang is de Murray?,2508,P2043 (lengte),Murray,Murray,2530000.0,,klopt,0.9%,https://www.wikidata.org/wiki/Q183078
863,Hoeveel kilometer lang is de Niger?,4200,P2043 (lengte),Niger,Niger,,,geen waarde,,https://www.wikidata.org/wiki/Q1032
865,Hoeveel kilometer lang is de Rijn?,1230,P2043 (lengte),Rijn,Rijn,1232700.0,,klopt,0.2%,https://www.wikidata.org/wiki/Q584
866,Hoeveel kilometer lang is de Zambezi?,2574,P2043 (lengte),Zambezi,Zambezi,2574000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q43106
868,Hoeveel kilometer lang is de kustlijn van Canada ongeveer?,202080,P2043 (lengte),Canada,Canada,,,geen waarde,,https://www.wikidata.org/wiki/Q16
869,Hoeveel kilometer lang is de kustlijn van de Middellandse Zee ongeveer?,46000,P2043 (lengte),Middellandse Zee,Middellandse Zee,,,geen waarde,,https://www.wikidata.org/wiki/Q4918
870,Hoeveel kilometer lang is het Tanganyikameer ongeveer?,660,P2043 (lengte),Tanganyikameer,Tanganyikameer,673000.0,,klopt,1.9%,https://www.wikidata.org/wiki/Q5511
929,Hoeveel meter breed zijn de Victoriawatervallen?,1708,P2049 (breedte),Victoriawatervallen,Victoriawatervallen,1707.0,,klopt,0.1%,https://www.wikidata.org/wiki/Q43278
932,Hoeveel meter hoog is Mount Cook (Aoraki)?,3724,P2044 (hoogte boven zeeniveau),Mount Cook,Mount Cook,3724.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q5059
933,Hoeveel meter hoog is Mount Everest?,8849,P2044 (hoogte boven zeeniveau),Mount Everest,Mount Everest,8848.344000000001,,klopt,0.0%,https://www.wikidata.org/wiki/Q513
934,Hoeveel meter hoog is Mount Kenya?,5199,P2044 (hoogte boven zeeniveau),Mount Kenya,Mount Kenya,5199.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q172070
935,"Hoeveel meter hoog is Mount Kosciuszko, het hoogste punt van Australië?",2228,P2044 (hoogte boven zeeniveau),Mount Kosciuszko,Mount Kosciuszko,2228.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q178167
936,Hoeveel meter hoog is Uluru?,348,P2048 (hoogte),Uluru,Uluṟu,,,geen waarde,,https://www.wikidata.org/wiki/Q33910
937,Hoeveel meter hoog is de Aconcagua?,6961,P2048 (hoogte),Aconcagua,Aconcagua,,,geen waarde,,https://www.wikidata.org/wiki/Q39739
939,Hoeveel meter hoog is de Kilimanjaro?,5895,P2048 (hoogte),Kilimanjaro,Kilimanjaro,,,geen waarde,,https://www.wikidata.org/wiki/Q7296
942,"Hoeveel meter hoog is de Toubkal, de hoogste top van het Atlasgebergte?",4167,P2048 (hoogte),Atlasgebergte,Atlasgebergte,,,geen waarde,,https://www.wikidata.org/wiki/Q130135
943,Hoeveel meter hoog zijn de Victoriawatervallen?,108,P2048 (hoogte),Victoriawatervallen,Victoriawatervallen,108.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q43278
945,Hoeveel miljoen inwoners heeft Argentinië?,46,P1082 (inwonertal),Argentinië,Argentinië,47327407.0,2022,klopt,2.8%,https://www.wikidata.org/wiki/Q414
946,Hoeveel miljoen inwoners heeft Australië?,27,P1082 (inwonertal),Australië,Australië,27614411.0,2025,klopt,2.2%,https://www.wikidata.org/wiki/Q408
947,Hoeveel miljoen inwoners heeft Brazilië?,212,P1082 (inwonertal),Brazilië,Brazilië,214211951.0,2026,klopt,1.0%,https://www.wikidata.org/wiki/Q155
948,Hoeveel miljoen inwoners heeft Chili?,20,P1082 (inwonertal),Chili,Chili,19458000.0,2021,klopt,2.8%,https://www.wikidata.org/wiki/Q298
949,Hoeveel miljoen inwoners heeft Colombia?,52,P1082 (inwonertal),Colombia,Colombia,52321152.0,2023,klopt,0.6%,https://www.wikidata.org/wiki/Q739
950,Hoeveel miljoen inwoners heeft Mexico?,130,P1082 (inwonertal),Mexico,Mexico,132274416.0,2024,klopt,1.7%,https://www.wikidata.org/wiki/Q96
951,Hoeveel miljoen inwoners heeft Nieuw-Zeeland?,5,P1082 (inwonertal),Nieuw-Zeeland,Nieuw-Zeeland,5307800.0,2024,bijna,5.8%,https://www.wikidata.org/wiki/Q664
952,Hoeveel miljoen inwoners heeft Peru?,34,P1082 (inwonertal),Peru,Peru,34157732.0,2025,klopt,0.5%,https://www.wikidata.org/wiki/Q419
977,Hoeveel vierkante kilometer is Groenland ongeveer groot?,2166000,P2046 (oppervlakte),Groenland,Groenland,2166086000000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q223
978,Hoeveel vierkante kilometer is de oppervlakte van het Baikalmeer ongeveer?,31700,P2046 (oppervlakte),Baikalmeer,Baikalmeer,31722000000.0,,klopt,0.1%,https://www.wikidata.org/wiki/Q5513
979,Hoeveel vierkante kilometer is het Victoriameer ongeveer?,69500,P2046 (oppervlakte),Victoriameer,Victoriameer,68100000000.0,,klopt,2.1%,https://www.wikidata.org/wiki/Q5505
1006,Hoeveel kilometer lang was de historische Zijderoute ongeveer?,7000,P2043 (lengte),Zijderoute,zijderoute,,,geen waarde,,https://www.wikidata.org/wiki/Q36288
1062,Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?,12500,P2067 (massa),Moai-beelden,,,,geen waarde,,
1162,Hoeveel duizend inwoners heeft Rotterdam?,670,P1082 (inwonertal),Rotterdam,Rotterdam,664311.0,2023,klopt,0.9%,https://www.wikidata.org/wiki/Q34370
1173,Hoeveel duizend inwoners heeft Amsterdam?,933,P1082 (inwonertal),Amsterdam,Amsterdam,921468.0,2023,klopt,1.3%,https://www.wikidata.org/wiki/Q727
1181,Hoeveel kilometer lang is de Betuweroute goederenspoorlijn?,160,P2043 (lengte),Betuweroute,Betuweroute,159000.0,,klopt,0.6%,https://www.wikidata.org/wiki/Q850532
1183,Hoeveel kilometer lang is de Elfstedentocht?,199,P2043 (lengte),Elfstedentocht,Elfstedentocht,,,geen waarde,,https://www.wikidata.org/wiki/Q448936
1184,Hoeveel kilometer lang is de HSL-Zuid hogesnelheidslijn?,125,P2043 (lengte),HSL-Zuid,HSL-Zuid,130000.0,,bijna,3.8%,https://www.wikidata.org/wiki/Q225221
1186,Hoeveel kilometer lang is het metronet van Rotterdam?,78,P2043 (lengte),Rotterdam,Rotterdam,,,geen waarde,,https://www.wikidata.org/wiki/Q34370
1188,Hoeveel kilometer lang is de Noord-Zuidlijn Amsterdam?,9,P2043 (lengte),Noord-Zuidlijn Amsterdam,,,,geen waarde,,
1189,Hoeveel kilometer lang is de Van Brienenoordbrug hoofdspansegment?,300,P2043 (lengte),Van Brienenoordbrug,Van Brienenoordbrug,1320.0,,WIJKT AF,22627.3%,https://www.wikidata.org/wiki/Q937720
1191,Hoeveel kilometer lang is de Westerscheldetunnel?,6,P2043 (lengte),Westerscheldetunnel,Westerscheldetunnel,,,geen waarde,,https://www.wikidata.org/wiki/Q1285749
1193,Hoeveel kilometer lang is de kust van de Nederlandse Waddeneilanden ongeveer?,300,P2043 (lengte),Nederlandse Waddeneilanden,Nederlandse Waddeneilanden,,,geen waarde,,https://www.wikidata.org/wiki/Q21192
1196,Hoeveel kilometer lang is de Hanzelijn tussen Lelystad en Zwolle?,50,P2043 (lengte),Hanzelijn,spoorlijn Lelystad - Zwolle,50000.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q771918
1197,Hoeveel vierkante kilometer groot is de provincie Utrecht?,1449,P2046 (oppervlakte),Utrecht,Utrecht,99320000.0,,WIJKT AF,1358.9%,https://www.wikidata.org/wiki/Q803
1213,Hoeveel meter hoog is de Domtoren in Utrecht?,112,P2048 (hoogte),Domtoren,Domtoren,,,geen waarde,,https://www.wikidata.org/wiki/Q3368242
1214,Hoeveel meter hoog is de Euromast vanaf de grond tot de top van de Space Tower?,185,P2048 (hoogte),Euromast van,,,,geen waarde,,
1215,Hoeveel meter hoog is De Zalmhaven in Rotterdam?,215,P2048 (hoogte),De Zalmhaven,De Zalmhaven,,,geen waarde,,https://www.wikidata.org/wiki/Q18816267
1217,Hoeveel meter lang is het cruiseschip Rotterdam?,300,P2043 (lengte),Rotterdam,Rotterdam,,,geen waarde,,https://www.wikidata.org/wiki/Q34370
1249,Hoeveel miljoen inwoners heeft China?,1410,P1082 (inwonertal),China,China,,,geen waarde,,https://www.wikidata.org/wiki/Q29520
1250,Hoeveel miljoen inwoners heeft India?,1440,P1082 (inwonertal),India,India,1326093247.0,2020,bijna,8.6%,https://www.wikidata.org/wiki/Q668
1426,Hoeveel kilometer is de diameter van Jupiter ongeveer?,139820,P2386 (diameter),Jupiter,Jupiter,,,geen waarde,,https://www.wikidata.org/wiki/Q4649
1427,Hoeveel kilometer is de diameter van Mars ongeveer?,6779,P2386 (diameter),Mars,Mars,,,geen waarde,,https://www.wikidata.org/wiki/Q111
1441,Wat is de diameter van de Aarde over de evenaar in kilometers?,12742,P2386 (diameter),Aarde,Aarde,12742000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q2
1442,Wat is de diameter van de Maan in kilometers?,3474,P2386 (diameter),Maan,Maan,3476200.0,,klopt,0.1%,https://www.wikidata.org/wiki/Q405
1487,Hoeveel kilometer lang is de Trans-Siberische spoorlijn?,9289,P2043 (lengte),Trans-Siberische,Trans-Siberische spoorlijn,9288000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q58767
