Nr,In gebruik,Categorie,Vraag NL,Antwoord,Welke bron nodig,Waar te vinden,Bron (door jou)
438,puzzel,Records en vergelijkingen,Hoe klein was het kleinste paard ooit in centimeters?,36,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
439,puzzel,Records en vergelijkingen,Hoe lang duurde de langste plank ooit in minuten?,579,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
443,puzzel,Records en vergelijkingen,Hoe lang was de langste hond ooit in centimeters?,250,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
444,puzzel,Records en vergelijkingen,Hoe lang was de langste hotdog ooit in meters?,203,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
445,puzzel,Records en vergelijkingen,Hoe lang was de langste kat ooit in centimeters?,123,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
446,puzzel,Records en vergelijkingen,Hoe lang was de langste snoepstaaf ooit in kilometer?,1,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
448,puzzel,Records en vergelijkingen,Hoe zwaar was de grootste kaas ooit gemaakt in kilogram?,26000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
449,puzzel,Records en vergelijkingen,Hoe zwaar was de zwaarste hond ooit in kilogram?,156,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
451,puzzel,Records en vergelijkingen,Hoeveel kilometer was de langste zwemtocht ooit?,500,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
452,puzzel,Records en vergelijkingen,Hoeveel marathons liep de persoon met het record voor de meeste marathons?,1000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
454,puzzel,Records en vergelijkingen,Hoeveel piercings had de persoon met de meeste piercings ooit?,453,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
455,puzzel,Records en vergelijkingen,Hoeveel punten scoorde een team in de hoogste basketbalscore ooit?,186,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
457,puzzel,Records en vergelijkingen,Hoeveel voertuigen stonden er ongeveer in de langste file ooit?,12000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1298,—,Records en vergelijkingen,Hoe hoog was de hoogste robot ooit gebouwd in meters?,18,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1299,—,Records en vergelijkingen,Hoe lang was de langste baard ooit in meters?,5,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1300,—,Records en vergelijkingen,Hoe lang was de langste man ooit in centimeters?,272,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1302,—,Records en vergelijkingen,Hoe lang was de langste taart ooit in kilometer?,10,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1303,—,Records en vergelijkingen,Hoe lang was de langste trein ooit in kilometers?,7,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1304,—,Records en vergelijkingen,Hoe lang was de langste trouwjurkstaart ooit in meters?,8095,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1305,—,Records en vergelijkingen,Hoe lang was het langste haar ooit in meters?,6,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1306,—,Records en vergelijkingen,Hoe oud werd de oudste kat ooit in jaren?,38,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1307,—,Records en vergelijkingen,Hoe zwaar was de grootste chocoladereep ooit in kilogram?,13696,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1308,—,Records en vergelijkingen,Hoe zwaar was de grootste portie friet ooit in kilogram?,1000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1309,—,Records en vergelijkingen,Hoe zwaar was de zwaarste schildpad ooit in kilogram?,916,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1312,—,Records en vergelijkingen,Hoeveel liter soep bevatte de grootste kom soep ooit?,20000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1313,—,Records en vergelijkingen,Hoeveel mensen deden mee aan het grootste waterballonnengevecht ooit?,8000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1314,—,Records en vergelijkingen,Hoeveel push-ups werden er in 24 uur uitgevoerd bij het huidige record?,46000,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1315,—,Records en vergelijkingen,Hoeveel wagons had de langste passagierstrein ooit?,100,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
1435,—,Sterrenkunde & ruimte,Hoeveel satellieten lanceerde India in één enkele raket als record (2017)?,104,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
58,daily,Muziek,Hoeveel witte toetsen heeft een concertpiano?,52,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
59,daily,Natuurkunde,Hoeveel kilometer per uur is de geluidssnelheid op zeeniveau afgerond?,1234,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
66,daily,Records en vergelijkingen,Hoe groot was het grootste permanente IMAX-scherm in vierkante meter?,815,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
72,daily,Records en vergelijkingen,Hoeveel procent van het lichaam was bedekt met tatoeages bij de meest getatoeëerde man?,97,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
75,daily,Spellen en speelgoed,Hoeveel damstenen krijgt iedere speler bij de start van een standaard damspel?,20,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
95,daily,Technologie,Wat is de totale lengte van alle onderzeese internetkabels op aarde in duizend kilometer?,1400,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
175,puzzel,Economie & geld,Hoeveel landen zijn lid van de G20?,19,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
190,puzzel,Eten & drinken,Hoeveel shotjes espresso zitten er in een cappuccino?,1,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
195,puzzel,Films en series,Hoeveel afleveringen telt de Amerikaanse versie van The Office?,201,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
200,puzzel,Boeken en literatuur,Hoeveel boeken bevat de originele The Hunger Games-trilogie?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
201,puzzel,Films en series,Hoeveel delen telt de originele The Godfather-filmreeks?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
202,puzzel,Films en series,Hoeveel films regisseerde Christopher Nolan vóór Oppenheimer?,11,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
204,puzzel,Films en series,Hoeveel films telt de originele The Matrix-trilogie?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
264,puzzel,Geografie,Hoeveel inwoners heeft Monaco?,39000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
291,puzzel,Geografie,Hoeveel officiële inwoners heeft Vaticaanstad?,800,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
311,puzzel,Biologie & gezondheid,Hoeveel chromosomen telt een gezonde menselijke cel?,46,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
344,puzzel,Geografie,Wat is de autorij-afstand van Amsterdam naar Parijs in km?,510,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
353,puzzel,Taal,Hoeveel nationale talen heeft Zuid-Afrika volgens de grondwet?,11,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
381,puzzel,Mode en lifestyle,Hoeveel centimeter lang is een standaard das bij het strikken?,145,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
382,puzzel,Mode en lifestyle,Hoeveel gaten heeft een standaard schoenveter meestal in één schoen?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
384,puzzel,Mode en lifestyle,Hoeveel millimeter breed is een standaard herenhorlogeband?,22,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
386,puzzel,Muziek,Hoeveel Grammy-nominaties had Beyoncé volgens de Grammy’s vóór de uitreiking van 2025?,99,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
400,puzzel,Mode en lifestyle,Hoeveel facetten (geslepen vlakjes) heeft een standaard ronde briljant geslepen diamant?,57,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
401,puzzel,Muziek,Hoeveel hertz is de toonhoogte van de standaard a in de muziek?,440,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
404,puzzel,Natuurkunde,Hoeveel kilometer per uur waait wind bij windkracht 8 volgens de schaal van Beaufort?,75,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
419,puzzel,Technologie,Hoeveel volt heeft een standaard stopcontact in Nederland?,230,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
420,puzzel,Gebouwen en infrastructuur,Hoeveel wieken heeft een klassieke Nederlandse grondzeiler?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
440,puzzel,Records en vergelijkingen,Hoe lang is de langste levende man in centimeters?,251,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
441,puzzel,Records en vergelijkingen,Hoe lang is de langste levende vrouw in centimeters?,215,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
442,puzzel,Records en vergelijkingen,Hoe lang waren de langste vingernagels aan één hand in meters?,9,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
453,puzzel,Records en vergelijkingen,Hoeveel mensen namen deel aan de grootste massale yogales?,100000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
456,puzzel,Records en vergelijkingen,Hoeveel uur duurde het langste videogame-marathonrecord?,135,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
480,puzzel,Spellen en speelgoed,Hoeveel genummerde scorevakken heeft een dartbord?,20,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
481,puzzel,Spellen en speelgoed,"Hoeveel genummerde vakjes heeft een Europees roulettewiel, inclusief 0?",37,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
482,puzzel,Spellen en speelgoed,Hoeveel kaarten bevat een standaard UNO-deck?,112,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
484,puzzel,Spellen en speelgoed,Hoeveel pionnen bevat een klassieke Monopoly-set volgens de moderne standaarduitvoering?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
485,puzzel,Spellen en speelgoed,Hoeveel pionnen gebruikt iedere speler bij Mens-erger-je-niet?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
487,puzzel,Spellen en speelgoed,Hoeveel stippen (inclusief de 4 grote power pellets) moet Pac-Man opeten om een level uit te spelen?,244,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
489,puzzel,Spellen en speelgoed,"Hoeveel straten, stations en nutsbedrijven kun je kopen op een klassiek Monopoly-bord?",28,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
491,puzzel,Spellen en speelgoed,Hoeveel vakjes heeft een standaard Mens-erger-je-niet-bord per spelerskleur?,40,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
493,puzzel,Spellen en speelgoed,Hoeveel vakken bevat een standaard Monopoly-bord in totaal?,40,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
544,puzzel,Taal,Hoeveel letters telt het officiële Hawaiiaanse alfabet?,13,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
550,puzzel,Technologie,Hoeveel watt laadt een standaard iPhone snellader?,20,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
595,puzzel,Wiskunde,Hoeveel graden is elke binnenhoek van een regelmatige vijfhoek?,108,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
601,—,Biologie & gezondheid,Hoeveel basissmaken worden in de moderne smaakleer onderscheiden?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
633,—,Landbouw en industrie,Hoeveel bijenkorven produceert de gemiddelde Ethiopische bijenhouder per jaar?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
635,—,Dieren,Hoeveel centimeter hoog wordt een volwassen emoe?,170,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
637,—,Dieren,Hoeveel dieren bevat de klassieke Big Five van Afrika?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
643,—,Dieren,Hoeveel kilogram weegt een volwassen mannelijke rode reuzenkangoeroe maximaal?,90,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
645,—,Dieren,Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?,6000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
648,—,Dieren,Hoeveel kilogram weegt een volwassen nijlpaard?,1500,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
649,—,Dieren,Hoeveel kilogram weegt een volwassen emoe?,45,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
650,—,Dieren,Hoeveel kilogram weegt een volwassen giraffe?,1200,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
651,—,Dieren,Hoeveel kilogram weegt een volwassen mannelijke jaguar?,100,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
652,—,Dieren,Hoeveel kilogram weegt een volwassen witte neushoorn?,2000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
655,—,Dieren,Hoeveel kilometer per uur haalt een cheetah op zijn snelst?,110,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
656,—,Dieren,Hoeveel kilometer per uur sprint een jaguar?,80,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
662,—,Dieren,Hoeveel meter lang kan een volwassen nijlkrokodil worden?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
664,—,Dieren,Hoeveel meter lang wordt een zoutwaterkrokodil maximaal?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
671,—,Dieren,Hoeveel procent van de wilde leeuwen leeft in Sub-Sahara Afrika?,95,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
672,—,Dieren,Hoeveel apensoorten telt het Amazonegebied ongeveer?,100,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
680,—,Dieren,Hoeveel vogelsoorten telt het Amazonegebied?,1300,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
684,—,Dieren,Hoeveel tanden wisselt een haai gedurende zijn leven ongeveer?,20000,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
688,—,Dieren,Hoeveel van de 10 giftigste slangen ter wereld komen voor in Australië?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
690,—,Dieren,Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?,900,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
695,—,Economie & geld,Hoeveel biljoen dollar is de jaarlijkse wereldhandel in goederen ongeveer?,26,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
699,—,Economie & geld,Hoeveel landen zijn lid van de G7?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
700,—,Economie & geld,Hoeveel munten telt een volledige set eurocent- en euromunten?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
706,—,Eten & drinken,Hoeveel dagen rijpt Parmigiano Reggiano minimaal?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
713,—,Eten & drinken,Hoeveel kruiden bevat de klassieke Chinese Five-Spice?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
714,—,Eten & drinken,Hoeveel landen hebben de Italiaanse pizza Margherita als cultureel erfgoed erkend?,1,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
718,—,Eten & drinken,Hoeveel liter olijfolie gebruikt een Griek per jaar?,20,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
720,—,Eten & drinken,Hoeveel procent cacao heeft standaard pure chocolade?,70,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
721,—,Eten & drinken,Hoeveel procent van de wereldcacao komt uit West-Afrika?,70,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
725,—,Eten & drinken,Hoeveel kaassoorten produceert Frankrijk ongeveer?,300,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
731,—,Films en series,Hoeveel Mad Max films zijn er in totaal gemaakt?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
737,—,Films en series,Hoeveel Oscars won de film Parasite?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
748,—,Boeken en literatuur,Hoeveel woorden telt de complete Harry Potter boekenserie (Engels origineel)?,1084170,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
750,—,Films en series,In welk jaar werd de eerste film publiek vertoond?,1895,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
754,—,"Filosofie, psychologie en religie",Hoeveel boeken telt de Tenach in de joodse traditie?,24,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
756,—,"Filosofie, psychologie en religie",Hoeveel dialogen van Plato zijn traditioneel bewaard gebleven?,36,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
758,—,"Filosofie, psychologie en religie",Hoeveel edelwaarheden kent het boeddhisme?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
764,—,"Filosofie, psychologie en religie",Hoeveel opdrachten (werken) moest Hercules voltooien volgens de Griekse mythologie?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
765,—,"Filosofie, psychologie en religie",Hoeveel paden telt het Achtvoudige Pad van het boeddhisme?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
766,—,"Filosofie, psychologie en religie",Hoeveel miljoen pelgrims bezoeken Mekka jaarlijks?,2,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
767,—,"Filosofie, psychologie en religie",Hoeveel procent van de wereldbevolking is boeddhistisch?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
769,—,"Filosofie, psychologie en religie",Hoeveel zwaarden waren er volgens de legende van koning Arthur beschikbaar?,1,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
770,—,Gebouwen en infrastructuur,Hoeveel piramides telt Egypte ongeveer?,120,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
772,—,Gebouwen en infrastructuur,Hoeveel boogsegmenten telt het Colosseum per verdieping?,80,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
782,—,Gebouwen en infrastructuur,Hoeveel kilometer van de Kanaaltunnel ligt onder zee?,38,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
784,—,Gebouwen en infrastructuur,Hoeveel kilometer lang was Route 66?,3945,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
786,—,Gebouwen en infrastructuur,"Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?",96,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
787,—,Gebouwen en infrastructuur,Hoeveel meter hoog is het Christus Verlosser-beeld zonder sokkel?,30,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
789,—,Gebouwen en infrastructuur,Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?,40,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
792,—,Gebouwen en infrastructuur,Hoeveel meter hoog is de Grote Piramide van Gizeh nu?,139,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
801,—,Gebouwen en infrastructuur,Hoeveel meter hoog is kasteel Neuschwanstein?,65,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
807,—,Gebouwen en infrastructuur,Hoeveel piramides telt het piramideveld van Gizeh (de drie grote)?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
808,—,Gebouwen en infrastructuur,Hoeveel rivieren bruggen telt Sydney Harbour?,0,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
811,—,Gebouwen en infrastructuur,Hoeveel sluizen heeft het Panamakanaal?,12,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
812,—,Gebouwen en infrastructuur,Hoeveel stappen telt El Castillo van Chichen Itza in totaal inclusief de top?,365,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
813,—,Gebouwen en infrastructuur,Hoeveel stappen telt de Mayapyramide El Castillo per zijde?,91,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
824,—,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Q1 Tower in Gold Coast (tallest in Australië)?,78,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
825,—,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Tokyo Skytree uitkijkplatform?,2,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
826,—,Gebouwen en infrastructuur,Hoeveel verdiepingen heeft het Witte Huis?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
834,—,Geografie,Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan?,23,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
835,—,Geografie,Hoeveel Afrikaanse landen grenzen aan de Middellandse Zee?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
836,—,Geografie,Hoeveel Afrikaanse landen liggen aan de Rode Zee?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
838,—,Geografie,Hoeveel duizend inwoners heeft Luxemburg?,660,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
841,—,Geografie,Hoeveel eilanden telt Papoea-Nieuw-Guinea ongeveer?,600,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
846,—,Geografie,Hoeveel eilandstaten telt Afrika?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
848,—,Geografie,Hoeveel hoofdeilanden heeft Nieuw-Zeeland?,2,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
853,—,Geografie,Hoeveel duizend kilometer lang is de Australische kustlijn?,36,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
859,—,Geografie,Hoeveel kilometer breed is de Kalahariwoestijn ongeveer?,900,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
871,—,Geografie,Door hoeveel landen loopt het Andesgebergte?,7,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
875,—,Geografie,Hoeveel landen grenzen aan Argentinië?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
880,—,Geografie,Hoeveel landen grenzen aan Congo-Kinshasa?,9,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
884,—,Geografie,Hoeveel landen grenzen aan Ethiopië?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
885,—,Geografie,Hoeveel landen grenzen aan Frankrijk (vasteland excl. overzeese gebieden)?,8,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
887,—,Geografie,Hoeveel landen grenzen aan Guatemala?,4,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
888,—,Geografie,Hoeveel landen grenzen aan Honduras?,3,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
890,—,Geografie,Hoeveel landen grenzen aan Kameroen?,6,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
891,—,Geografie,Hoeveel landen grenzen aan Kenia?,5,algemeen naslagwerk,Handmatig opzoeken; geen vaste bron aan te wijzen.,
