Nr,Vraag NL,Zoekterm,Commons-bestandspagina,Afbeelding,Licentie,Maker,Alternatieven
13,Hoeveel kilocalorieën bevat een Amerikaanse McDonald’s Big Mac?,American McDonald's Big,https://commons.wikimedia.org/wiki/File%3ABig_America_McDonalds_Israel.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Big_America_McDonalds_Israel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 4.0,McDonalds Israel,8
14,Hoeveel afleveringen telt de iconische serie Fawlty Towers?,Fawlty Towers,https://commons.wikimedia.org/wiki/File%3ANewport_not_Fawlty_Towers_-_geograph.org.uk_-_883212.jpg,https://upload.wikimedia.org/wikipedia/commons/1/12/Newport_not_Fawlty_Towers_-_geograph.org.uk_-_883212.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,Steve  F,8
15,Hoeveel afleveringen telt de serie Breaking Bad?,Breaking Bad,https://commons.wikimedia.org/wiki/File%3ABreaking_bad_merchandise.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Breaking_bad_merchandise.jpg/1280px-Breaking_bad_merchandise.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,Thomson20192,8
16,Hoeveel Muzen (dochters van Zeus) telt de Griekse mythologie?,count Greek mythology,https://commons.wikimedia.org/wiki/File%3AMuse_-_Cleveland_Museum_of_Art_%2827848253323%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ea/Muse_-_Cleveland_Museum_of_Art_%2827848253323%29.jpg/1280px-Muse_-_Cleveland_Museum_of_Art_%2827848253323%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,"Tim Evanson from Cleveland Heights, Ohio, USA",7
17,Hoeveel hoofdgoden telt de Griekse mythologie op de berg Olympus (de Twaalf Olympiërs)?,Greek Mount Olympus,https://commons.wikimedia.org/wiki/File%3ARefuge_Giosos_Apostolidis_Olympus_National_Park_Greece.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/Refuge_Giosos_Apostolidis_Olympus_National_Park_Greece.jpg/1280px-Refuge_Giosos_Apostolidis_Olympus_National_Park_Greece.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,kallerna,8
18,Hoeveel kamers heeft Buckingham Palace?,Buckingham Palace,https://commons.wikimedia.org/wiki/File%3ABuckingham_Palace%2C_London_-_April_2009.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Buckingham_Palace%2C_London_-_April_2009.jpg/1280px-Buckingham_Palace%2C_London_-_April_2009.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Diliff,8
19,Hoeveel liften heeft de Burj Khalifa?,Burj Khalifa,https://commons.wikimedia.org/wiki/File%3ABurj_Khalifa_from_a_ferry%2C_Dubai.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/Burj_Khalifa_from_a_ferry%2C_Dubai.jpg/1280px-Burj_Khalifa_from_a_ferry%2C_Dubai.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Jpbowen,8
20,Hoeveel meter hoog is de CN Tower?,CN Tower,https://commons.wikimedia.org/wiki/File%3AToronto_-_ON_-_CN_Tower_Turmkorb.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9c/Toronto_-_ON_-_CN_Tower_Turmkorb.jpg/1280px-Toronto_-_ON_-_CN_Tower_Turmkorb.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,Wladyslaw,8
22,Hoeveel treden heeft de Burj Khalifa in Dubai?,Burj Khalifa Dubai,https://commons.wikimedia.org/wiki/File%3ABurj_dubai_3.11.08.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Burj_dubai_3.11.08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Aheilner,8
23,Hoeveel treden heeft de trap van de CN Tower ongeveer?,CN Tower,https://commons.wikimedia.org/wiki/File%3AToronto_-_ON_-_CN_Tower_Turmkorb.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9c/Toronto_-_ON_-_CN_Tower_Turmkorb.jpg/1280px-Toronto_-_ON_-_CN_Tower_Turmkorb.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 3.0,Wladyslaw,8
24,Hoeveel treden heeft het Empire State Building van straatniveau tot het observatiedek?,Empire State Building,https://commons.wikimedia.org/wiki/File%3AEmpire_State_Building_pano.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/45/Empire_State_Building_pano.jpg/1280px-Empire_State_Building_pano.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Daniel Schwen,8
25,Hoeveel verdiepingen hebben de Petronas Twin Towers?,Petronas Twin Towers,https://commons.wikimedia.org/wiki/File%3APetronas_Panorama_II.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Petronas_Panorama_II.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 4.0,Someformofhuman,8
26,Hoeveel verdiepingen heeft Taipei 101?,Taipei,https://commons.wikimedia.org/wiki/File%3ATaipei_101_2009_amk.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/Taipei_101_2009_amk.jpg/1280px-Taipei_101_2009_amk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,AngMoKio,8
27,Hoeveel verdiepingen heeft de Burj Khalifa?,Burj Khalifa,https://commons.wikimedia.org/wiki/File%3ABurj_Khalifa_from_a_ferry%2C_Dubai.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/Burj_Khalifa_from_a_ferry%2C_Dubai.jpg/1280px-Burj_Khalifa_from_a_ferry%2C_Dubai.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Jpbowen,8
28,Hoeveel zuilen heeft de Grote Zuilenzaal van de Tempel van Karnak ongeveer?,Great Pillar Hall,https://commons.wikimedia.org/wiki/File%3AThe_Great_Hall_at_Karnak_%281905%29_-_TIMEA.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/The_Great_Hall_at_Karnak_%281905%29_-_TIMEA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.5,"Dunning, H.W. (Photographer)",8
29,Wat is de lengte van het Panamakanaal van de Atlantische naar de Stille Oceaan in km?,Panama Canal Atlantic,https://commons.wikimedia.org/wiki/File%3AAtlantic_Bridge_at_Panama_Canal.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/Atlantic_Bridge_at_Panama_Canal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 4.0,Portzer,8
30,Hoeveel afzonderlijke riffen omvat het Great Barrier Reef ongeveer?,Great Barrier Reef,https://commons.wikimedia.org/wiki/File%3AGreatBarrierReef-EO.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1b/GreatBarrierReef-EO.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"NASA, by MISR",8
31,Hoeveel kilometer lang is het Baikalmeer ongeveer?,Lake Baikal,https://commons.wikimedia.org/wiki/File%3APanorama_of_lake_Baikal.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Panorama_of_lake_Baikal.jpg/1280px-Panorama_of_lake_Baikal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Sergey Pesterev,8
33,Hoeveel meter diep is het Tanganyikameer op het diepste punt ongeveer?,Lake Tanganyika,https://commons.wikimedia.org/wiki/File%3AFisherman_on_Lake_Tanganyika.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Fisherman_on_Lake_Tanganyika.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Worldtraveller,8
34,Hoeveel meter hoog is Angel Falls ongeveer?,Angel Falls,https://commons.wikimedia.org/wiki/File%3ASalto_Angel_Dry_Season.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/19/Salto_Angel_Dry_Season.jpg/1280px-Salto_Angel_Dry_Season.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Berrucomons,8
35,Hoeveel procent van Antarctica is met ijs bedekt?,Antarctica,https://commons.wikimedia.org/wiki/File%3AAntarctica_satellite_globe.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Antarctica_satellite_globe.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,NASA,8
36,In welk jaar werd Antarctica voor het eerst waargenomen door een expeditie?,Antarctica,https://commons.wikimedia.org/wiki/File%3AAntarctica_satellite_globe.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Antarctica_satellite_globe.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,NASA,8
37,Wat is de diepte van het diepste zoetwatermeer ter wereld (Baikalmeer in Rusland) in meters?,Baikal Lake Russia,https://commons.wikimedia.org/wiki/File%3APanorama_of_lake_Baikal.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Panorama_of_lake_Baikal.jpg/1280px-Panorama_of_lake_Baikal.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Sergey Pesterev,8
38,Hoeveel dagen duurde de reis van de Mayflower naar Noord-Amerika?,Mayflower North America,https://commons.wikimedia.org/wiki/File%3AMayflower_in_Plymouth_Harbor%2C_by_William_Halsall.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7a/Mayflower_in_Plymouth_Harbor%2C_by_William_Halsall.jpg/1280px-Mayflower_in_Plymouth_Harbor%2C_by_William_Halsall.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,William Halsall,8
39,Hoeveel mannen ondertekenden de Amerikaanse Onafhankelijkheidsverklaring?,American Declaration Independence,https://commons.wikimedia.org/wiki/File%3ADeclaration_of_Independence_%281819%29%2C_by_John_Trumbull.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f9/Declaration_of_Independence_%281819%29%2C_by_John_Trumbull.jpg/1280px-Declaration_of_Independence_%281819%29%2C_by_John_Trumbull.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,John Trumbull,8
40,In welk jaar vond de Slag bij Waterloo plaats?,Battle Waterloo,https://commons.wikimedia.org/wiki/File%3ABattle_of_Waterloo_-_Robinson.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Battle_of_Waterloo_-_Robinson.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,,8
41,In welk jaar werd de Magna Carta bezegeld?,Magna Carta,https://commons.wikimedia.org/wiki/File%3AMagna_Carta_%28British_Library_Cotton_MS_Augustus_II.106%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/Magna_Carta_%28British_Library_Cotton_MS_Augustus_II.106%29.jpg/1280px-Magna_Carta_%28British_Library_Cotton_MS_Augustus_II.106%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Original authors were the barons and King John of England. Uploaded by Earthsound.,8
42,In welk jaar werd de eerste moderne volkstelling gehouden?,modern census held,https://commons.wikimedia.org/wiki/File%3ABalkans_Animation_1800-2008.gif,https://upload.wikimedia.org/wikipedia/commons/7/74/Balkans_Animation_1800-2008.gif?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Esemono,8
43,Wat is de hoogte van de Burj Khalifa in Dubai in meters?,Burj Khalifa Dubai,https://commons.wikimedia.org/wiki/File%3ABurj_dubai_3.11.08.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Burj_dubai_3.11.08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Aheilner,8
44,Hoeveel centimeter breed is de Mona Lisa?,Mona Lisa,https://commons.wikimedia.org/wiki/File%3AMona_Lisa.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6a/Mona_Lisa.jpg/1280px-Mona_Lisa.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Leonardo da Vinci,8
45,Hoeveel ton goud wordt wereldwijd jaarlijks gewonnen?,gold won worldwide,https://commons.wikimedia.org/wiki/File%3AElizabeth_Visio_won_a_gold_medal_in_Varna_Bulgaria.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Elizabeth_Visio_won_a_gold_medal_in_Varna_Bulgaria.jpg/1280px-Elizabeth_Visio_won_a_gold_medal_in_Varna_Bulgaria.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,George Visio,1
46,Welk percentage van het wereldwijde cement wordt geproduceerd in China?,China,https://commons.wikimedia.org/wiki/File%3A1_zhangjiajie_huangshizhai_wulingyuan_panorama_2012.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/1_zhangjiajie_huangshizhai_wulingyuan_panorama_2012.jpg/1280px-1_zhangjiajie_huangshizhai_wulingyuan_panorama_2012.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,chensiyuan,8
47,Hoeveel filialen heeft Decathlon wereldwijd ongeveer?,Decathlon,https://commons.wikimedia.org/wiki/File%3A2022-05-22_Decathlon_supermarket_in_Sydney%2C_Australia.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/2022-05-22_Decathlon_supermarket_in_Sydney%2C_Australia.jpg/1280px-2022-05-22_Decathlon_supermarket_in_Sydney%2C_Australia.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Maksym Kozlenko,8
48,Hoeveel landen heeft Coca-Cola als afzetmarkt ongeveer?,Coca-Cola,https://commons.wikimedia.org/wiki/File%3ACoca-cola_50cl_can_-_Italia.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Coca-cola_50cl_can_-_Italia.jpg/1280px-Coca-cola_50cl_can_-_Italia.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,M0tty,8
49,Hoeveel procent van de bekende plant- en diersoorten leeft in tropische regenwouden?,live tropical rainforests,https://commons.wikimedia.org/wiki/File%3ATropical_rainforest_reflected_in_a_pond_in_Liberia_%28478896627%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4f/Tropical_rainforest_reflected_in_a_pond_in_Liberia_%28478896627%29.jpg/1280px-Tropical_rainforest_reflected_in_a_pond_in_Liberia_%28478896627%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,John Atherton,7
50,Hoeveel procent van het Great Barrier Reef bestaat uit koraalriffen?,Great Barrier Reef,https://commons.wikimedia.org/wiki/File%3AGreatBarrierReef-EO.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1b/GreatBarrierReef-EO.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,"NASA, by MISR",8
51,Welk percentage van het aardoppervlak bestaat uit land?,earth's surface land,https://commons.wikimedia.org/wiki/File%3AVista_de_Garachico%2C_Tenerife%2C_Espa%C3%B1a%2C_2012-12-13%2C_DD_05.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/79/Vista_de_Garachico%2C_Tenerife%2C_Espa%C3%B1a%2C_2012-12-13%2C_DD_05.jpg/1280px-Vista_de_Garachico%2C_Tenerife%2C_Espa%C3%B1a%2C_2012-12-13%2C_DD_05.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Diego Delso,6
52,Welk percentage van het aardoppervlak bestaat uit oceanen en zeeën?,Earth's,https://commons.wikimedia.org/wiki/File%3AEarth%27s_City_Lights_by_DMSP%2C_1994-1995_%28large%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e1/Earth%27s_City_Lights_by_DMSP%2C_1994-1995_%28large%29.jpg/1280px-Earth%27s_City_Lights_by_DMSP%2C_1994-1995_%28large%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"Data: Marc Imhoff/NASA GSFC, Christopher Elvidge/NOAA NGDC; Image: Craig Mayhew and Robert Simmon/NASA GSFC",8
53,Welk percentage van het zoete water zit vast in ijs en gletsjers?,stuck ice glaciers,https://commons.wikimedia.org/wiki/File%3ASea_Ice_and_Icebergs_off_East_Antarctica.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Sea_Ice_and_Icebergs_off_East_Antarctica.jpg/1280px-Sea_Ice_and_Icebergs_off_East_Antarctica.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Jesse Allen and Robert Simmon,7
54,Hoeveel graden heeft een gestrekte hoek?,degrees stretched angle,https://commons.wikimedia.org/wiki/File%3A360-degree_Panorama_of_the_Southern_Sky.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f4/360-degree_Panorama_of_the_Southern_Sky.jpg/1280px-360-degree_Panorama_of_the_Southern_Sky.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,ESO/H.H. Heyer,8
55,Hoeveel Grammy’s heeft Beyoncé volgens de stand na de Grammy Awards van 2025 gewonnen?,Grammys Beyoncé Grammy,https://commons.wikimedia.org/wiki/File%3AGrammy_Museum_-_Mississippi_in_Cleveland%2C_Mississippi_display1.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7b/Grammy_Museum_-_Mississippi_in_Cleveland%2C_Mississippi_display1.jpg/1280px-Grammy_Museum_-_Mississippi_in_Cleveland%2C_Mississippi_display1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Seanljohn,8
56,Hoeveel halve tonen bevat een octaaf?,tones octave contain,https://commons.wikimedia.org/wiki/File%3ADiminished_fifth_on_C.png,https://upload.wikimedia.org/wikipedia/commons/6/63/Diminished_fifth_on_C.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Hyacinth at English Wikipedia,8
57,Hoeveel toetsen heeft een standaard MIDI-pianotoetsenbord met vijf octaven?,MIDI,https://commons.wikimedia.org/wiki/File%3AMidi_ports_and_cable.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Midi_ports_and_cable.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,:en:Pretzelpaws  with a Canon EOS-10D camera. Cropped 2/9/05 using the GIMP.,8
58,Hoeveel witte toetsen heeft een concertpiano?,keys concert piano,https://commons.wikimedia.org/wiki/File%3AA_new_grand_concerto_with_accompaniments_-_as_performed_at_the_opera_concert_%28W_Ia_-_8%29_-_composed_by_Mr_Viotti_%3B_and_adapted_for_the_piano-forte_with_or_without_the_additional_keys_by_Mr_Hullmandel_-_btv1b90103775_%2810_of_53%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0a/A_new_grand_concerto_with_accompaniments_-_as_performed_at_the_opera_concert_%28W_Ia_-_8%29_-_composed_by_Mr_Viotti_%3B_and_adapted_for_the_piano-forte_with_or_without_the_additional_keys_by_Mr_Hullmandel_-_btv1b90103775_%2810_of_53%29.jpg/1280px-thumbnail.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"Viotti, Giovanni Battista (1755-1824). Compositeur",8
59,Hoeveel kilometer per uur is de geluidssnelheid op zeeniveau afgerond?,sea level rounded,https://commons.wikimedia.org/wiki/File%3AThe_White_Nothe_headland_at_sea_level_-_geograph.org.uk_-_1005315.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/The_White_Nothe_headland_at_sea_level_-_geograph.org.uk_-_1005315.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,Jim Champion,7
60,Hoeveel millimeter per jaar verschuiven de aardplaten gemiddeld?,shift,https://commons.wikimedia.org/wiki/File%3ARichard_Serra%27s_%22Shift%22_%281970%29_%2815889992437%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/66/Richard_Serra%27s_%22Shift%22_%281970%29_%2815889992437%29.jpg/1280px-Richard_Serra%27s_%22Shift%22_%281970%29_%2815889992437%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,"JasonParis from Toronto, Canada",8
61,Hoe hoog is de Euromast in Rotterdam?,Euromast Rotterdam,https://commons.wikimedia.org/wiki/File%3A.00_2435_Euromast_-_Rotterdam.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/.00_2435_Euromast_-_Rotterdam.jpg/1280px-.00_2435_Euromast_-_Rotterdam.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,W. Bulach,8
62,Hoeveel kilometer fietst een Nederlander gemiddeld per jaar?,Dutchman,https://commons.wikimedia.org/wiki/File%3AFlying_Dutchman%2C_the.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Flying_Dutchman%2C_the.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Albert Pinkham Ryder,8
63,Hoeveel tramlijnen heeft Amsterdam?,Amsterdam,https://commons.wikimedia.org/wiki/File%3AAmsterdam_%28NL%29%2C_Begijnhof_--_2015_--_7215-8.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a7/Amsterdam_%28NL%29%2C_Begijnhof_--_2015_--_7215-8.jpg/1280px-Amsterdam_%28NL%29%2C_Begijnhof_--_2015_--_7215-8.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Dietmar Rabich,7
