Categorie,Vraag NL,Antwoord,Bron EN,Status,excel_row
Nederlands,"Hoeveel kaasmarkten telt Nederland klassiek per week in Alkmaar, Gouda en Edam samen?",3,,nieuw-2026-09,1028
Nederlands,Hoeveel landen kocht de VOC formeel aan als koloniale gebieden?,0,,nieuw-2026-09,1029
Nederlands,Hoeveel kilometer lang is de Wilhelminapier in Rotterdam (in tientallen meters afgerond)?,3,,nieuw-2026-09,1030
Nederlands,Hoeveel molens staan er op de Zaanse Schans bij benadering (in tientallen)?,10,,nieuw-2026-09,1031
Nederlands,Hoeveel gram boter gaat in de klassieke Nederlandse boterkoek per 10 porties?,250,,nieuw-2026-09,1032
Nederlands,Hoeveel keer per jaar publiceert het CBS de driejaarlijkse woondenquête?,1,,nieuw-2026-09,1033
Nederlands,Hoeveel kilometer lang is de Noord-Zuidlijn Amsterdam?,9,,nieuw-2026-09,1034
Nederlands,Hoeveel duizend inwoners heeft Rotterdam bij benadering?,650,,nieuw-2026-09,1035
Nederlands,Hoeveel dorpen en steden telt de gemeente Amsterdam bij benadering (in tientallen)?,5,,nieuw-2026-09,1036
Nederlands,Hoeveel kilometer lang is de Westerscheldetunnel?,6,,nieuw-2026-09,1037
Nederlands,Hoeveel voetbalstadions van eredivisieclubs hebben een capaciteit boven de 50.000 (Amsterdam Arena en De Kuip)?,2,,nieuw-2026-09,1038
Nederlands,Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland afgerond op tientallen?,20,,nieuw-2026-09,1039
Nederlands,Hoeveel meter hoog is het gebouw De Zalmhaven in Rotterdam afgerond op tientallen?,200,,nieuw-2026-09,1040
Nederlands,Hoeveel stenen telt de klassieke Nederlandse bruine baksteen muur van een doorsnee woning per m² bij benadering (in tientallen)?,60,,nieuw-2026-09,1041
Nederlands,Hoeveel landen stemden vóór het Nederlands als EU-taal?,0,,nieuw-2026-09,1042
Nederlands,Hoeveel eenheden telt de Nederlandse duizendguldenbiljet-collectie uit 1970?,1,,nieuw-2026-09,1043
Nederlands,Hoeveel kilometer lang is de Betuweroute goederenspoorlijn?,160,,nieuw-2026-09,1044
Nederlands,Hoeveel kilometer lang is de Veluwemeer aquaduct (in tientallen meters afgerond)?,3,,nieuw-2026-09,1045
Nederlands,"Hoeveel koppen bevat het standaard Nederlands kroegbord van biertjes (Pils, Dubbel, Tripel, Quadrupel)?",4,,nieuw-2026-09,1046
Nederlands,Hoeveel ml bevat een standaard Nederlandse borrelglas jenever?,35,,nieuw-2026-09,1047
Nederlands,Hoeveel liter melk drinkt de gemiddelde Nederlander per jaar afgerond op tientallen liters?,50,,nieuw-2026-09,1048
Nederlands,Hoeveel bladzijden telt de Dictionary of the Dutch Language (Woordenboek der Nederlandsche Taal) in duizenden bladzijden?,45,,nieuw-2026-09,1049
Nederlands,Hoeveel procent van Nederland ligt onder zeeniveau ongeveer (afgerond op tientallen)?,30,,nieuw-2026-09,1050
Nederlands,Hoeveel landen deden er mee aan het Nederlands kampioenschap wielrennen voor clubs?,0,,nieuw-2026-09,1051
Nederlands,Hoeveel NL-doelpunten maakte Robin van Persie voor Oranje in zijn carrière afgerond op tientallen?,50,,nieuw-2026-09,1052
Nederlands,Hoeveel stockbeurzen telt Nederland (Euronext Amsterdam plus het Energiepunt)?,1,,nieuw-2026-09,1053
Nederlands,Hoeveel vlindersoorten komen voor in Nederland bij benadering (in tientallen)?,50,,nieuw-2026-09,1054
Nederlands,Hoeveel duikboten telt de Nederlandse marine standaard per vloot?,4,,nieuw-2026-09,1055
Nederlands,Hoeveel strepen heeft het Nederlandse vlagontwerp in horizontale banen?,3,,nieuw-2026-09,1056
Nederlands,Hoeveel procent van de Nederlanders zegt dagelijks te fietsen (afgerond op tientallen)?,60,,nieuw-2026-09,1057
Nederlands,Hoeveel Nederlandse koningen droegen de naam Willem vóór Willem-Alexander?,3,,nieuw-2026-09,1058
Nederlands,Hoeveel schaatsbanen van 400 meter heeft Nederland bij benadering (in tientallen)?,20,,nieuw-2026-09,1059
Nederlands,Hoeveel kilometer lang is de Maas in Nederland bij benadering (afgerond op tientallen)?,250,,nieuw-2026-09,1060
Nederlands,Hoeveel landen van het Koninkrijk der Nederlanden zijn er naast Nederland zelf?,3,,nieuw-2026-09,1061
Nederlands,Hoeveel liter water verbruikt de gemiddelde Nederlander per dag afgerond op tientallen?,100,,nieuw-2026-09,1062
Nederlands,Hoeveel kilometer lang is de Metro van Rotterdam netwerk in totaal (afgerond op tientallen)?,80,,nieuw-2026-09,1063
Nederlands,Hoeveel NL-postcodes cijfers heeft een Nederlandse postcode standaard (vier cijfers plus twee letters)?,4,,nieuw-2026-09,1064
Nederlands,Hoeveel korfbal-spelers staan er per team op het veld bij de Nederlandse Korfbal League?,8,,nieuw-2026-09,1065
Nederlands,Hoeveel procent van de Nederlandse bevolking woont in de Randstad ongeveer (afgerond op tientallen)?,40,,nieuw-2026-09,1066
Nederlands,Hoeveel Nederlandse koninginnen regeerden vóór koning Willem-Alexander?,3,,nieuw-2026-09,1067
Nederlands,Hoeveel dagen duurt de Nederlands Film Festival in Utrecht?,10,,nieuw-2026-09,1068
Nederlands,Hoeveel miljoen toeristen bezoekt Amsterdam jaarlijks ongeveer?,20,,nieuw-2026-09,1069
Nederlands,Hoeveel kilometer lang is de Bollenstreek kustlijn langs bloembollenvelden (in tientallen km afgerond)?,3,,nieuw-2026-09,1070
Nederlands,Hoeveel Friese elfsteden telt de klassieke Elfstedentocht?,11,,nieuw-2026-09,1071
Nederlands,Hoeveel kilometer lang is de Elfstedentocht totaal afgerond op tientallen?,200,,nieuw-2026-09,1072
Nederlands,Hoeveel keer is de Elfstedentocht in de 20e eeuw geschaatst?,15,,nieuw-2026-09,1073
Nederlands,Hoeveel Nederlandse Nobelprijswinnaars zijn er bij benadering (in tientallen afgerond)?,20,,nieuw-2026-09,1074
Nederlands,Hoeveel procent van de Nederlanders woont in een rijtjeshuis ongeveer (afgerond op tientallen)?,30,,nieuw-2026-09,1075
Nederlands,Hoeveel Nederlandse astronauten zijn er naar de ruimte gevlogen?,3,,nieuw-2026-09,1076
Nederlands,Hoeveel kilometer lang is de HSL-Zuid hogesnelheidslijn?,125,,nieuw-2026-09,1077
Geografie,Hoeveel strepen staan er op de Amerikaanse vlag?,13,,nieuw-2026-09,1078
Geografie,Hoeveel sterren staan er op de Amerikaanse vlag?,50,,nieuw-2026-09,1079
Geografie,Hoeveel staten liggen er op het Noord-Amerikaanse vasteland van de VS (exclusief Alaska en Hawaii)?,48,,nieuw-2026-09,1080
Geografie,Hoeveel tijdzones telt het vasteland van de VS?,4,,nieuw-2026-09,1081
Geschiedenis,In welk jaar werd de Amerikaanse Onafhankelijkheidsverklaring ondertekend?,1776,,nieuw-2026-09,1082
Geschiedenis,Hoeveel amendementen bevat de Amerikaanse Grondwet (Bill of Rights meegerekend in de eerste tien)?,27,,nieuw-2026-09,1083
Geschiedenis,Hoeveel presidenten werden er vermoord in de Amerikaanse geschiedenis?,4,,nieuw-2026-09,1084
Sport,Hoeveel spelers staan er per team op het veld bij American football?,11,,nieuw-2026-09,1085
Sport,Hoeveel minuten officiële speeltijd heeft een NFL-wedstrijd?,60,,nieuw-2026-09,1086
Sport,Hoeveel innings telt een standaard honkbalwedstrijd?,9,,nieuw-2026-09,1087
Sport,Hoeveel minuten officiële speeltijd heeft een NBA-wedstrijd?,48,,nieuw-2026-09,1088
Sport,Hoeveel teams spelen er in de NFL?,32,,nieuw-2026-09,1089
Sport,Hoeveel teams spelen er in de NBA?,30,,nieuw-2026-09,1090
Sport,Hoeveel punten levert een touchdown op in American football (met extra point)?,7,,nieuw-2026-09,1091
Sport,Hoeveel rings heeft het NBA-logo in het midden?,1,,nieuw-2026-09,1092
Sport,Hoeveel Super Bowls won Tom Brady in zijn carrière?,7,,nieuw-2026-09,1093
Sport,Hoeveel kuiven heeft een honkbalveld (bases plus home plate)?,4,,nieuw-2026-09,1094
Gebouwen en infrastructuur,Hoeveel meter hoog is het Empire State Building afgerond op tientallen?,440,,nieuw-2026-09,1095
Gebouwen en infrastructuur,Hoeveel kilometer lang is de Golden Gate Bridge hoofdspanssegment?,1280,,nieuw-2026-09,1096
Gebouwen en infrastructuur,Hoeveel kilometer telt de Route 66 bij benadering (in duizenden kilometers afgerond)?,4,,nieuw-2026-09,1097
Gebouwen en infrastructuur,Hoeveel verdiepingen heeft het Witte Huis?,4,,nieuw-2026-09,1098
Geografie,Hoeveel kilometer lang is de Mississippi rivier bij benadering (in duizenden km afgerond)?,4,,nieuw-2026-09,1099
Geografie,Hoeveel meter diep is de Grand Canyon op het diepste punt afgerond op honderdtallen?,1800,,nieuw-2026-09,1100
Geografie,Hoeveel kilometer lang is de Grand Canyon ongeveer (in honderden km afgerond)?,400,,nieuw-2026-09,1101
Geografie,Hoeveel nationale parken telt de VS bij benadering (in tientallen)?,60,,nieuw-2026-09,1102
Geografie,Hoeveel van de Grote Meren liggen in de VS en Canada samen?,5,,nieuw-2026-09,1103
Sterrenkunde & ruimte,Hoeveel NASA-mannetjes missies naar de maan (Apollo) landden er daadwerkelijk?,6,,nieuw-2026-09,1104
Sterrenkunde & ruimte,Hoeveel NASA astronauten liepen er op de maan (alles bij elkaar)?,12,,nieuw-2026-09,1105
Sterrenkunde & ruimte,Hoeveel Spaceshuttles bouwde NASA totaal voor orbitale vluchten?,5,,nieuw-2026-09,1106
Sterrenkunde & ruimte,Hoeveel dagen duurde de Apollo 11 missie naar de maan en terug afgerond op tientallen?,10,,nieuw-2026-09,1107
Technologie,In welk jaar werd Apple opgericht?,1976,,nieuw-2026-09,1108
Technologie,In welk jaar werd Microsoft opgericht?,1975,,nieuw-2026-09,1109
Technologie,In welk jaar werd Google opgericht?,1998,,nieuw-2026-09,1110
Technologie,In welk jaar werd Facebook opgericht?,2004,,nieuw-2026-09,1111
Technologie,In welk jaar werd Amazon opgericht?,1994,,nieuw-2026-09,1112
Technologie,In welk jaar bracht Apple de eerste iPhone uit?,2007,,nieuw-2026-09,1113
Eten & drinken,Hoeveel calorieën bevat een klassieke Amerikaanse Big Mac afgerond op tientallen?,550,,nieuw-2026-09,1114
Eten & drinken,Hoeveel ons vlees bevat de klassieke Quarter Pounder?,4,,nieuw-2026-09,1115
Eten & drinken,Hoeveel gram suiker zit er in een blikje Coca-Cola van 12 ounce (355 ml) afgerond op tientallen?,39,,nieuw-2026-09,1116
Films en series,Hoeveel Oscars won de film Forrest Gump?,6,,nieuw-2026-09,1117
Films en series,Hoeveel Star Wars films uit de Skywalker Saga verschenen er?,9,,nieuw-2026-09,1118
Films en series,Hoeveel Jurassic Park films verschenen er in totaal?,6,,nieuw-2026-09,1119
Films en series,Hoeveel Avengers telde het originele team in de MCU film Avengers (2012)?,6,,nieuw-2026-09,1120
Films en series,Hoeveel seizoenen telde de serie The Office US?,9,,nieuw-2026-09,1121
Muziek,Hoeveel Grammys won Beyoncé in totaal tot 2023?,32,,nieuw-2026-09,1122
Muziek,Hoeveel studioalbums bracht Taylor Swift uit tot 2024?,11,,nieuw-2026-09,1123
Muziek,Hoeveel nummer 1-hits had The Beatles in de Billboard Hot 100?,20,,nieuw-2026-09,1124
Muziek,Hoeveel nummer 1-albums had Elvis Presley in de VS?,10,,nieuw-2026-09,1125
Dieren,Hoeveelkg weegt een volwassen Amerikaanse bizon mannetje afgerond op honderdtallen?,900,,nieuw-2026-09,1126
Dieren,Hoeveel soorten kolibries komen voor in de VS bij benadering (in tientallen)?,20,,nieuw-2026-09,1127
Politiek en recht,Hoeveel rechterzittingen telt het Amerikaanse Hooggerechtshof?,9,,nieuw-2026-09,1128
Politiek en recht,Hoeveel jaren duurt een termijn van een Amerikaanse senator?,6,,nieuw-2026-09,1129
Politiek en recht,Hoeveel jaren duurt een termijn van een Amerikaanse vertegenwoordiger (House of Representatives)?,2,,nieuw-2026-09,1130
Politiek en recht,Hoeveel leden telt het Amerikaanse Huis van Afgevaardigden?,435,,nieuw-2026-09,1131
Politiek en recht,Hoeveel electorale stemmen heeft Californië (2024)?,54,,nieuw-2026-09,1132
Politiek en recht,Hoeveel electorale stemmen zijn er nodig om de VS-presidentsverkiezing te winnen?,270,,nieuw-2026-09,1133
Politiek en recht,Hoeveel electorale stemmen heeft Texas (2024)?,40,,nieuw-2026-09,1134
Politiek en recht,Hoeveel jaren zit een Amerikaanse president maximaal in twee termijnen?,8,,nieuw-2026-09,1135
Geografie,Hoeveel landen liggen er in Europa bij benadering (in tientallen)?,50,,nieuw-2026-09,1136
Geografie,Hoeveel landen zijn lid van de Europese Unie (2024)?,27,,nieuw-2026-09,1137
Geografie,Hoeveel officiele talen telt de Europese Unie?,24,,nieuw-2026-09,1138
Geografie,Hoeveel Europese landen liggen er niet op het vasteland (exclusief eilanden) in de EU als eilandstaten?,2,,nieuw-2026-09,1139
Geografie,Hoeveel meter hoog is de Mont Blanc afgerond op tientallen?,4800,,nieuw-2026-09,1140
Geografie,Hoeveel kilometer lang is de Rijn rivier bij benadering (in honderden km afgerond)?,1300,,nieuw-2026-09,1141
Geografie,Hoeveel kilometer lang is de Donau rivier bij benadering (in duizenden km afgerond)?,3,,nieuw-2026-09,1142
Geografie,Hoeveel landen grenzen aan Frankrijk (vasteland excl. overzeese gebieden)?,8,,nieuw-2026-09,1143
Geografie,Hoeveel landen grenzen aan Spanje (vasteland)?,5,,nieuw-2026-09,1144
Geografie,Hoeveel landen grenzen aan Polen?,7,,nieuw-2026-09,1145
Geografie,Hoeveel officiële talen heeft België?,3,,nieuw-2026-09,1146
Geschiedenis,In welk jaar viel de Berlijnse Muur?,1989,,nieuw-2026-09,1147
Geschiedenis,In welk jaar eindigde de Eerste Wereldoorlog?,1918,,nieuw-2026-09,1148
Geschiedenis,In welk jaar begon de Franse Revolutie met de bestorming van de Bastille?,1789,,nieuw-2026-09,1149
Geschiedenis,In welk jaar werd de Berlijnse Muur gebouwd?,1961,,nieuw-2026-09,1150
Geschiedenis,Hoeveel jaar duurde de Honderdjarige Oorlog tussen Engeland en Frankrijk?,116,,nieuw-2026-09,1151
Geschiedenis,Hoeveel jaar duurde de Dertigjarige Oorlog?,30,,nieuw-2026-09,1152
Geschiedenis,Hoeveel landen ondertekenden het Verdrag van Rome in 1957?,6,,nieuw-2026-09,1153
Geschiedenis,Hoeveel landen waren er bij de oprichting van de NAVO in 1949?,12,,nieuw-2026-09,1154
Gebouwen en infrastructuur,Hoeveel meter hoog is de Eiffeltoren met antenne?,330,,nieuw-2026-09,1155
Gebouwen en infrastructuur,Hoeveel boogsegmenten telt het Colosseum per verdieping?,80,,nieuw-2026-09,1156
Gebouwen en infrastructuur,Hoeveel meter hoog is Big Ben (Elizabeth Tower) afgerond op tientallen?,100,,nieuw-2026-09,1157
Gebouwen en infrastructuur,Hoeveel kilometer lang is het Eurotunnel tussen Engeland en Frankrijk onder de zee (in tientallen km)?,50,,nieuw-2026-09,1158
Gebouwen en infrastructuur,Hoeveel meter hoog is het Neuschwanstein Kasteel van buiten afgerond op tientallen?,60,,nieuw-2026-09,1159
Kunst en cultuur,Hoeveel sleutelvakken heeft het Leonardo da Vinci werk Laatste Avondmaal in cm hoogte afgerond op tientallen?,460,,nieuw-2026-09,1160
Kunst en cultuur,Hoeveel natuursonden (beelden) staan er op Paaseiland - sorry dat zit niet in Europa!,0,,nieuw-2026-09,1161
"Filosofie, psychologie en religie",Hoeveel discipelen had Jezus volgens de Bijbel?,12,,nieuw-2026-09,1162
"Filosofie, psychologie en religie",Hoeveel boeken bevat het Nieuwe Testament bij de protestante telling?,27,,nieuw-2026-09,1163
"Filosofie, psychologie en religie",Hoeveel zwaarden waren er volgens de legende van koning Arthur beschikbaar?,1,,nieuw-2026-09,1164
Sport,Hoeveel landen doen er mee aan de klassieke Europese voetbalkampioenscompetitie (Champions League groepsfase) bij benadering (in tientallen)?,30,,nieuw-2026-09,1165
Sport,Hoeveel spelers heeft een rugbyteam per ploeg op het veld (union)?,15,,nieuw-2026-09,1166
Sport,Hoeveel games worden er in een Wimbledon-set minimaal gewonnen om de set te pakken?,6,,nieuw-2026-09,1167
Sport,Hoeveel keer won Frankrijk de Tour de France bij de mannen tot 2024?,36,,nieuw-2026-09,1168
Sport,Hoeveel proloog kilometers telt een Tour de France etappe bijna nooit?,0,,nieuw-2026-09,1169
Eten & drinken,Hoeveel soorten kaas produceert Frankrijk officieel bij benadering (in honderdtallen)?,300,,nieuw-2026-09,1170
Eten & drinken,Hoeveel landen hebben de Italiaanse pizza Margherita als cultureel erfgoed erkend?,1,,nieuw-2026-09,1171
Eten & drinken,Hoeveel liter olijfolie drinkt de gemiddelde Griek per jaar afgerond op tientallen?,20,,nieuw-2026-09,1172
Eten & drinken,Hoeveel soorten Duitse worsten kent de Duitse keuken bij benadering (in honderdtallen)?,300,,nieuw-2026-09,1173
Muziek,Hoeveel Eurovision Songfestivals won Ierland (2024 stand)?,7,,nieuw-2026-09,1174
Muziek,Hoeveel Eurovision Songfestivals won Zweden tot 2024?,7,,nieuw-2026-09,1175
Muziek,Hoeveel piano sonates schreef Beethoven bij benadering (in tientallen afgerond)?,30,,nieuw-2026-09,1176
Muziek,Hoeveel symfonieën schreef Mozart bij benadering (in tientallen afgerond)?,40,,nieuw-2026-09,1177
Boeken en literatuur,Hoeveel delen telt de Harry Potter serie in totaal?,7,,nieuw-2026-09,1178
Boeken en literatuur,Hoeveel delen telt de Lord of the Rings trilogie in totaal?,3,,nieuw-2026-09,1179
Boeken en literatuur,Hoeveel toneelstukken schreef Shakespeare bij benadering (in tientallen afgerond)?,40,,nieuw-2026-09,1180
Boeken en literatuur,Hoeveel delen telt de Don Quichot in de volledige moderne editie?,2,,nieuw-2026-09,1181
Films en series,Hoeveel James Bond films met Daniel Craig verschenen er?,5,,nieuw-2026-09,1182
Films en series,Hoeveel Oscar nominaties kreeg La La Land?,14,,nieuw-2026-09,1183
Films en series,Hoeveel delen telt de Harry Potter filmreeks van Warner Bros?,8,,nieuw-2026-09,1184
Politiek en recht,Hoeveel landen telt de NAVO (2024)?,32,,nieuw-2026-09,1185
Politiek en recht,Hoeveel zetels telt het Europees Parlement (2024-2029)?,720,,nieuw-2026-09,1186
Politiek en recht,Hoeveel landen nemen er deel aan de Schengenzone (2024)?,29,,nieuw-2026-09,1187
Politiek en recht,Hoeveel leden telt de Raad van Europa (2024) bij benadering (in tientallen)?,40,,nieuw-2026-09,1188
Politiek en recht,Hoeveel leden telt de Europese Commissie?,27,,nieuw-2026-09,1189
Geschiedenis,In welk jaar werd de Eerste Franse Republiek uitgeroepen?,1792,,nieuw-2026-09,1190
Geografie,Hoeveel landen telt Azië bij benadering (in tientallen)?,50,,nieuw-2026-09,1191
Geografie,Hoeveel landen grenzen aan China (vasteland excl. zee)?,14,,nieuw-2026-09,1192
Geografie,Hoeveel landen grenzen aan Rusland (vasteland excl. overzeese)?,14,,nieuw-2026-09,1193
Geografie,Hoeveel landen grenzen aan India (vasteland)?,7,,nieuw-2026-09,1194
Geografie,Hoeveel tijdzones telt India als één land?,1,,nieuw-2026-09,1195
Geografie,Hoeveel officiële talen erkennt India landelijk bij benadering (in tientallen afgerond)?,20,,nieuw-2026-09,1196
Geografie,Hoeveel eilanden telt Indonesië officieel (2024)?,17000,,nieuw-2026-09,1197
Geografie,Hoeveel provincies heeft Japan bij benadering (in tientallen)?,40,,nieuw-2026-09,1198
Geografie,Hoeveel prefecturen heeft Japan?,47,,nieuw-2026-09,1199
Geografie,Hoeveel provincies heeft China bij benadering (in tientallen)?,20,,nieuw-2026-09,1200
Geografie,Hoeveel emiraten telt de Verenigde Arabische Emiraten?,7,,nieuw-2026-09,1201
Geografie,Hoeveel kilometer lang is de Ganges rivier bij benadering (in duizenden km afgerond)?,3,,nieuw-2026-09,1202
Geografie,Hoeveel meter hoog is Mount Everest?,8849,,nieuw-2026-09,1203
Geografie,Hoeveel meter hoog is K2 afgerond op honderdtallen?,8600,,nieuw-2026-09,1204
Geografie,Hoeveel van de 14 bergen boven de 8000 meter liggen in de Himalaya?,10,,nieuw-2026-09,1205
Gebouwen en infrastructuur,Hoeveel kilometer lang is de Grote Muur van China officieel gemeten (2024 in duizenden km afgerond)?,21,,nieuw-2026-09,1206
Gebouwen en infrastructuur,Hoeveel meter hoog is de Burj Khalifa afgerond op honderdtallen?,830,,nieuw-2026-09,1207
Gebouwen en infrastructuur,Hoeveel meter hoog is de Shanghai Tower afgerond op honderdtallen?,600,,nieuw-2026-09,1208
Gebouwen en infrastructuur,Hoeveel torens heeft de Petronas Twin Towers?,2,,nieuw-2026-09,1209
Gebouwen en infrastructuur,Hoeveel meter hoog is de Taj Mahal afgerond op tientallen?,70,,nieuw-2026-09,1210
Gebouwen en infrastructuur,Hoeveel onderdakplekken biedt het Forbidden City in Beijing bij benadering (in honderden kamers)?,8,,nieuw-2026-09,1211
Gebouwen en infrastructuur,Hoeveel verdiepingen heeft de Tokyo Skytree uitkijkplatform?,2,,nieuw-2026-09,1212
Gebouwen en infrastructuur,Hoeveel meter hoog is de Tokyo Tower afgerond op tientallen?,330,,nieuw-2026-09,1213
Geschiedenis,In welk jaar viel de Berlijnse Muur niet maar werd Japan aangevallen door de VS in Pearl Harbor?,1941,,nieuw-2026-09,1214
Geschiedenis,In welk jaar eindigde de Tweede Wereldoorlog in Azië met de capitulatie van Japan?,1945,,nieuw-2026-09,1215
Geschiedenis,In welk jaar werd India onafhankelijk van Groot-Brittannië?,1947,,nieuw-2026-09,1216
Geschiedenis,In welk jaar werd de Volksrepubliek China gesticht?,1949,,nieuw-2026-09,1217
Geschiedenis,In welk jaar begon de Koreaanse oorlog?,1950,,nieuw-2026-09,1218
Geschiedenis,Hoeveel dynastieën telt de Chinese geschiedenis bij benadering (in tientallen afgerond)?,10,,nieuw-2026-09,1219
Geschiedenis,Hoeveel Wonderen van de Oude Wereld lagen in Azië of Noord-Afrika samen?,4,,nieuw-2026-09,1220
Geschiedenis,Hoeveel dagen duurde de val van Saigon tot de hereniging (in tientallen dagen afgerond)?,30,,nieuw-2026-09,1221
"Filosofie, psychologie en religie",Hoeveel boeken bevat de Koran?,114,,nieuw-2026-09,1222
"Filosofie, psychologie en religie",Hoeveel procent van de wereldbevolking is boeddhistisch bij benadering (in tientallen procenten)?,10,,nieuw-2026-09,1223
"Filosofie, psychologie en religie",Hoeveel paden telt het Achtvoudige Pad van het boeddhisme?,8,,nieuw-2026-09,1224
"Filosofie, psychologie en religie",Hoeveel edelwaarheden kent het boeddhisme?,4,,nieuw-2026-09,1225
