nederlands	engels
Hoeveel bekende manen heeft Saturnus (stand 2026)?	How many known moons does Saturn have (as of 2026)?
Hoeveel kilometer lang is de Donau?	How many kilometres long is the Danube?
Hoeveel minuten duurt de film Avatar: The Way of Water?	How many minutes long is the film Avatar: The Way of Water?
Hoeveel miljoen inwoners heeft Colombia?	How many million inhabitants does Colombia have?
Hoeveel miljoen zakken koffie produceert Brazilië per jaar?	How many million bags of coffee does Brazil produce per year?
Hoeveel miljoen inwoners heeft Brazilië?	How many million inhabitants does Brazil have?
Hoeveel dagvlindersoorten komen voor in Nederland?	How many butterfly species are found in the Netherlands?
In welk jaar werd Facebook opgericht?	In what year was Facebook founded?
In welk jaar werd Sony opgericht?	In what year was Sony founded?
Hoeveel kilogram weegt een volwassen witte neushoorn?	How many kilograms does an adult white rhinoceros weigh?
Hoeveel bekende manen heeft de planeet Jupiter officieel (stand 2026)?	How many known moons does Jupiter officially have (as of 2026)?
Hoeveel kilometer lang is de Elfstedentocht?	How many kilometres long is the Elfstedentocht?
Hoeveel landen telt Azië?	How many countries are there in Asia?
Hoeveel zetels telt het Australische Huis van Afgevaardigden?	How many seats are there in the Australian House of Representatives?
Hoeveel leden telt het Amerikaanse Huis van Afgevaardigden?	How many members are there in the United States House of Representatives?
In welk jaar werd Nigeria onafhankelijk?	In what year did Nigeria gain independence?
Hoeveel meter hoog is de Tokyo Tower?	How many metres high is Tokyo Tower?
Hoeveel meter hoog is Mount Kosciuszko, het hoogste punt van Australië?	How many metres high is Mount Kosciuszko, the highest point in Australia?
Hoeveel eilanden telt het Great Barrier Reef?	How many islands are there in the Great Barrier Reef?
Hoeveel meter hoog is de Grote Piramide van Gizeh nu?	How many metres high is the Great Pyramid of Giza today?
Hoeveel kilometer lang is de Rijn?	How many kilometres long is the Rhine?
Hoeveel eilanden telt Fiji?	How many islands does Fiji have?
Hoeveel UNESCO-werelderfgoedlocaties heeft China (stand 2026)?	How many UNESCO World Heritage Sites does China have (as of 2026)?
Hoeveel kilometer breed is de Kalahariwoestijn ongeveer?	How many kilometres wide is the Kalahari Desert, approximately?
Hoeveel kilometer per uur haalt de Shanghai Maglev?	How many kilometres per hour can the Shanghai Maglev reach?
Hoeveel meter breed zijn de Victoriawatervallen?	How many metres wide are Victoria Falls?
Hoeveel ton aluminium wordt wereldwijd jaarlijks geproduceerd?	How many tonnes of aluminium are produced worldwide each year?
Hoeveel procent van de wilde leeuwen leeft in Sub-Sahara Afrika?	What percentage of wild lions live in sub-Saharan Africa?
Hoeveel kilometer per uur haalt een cheetah op zijn snelst?	How many kilometres per hour can a cheetah reach at top speed?
Hoeveel kilogram weegt een volwassen mannelijke rode reuzenkangoeroe maximaal?	How many kilograms can an adult male red kangaroo weigh at most?
In welk jaar werd de Eerste Franse Republiek uitgeroepen?	In what year was the First French Republic proclaimed?
Hoeveel kilometer lang is de Zambezi?	How many kilometres long is the Zambezi?
Hoeveel kilometer lang is de Niger?	How many kilometres long is the Niger River?
In welk jaar eindigde de Eerste Wereldoorlog?	In what year did the First World War end?
Hoeveel zetels telt het Zuid-Afrikaanse parlement (National Assembly)?	How many seats are there in South Africa's National Assembly?
Hoeveel centimeter hoog wordt een volwassen emoe?	How many centimetres tall does an adult emu grow?
Hoeveel piramides telt Egypte ongeveer?	How many pyramids are there in Egypt, approximately?
Hoeveel landen telt Europa?	How many countries are there in Europe?
Hoeveel bekende manen heeft Jupiter (stand 2026)?	How many known moons does Jupiter have (as of 2026)?
Hoeveel nationale parken telt Australië ongeveer?	How many national parks does Australia have, approximately?
Hoeveel kilogram weegt een volwassen nijlpaard?	How many kilograms does an adult hippopotamus weigh?
Wat is de lengte van de rivier de Nijl in kilometers?	How many kilometres long is the Nile?
Hoeveel duizend beeldpunten telt een Full HD-scherm?	How many thousand pixels does a Full HD screen have?
Hoeveel miljoen inwoners heeft Mexico?	How many million inhabitants does Mexico have?
Hoeveel soldaten namen deel aan de landing in Normandië op D-Day?	How many soldiers took part in the Normandy landings on D-Day?
Hoeveel kilometer staaldraad zit er in beide hoofdkabels van de Golden Gate Bridge samen?	How many kilometres of steel wire are there in the two main cables of the Golden Gate Bridge combined?
Hoeveel velden telt een Engels dambord van 8 bij 8?	How many squares does an 8-by-8 English draughts board have?
Hoeveel soorten telt de kangoeroefamilie (Macropodidae)?	How many species are there in the kangaroo family (Macropodidae)?
Hoeveel meter sprintt een schaatser op de kortebaan-afstand?	How many metres does a speed skater sprint in the short-track event?
Hoeveel zijvlakken heeft een icosaeder?	How many faces does an icosahedron have?
Hoeveel kilogram weegt een volwassen mannelijke jaguar?	How many kilograms does an adult male jaguar weigh?
In welk jaar werd Peru onafhankelijk van Spanje?	In what year did Peru gain independence from Spain?
Hoeveel kilometer lang is de Murray?	How many kilometres long is the Murray River?
Hoeveel talen erkent India als officiële taal?	How many languages does India recognise as official languages?
Hoeveel uren zitten er in een standaard kalenderjaar?	How many hours are there in a standard calendar year?
Hoeveel meter hoog zijn de Victoriawatervallen?	How many metres high are Victoria Falls?
Hoeveel kilometer van de Kanaaltunnel ligt onder zee?	How many kilometres of the Channel Tunnel lie beneath the sea?
Hoeveel procent van de wereldcacao komt uit West-Afrika?	What percentage of the world's cocoa comes from West Africa?
Hoeveel duizend kilometer lang is de Australische kustlijn?	How many thousand kilometres long is Australia's coastline?
Hoeveel kilogram weegt een volwassen giraffe?	How many kilograms does an adult giraffe weigh?
Hoeveel procent van de wereldkoffie komt uit Brazilië?	What percentage of the world's coffee comes from Brazil?
Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?	How many kilograms does an adult male African elephant weigh?
Hoeveel eilanden telt Papoea-Nieuw-Guinea ongeveer?	How many islands does Papua New Guinea have, approximately?
Hoeveel duizend inwoners heeft Amsterdam?	How many thousand inhabitants does Amsterdam have?
Wat is de diameter van de Maan in kilometers?	How many kilometres is the diameter of the Moon?
In welk jaar werd Zuid-Afrika officieel anti-apartheid democratie met Mandela als president?	In what year did South Africa officially become a post-apartheid democracy with Mandela as president?
In welk jaar werd de Volksrepubliek China gesticht?	In what year was the People's Republic of China founded?
Hoeveel ton staal werd wereldwijd geproduceerd in 2023?	How many tonnes of steel were produced worldwide in 2023?
Hoeveel kolibriesoorten komen voor in de Verenigde Staten?	How many hummingbird species are found in the United States?
Hoeveel meter hoog is kasteel Neuschwanstein?	How many metres high is Neuschwanstein Castle?
Hoeveel procent van Australië is woestijn of droog gebied?	What percentage of Australia is desert or arid land?
Hoeveel miljoen inwoners heeft Peru?	How many million inhabitants does Peru have?
Hoeveel landen zijn lid van de CELAC?	How many countries are members of CELAC?
Hoeveel vogelsoorten telt het Amazonegebied?	How many bird species are found in the Amazon region?
Hoeveel tanden heeft een volwassen witte haai in de voorste rij van de bovenkaak?	How many teeth does an adult great white shark have in the front row of its upper jaw?
In welk jaar werd Toyota opgericht als automerk?	In what year was Toyota founded as a car manufacturer?
Hoeveel kilogram weegt een volwassen wombat?	How many kilograms does an adult wombat weigh?
Hoeveel boeken bevat de gepubliceerde hoofdserie A Song of Ice and Fire (stand 2026)?	How many books does the published main A Song of Ice and Fire series contain (as of 2026)?
Hoeveel winkels heeft Aldi wereldwijd ongeveer?	How many stores does Aldi have worldwide, approximately?
Hoeveel bezoekers ontving het Louvre in 2023?	How many visitors did the Louvre receive in 2023?
Hoeveel procent van de Nederlanders fietst dagelijks?	What percentage of people in the Netherlands cycle every day?
Wat is de officiële hoogte van de Mount Everest in meters?	How many metres high is Mount Everest officially?
Hoeveel kilometer lang is het metronet van Rotterdam?	How many kilometres long is Rotterdam's metro network?
Hoeveel ton weegt een volwassen blauwe vinvis?	How many tonnes does an adult blue whale weigh?
Hoeveel bekende manen heeft Saturnus officieel (stand 2026)?	How many known moons does Saturn officially have (as of 2026)?
Hoe zwaar was de grootste chocoladereep ooit in kilogram?	How many kilograms did the largest chocolate bar ever made weigh?
Hoeveel meter hoog is de Taj Mahal?	How many metres high is the Taj Mahal?
Hoeveel meter diep is de Grand Canyon op het diepste punt?	How many metres deep is the Grand Canyon at its deepest point?
Hoeveel ton cement wordt wereldwijd jaarlijks geproduceerd?	How many tonnes of cement are produced worldwide each year?
Hoeveel ton plastic afval produceert de mensheid jaarlijks volgens UNEP ongeveer?	How many tonnes of plastic waste does humanity produce each year, according to UNEP estimates?
Hoeveel miljoen inwoners heeft Argentinië?	How many million inhabitants does Argentina have?
In welk jaar viel de Berlijnse Muur?	In what year did the Berlin Wall fall?
Hoeveel Afrikaanse landen produceren koffie?	How many African countries produce coffee?
Hoeveel miljoen kilometer is de gemiddelde afstand van de aarde tot de zon?	How many million kilometres is the average distance from Earth to the Sun?
Hoeveel jaar regeerde Cleopatra VII?	How many years did Cleopatra VII reign?
Hoeveel armen heeft een octopus?	How many arms does an octopus have?
Hoeveel kilometer per uur sprint een jaguar?	How many kilometres per hour can a jaguar sprint?
Hoeveel dagen duurt de Ramadan maximaal?	How many days can Ramadan last at most?
Hoeveel graden Celsius is de gemiddelde zomertemperatuur in Nederland?	How many degrees Celsius is the average summer temperature in the Netherlands?
Hoeveel uur per dag slaapt een koala?	How many hours per day does a koala sleep?
Hoeveel gram suiker zit er in een Amerikaans blikje Coca-Cola van 355 ml?	How many grams of sugar are in a 355 ml can of Coca-Cola sold in the United States?
Hoeveel toneelstukken schreef Shakespeare volgens de gangbare telling?	How many plays did Shakespeare write according to the commonly used count?
Hoeveel landen zijn lid van het Pacific Islands Forum?	How many countries are members of the Pacific Islands Forum?
Hoeveel duizend kilometer fietspad telt Nederland?	How many thousand kilometres of cycle paths does the Netherlands have?
Hoeveel symfonieën schreef Mozart?	How many symphonies did Mozart compose?
In welk jaar werd Apple opgericht?	In what year was Apple founded?
Hoeveel vliegtuigen ondersteunden D-Day?	How many aircraft supported the D-Day landings?
Hoeveel winkels heeft Lidl wereldwijd ongeveer?	How many stores does Lidl have worldwide, approximately?
Hoeveel kilometer van de Maas ligt in Nederland?	How many kilometres of the Meuse lie in the Netherlands?
Hoeveel soorten worst kent de Duitse keuken ongeveer?	How many varieties of sausage are there in German cuisine, approximately?
Hoeveel kilogram weegt een volwassen emoe?	How many kilograms does an adult emu weigh?
Hoeveel kilometer lang is het metronet van Mexico-Stad?	How many kilometres long is Mexico City's metro network?
Hoeveel uur duurde het langste videogame-marathonrecord (stand 2026)?	How many hours did the longest video game marathon record last (as of 2026)?
Hoeveel vogelsoorten telt Australië?	How many bird species are found in Australia?
Hoeveel kilogram weegt een volwassen Aziatische olifant?	How many kilograms does an adult Asian elephant weigh?
Hoeveel kilometer per uur zwemt een dolfijn op zijn snelst?	How many kilometres per hour can a dolphin swim at top speed?
Hoeveel miljoen inwoners heeft India?	How many million inhabitants does India have?
Hoeveel kilogram weegt een volwassen mannelijke Bengaalse tijger?	How many kilograms does an adult male Bengal tiger weigh?
Hoeveel LEGO-steentjes werden gebruikt voor het grootste LEGO-model?	How many LEGO bricks were used to build the largest LEGO model?
Hoeveel meter hoog is De Zalmhaven in Rotterdam?	How many metres high is De Zalmhaven in Rotterdam?
Wat is de baansnelheid van het ISS ongeveer?	How many kilometres per hour is the orbital speed of the ISS, approximately?
Hoeveel mensen bezochten de Wereldtentoonstelling van 1893 in Chicago?	How many people visited the 1893 World's Fair in Chicago?
Hoeveel miljoen inwoners heeft China?	How many million inhabitants does China have?
Hoeveel kilometer per uur sprint een leeuw?	How many kilometres per hour can a lion sprint?
Hoeveel Amerikaanse militairen kwamen tijdens de Tweede Wereldoorlog om het leven?	How many members of the United States military died during the Second World War?
Hoeveel meter hoog is Mount Cook (Aoraki)?	How many metres high is Mount Cook (Aoraki)?
Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan?	How many African countries border the Atlantic Ocean?
Hoeveel meter hoog is de Shanghai Tower?	How many metres high is the Shanghai Tower?
Hoeveel pianosonates schreef Beethoven?	How many piano sonatas did Beethoven compose?
In welk jaar werd Venezuela onafhankelijk van Spanje?	In what year did Venezuela gain independence from Spain?
Hoeveel kilometer lang is de Ganges?	How many kilometres long is the Ganges?
Hoeveel provincies telt China?	How many provinces does China have?
Hoeveel meter hoog is Mount Kenya?	How many metres high is Mount Kenya?
Hoeveel studioalbums bracht Kylie Minogue uit?	How many studio albums has Kylie Minogue released?
Wat is de diameter van de Aarde over de evenaar in kilometers?	How many kilometres is Earth's equatorial diameter?
Hoeveel meter diep is de Challengerdiepte in de Marianentrog?	How many metres deep is Challenger Deep in the Mariana Trench?
Hoeveel duizend vierkante kilometer groot is Australië?	How many thousand square kilometres is Australia in area?
Hoeveel schaatsbanen van 400 meter telt Nederland?	How many 400-metre speed-skating rinks does the Netherlands have?
In welk jaar werd de Amerikaanse Onafhankelijkheidsverklaring ondertekend?	In what year was the United States Declaration of Independence signed?
Hoeveel meter hoog is de Kilimanjaro?	How many metres high is Mount Kilimanjaro?
Hoeveel meter hoog is de Aconcagua?	How many metres high is Aconcagua?
Hoeveel meter hoog is Mount Everest?	How many metres high is Mount Everest?
Hoeveel vierkante kilometer is de oppervlakte van het Baikalmeer ongeveer?	How many square kilometres is the surface area of Lake Baikal, approximately?
Wat is de omtrek van de Aarde rond de evenaar in kilometers?	How many kilometres is Earth's circumference around the equator?
Hoeveel kilometer lang is de evenaar ongeveer?	How many kilometres long is the equator, approximately?
Hoeveel miljoen inwoners heeft Chili?	How many million inhabitants does Chile have?
Hoeveel McDonald’s-restaurants waren er wereldwijd aan het einde van 2023?	How many McDonald's restaurants were there worldwide at the end of 2023?
Hoeveel kilometer lang is de Kongo?	How many kilometres long is the Congo River?
Hoeveel kilometer lang was Route 66?	How many kilometres long was Route 66?
Hoeveel landen gebruiken de West-Afrikaanse CFA-frank?	How many countries use the West African CFA franc?
Hoeveel vierkante kilometer is het Victoriameer ongeveer?	How many square kilometres is Lake Victoria in area, approximately?
Hoeveel kilometer lang is de kustlijn van Canada ongeveer?	How many kilometres long is Canada's coastline, approximately?
Hoeveel meter is een marathon exact?	How many metres is a marathon exactly?
Hoeveel miljoen gnoes trekken mee in de Grote Migratie van de Serengeti?	How many million wildebeest take part in the Great Migration in the Serengeti?
Wat is de exacte afstand van een marathonwedstrijd in meters?	How many metres is the exact distance of a marathon race?
Hoeveel liter olijfolie gebruikt een Griek per jaar?	How many litres of olive oil does a Greek person use per year?
Hoeveel kilometer is de diameter van Jupiter ongeveer?	How many kilometres is Jupiter's diameter, approximately?
Hoeveel kilometer lang is de Grote Muur van China volgens de officiële meting?	How many kilometres long is the Great Wall of China according to the official measurement?
Hoeveel landen hebben grondgebied in de Sahara?	How many countries have territory in the Sahara?
Hoeveel procent van de bekende plant- en diersoorten leeft in tropische regenwouden?	What percentage of known plant and animal species live in tropical rainforests?
Hoeveel hertz is de toonhoogte van de standaard a in de muziek?	How many hertz is the pitch of the standard A in music?
In welk jaar werd Samsung opgericht?	In what year was Samsung founded?
In welk jaar werd de eerste succesvolle harttransplantatie uitgevoerd?	In what year was the first successful heart transplant performed?
Hoeveel aardse dagen duurt een jaar op Jupiter ongeveer?	How many Earth days does a year on Jupiter last, approximately?
Hoeveel procent van het menselijk lichaam bestaat ongeveer uit water?	What percentage of the human body is water, approximately?
Hoeveel miljard neuronen (zenuwcellen) bevat het menselijk brein naar schatting?	How many billion neurons (nerve cells) does the human brain contain, approximately?
Hoeveel paar ribben heeft een mens normaal?	How many pairs of ribs does a person normally have?
Hoeveel dynastieën kent de traditionele indeling van het oude Egypte?	How many dynasties are there in the traditional chronology of ancient Egypt?
Hoeveel gram eiwit bevat een Amerikaanse McDonald’s Big Mac?	How many grams of protein does a McDonald's Big Mac sold in the United States contain?
In welk jaar werd Google opgericht?	In what year was Google founded?
Hoeveel aardse jaren duurt een jaar op Neptunus ongeveer?	How many Earth years does a year on Neptune last, approximately?
Hoeveel kamers heeft het menselijk hart?	How many chambers does the human heart have?
Hoeveel zangen telt Dante’s Inferno?	How many cantos does Dante's Inferno contain?
Hoeveel duizend knipperbewegingen met je ogen maak je gemiddeld per dag?	How many thousand times do you blink on average per day?
Hoeveel metrostations heeft de Parijse metro?	How many stations does the Paris Métro have?
Hoeveel liter zuurstof ademt een mens gemiddeld per dag in?	How many litres of oxygen does a person breathe in on average per day?
Hoeveel procent van de lucht bestaat uit stikstof?	What percentage of air is nitrogen?
Hoeveel delen bevat Plato’s De Staat?	How many books does Plato's De Staat contain?
In welk jaar voer de eerste moderne onderzeeër succesvol?	In what year did the first modern submarine make a successful voyage?
Hoeveel procent van het lichaam was bedekt met tatoeages bij de meest getatoeëerde man?	What percentage of the most tattooed man's body was covered in tattoos?
Hoe zwaar was de zwaarste schildpad ooit in kilogram?	How many kilograms did the heaviest turtle ever recorded weigh?
Hoeveel hoofdgoden telt de Griekse mythologie op de berg Olympus (de Twaalf Olympiërs)?	How many principal gods live on Mount Olympus in Greek mythology (the Twelve Olympians)?
Hoeveel boeken bevat de Griekse eposreeks Ilias?	How many books does the Greek epic Ilias contain?
Hoeveel aardse uren duurt één volledige draai van Jupiter ongeveer?	How many Earth hours does one full rotation of Jupiter take, approximately?
In welk jaar reed de eerste elektrische auto?	In what year was the first electric car driven?
Hoeveel jaar kan een reuzenschildpad ongeveer oud worden?	How many years can a giant tortoise live, approximately?
In welk jaar werd de eerste radio-uitzending gemaakt?	In what year was the first radio broadcast made?
Hoe zwaar was de zwaarste hond ooit in kilogram?	How many kilograms did the heaviest dog ever recorded weigh?
In welk jaar vond de Slag bij Waterloo plaats?	In what year did the Battle of Waterloo take place?
Hoeveel bloedgroepen kent het ABO-systeem?	How many blood groups are there in the ABO system?
Hoeveel procent van de wereldbevolking werkt direct of indirect in de landbouw?	What percentage of the world's population works directly or indirectly in agriculture?
Hoeveel procent van het aardoppervlak bestaat uit water en land samen?	What percentage of Earth's surface consists of water and land combined?
In welk jaar vertrok de eerste commerciële passagiersvlucht?	In what year did the first commercial passenger flight take off?
In welk jaar begon de Franse Revolutie?	In what year did the French Revolution begin?
In welk jaar vond de kernramp in Tsjernobyl plaats?	In what year did the Chernobyl nuclear disaster occur?
In welk jaar werd de eerste reageerbuisbaby geboren?	In what year was the first test-tube baby born?
In welk jaar werd de eerste barcode in een winkel gescand?	In what year was the first barcode scanned in a shop?
In welk jaar werd de eerste röntgenfoto gemaakt?	In what year was the first X-ray image made?
Hoeveel vierkante kilometer is Antarctica ongeveer groot?	How many square kilometres is Antarctica in area, approximately?
Hoeveel kamers heeft de maag van een koe?	How many chambers does a cow's stomach have?
In welk jaar werd de eerste succesvolle orgaantransplantatie uitgevoerd?	In what year was the first successful organ transplant performed?
In welk jaar werd de eerste bloedtransfusie met succes uitgevoerd?	In what year was the first successful blood transfusion performed?
Hoeveel milliliter speeksel produceert een mens gemiddeld per dag?	How many millilitres of saliva does a person produce on average per day?
Hoeveel aardse dagen duurt een jaar op Venus ongeveer?	How many Earth days does a year on Venus last, approximately?
Hoeveel zuilen kent de islam?	How many pillars are there in Islam?
In welk jaar werd de Magna Carta bezegeld?	In what year was Magna Carta sealed?
Hoeveel procent van het wereldwijde waterverbruik gaat naar landbouw?	What percentage of global water consumption is used for agriculture?
Hoeveel procent van het voedsel dat wereldwijd wordt geproduceerd gaat verloren of wordt verspild?	What percentage of food produced worldwide is lost or wasted?
In welk jaar werd de eerste sms verstuurd?	In what year was the first text message sent?
In welk jaar reed de eerste auto met een verbrandingsmotor?	In what year was the first car with an internal combustion engine driven?
In welk jaar vond de kernramp in Fukushima plaats?	In what year did the Fukushima nuclear disaster occur?
In welk jaar bracht Apple de eerste iPhone uit?	In what year did Apple release the first iPhone?
In welk jaar voer de eerste nucleaire onderzeeër uit?	In what year did the first nuclear-powered submarine set sail?
Hoeveel liter bloed pompt een mensenhart gemiddeld per dag rond?	How many litres of blood does a human heart pump on average per day?
Hoeveel procent van het landoppervlak van de aarde is bedekt met bos?	What percentage of Earth's land surface is covered by forest?
Hoe zwaar was de zwaarste hamburger ooit in kilogram?	How many kilograms did the heaviest hamburger ever made weigh?
Hoeveel procent van het Amazonebekken ligt ongeveer in Brazilië?	What percentage of the Amazon basin lies in Brazil, approximately?
Hoeveel aardse uren duurt één volledige draai van Mars ongeveer?	How many Earth hours does one full rotation of Mars take, approximately?
In welk jaar werd de eerste camera uitgevonden?	In what year was the first camera invented?
Hoeveel vierkante kilometer is de Sahara ongeveer groot?	How many square kilometres is the Sahara in area, approximately?
In welk jaar landde de eerste ruimtesonde op Mars?	In what year did the first space probe land on Mars?
In welk jaar landde Apollo 11 op de maan?	In what year did Apollo 11 land on the Moon?
Hoeveel tanden heeft een volwassen mens normaal?	How many teeth does an adult normally have?
In welk jaar werd Microsoft opgericht?	In what year was Microsoft founded?
In welk jaar werd de eerste kunstmatige satelliet gelanceerd?	In what year was the first artificial satellite launched?
Hoeveel procent van Nederland ligt onder zeeniveau?	What percentage of the Netherlands lies below sea level?
Hoeveel procent van de oorspronkelijke bossen in de wereld is nog over?	What percentage of the world's original forests remains?
Hoeveel metrolijnen heeft de New York City Subway?	How many lines does the New York City Subway have?
In welk jaar begon de Koreaanse oorlog?	In what year did the Korean War begin?
Hoeveel procent van de extra warmte door klimaatverandering wordt door de oceanen opgenomen?	What percentage of the additional heat caused by climate change is absorbed by the oceans?
In welk jaar voor Christus viel Carthago in handen van de Romeinen?	In what year BC did Carthage fall to the Romans?
In welk jaar werd penicilline ontdekt?	In what year was penicillin discovered?
In welk jaar zonk de Titanic?	In what year did the Titanic sink?
Hoeveel gram koolhydraten bevat een Amerikaanse McDonald’s Big Mac?	How many grams of carbohydrates does a McDonald's Big Mac sold in the United States contain?
Hoeveel volt heeft een standaard stopcontact in Nederland?	How many volts does a standard electrical outlet in the Netherlands supply?
Hoeveel watt laadt een standaard iPhone snellader?	How many watts does a standard iPhone fast charger supply?
Hoeveel procent van de wetlands is sinds 1700 wereldwijd verdwenen?	What percentage of wetlands worldwide has disappeared since 1700?
Hoeveel naamvallen heeft het Fins?	How many grammatical cases does Finnish have?
Hoeveel centimeter zet de Eiffeltoren uit op een hete zomerdag?	How many centimetres does the Eiffel Tower expand on a hot summer day?
Hoeveel metrolijnen heeft de Parijse metro?	How many lines does the Paris Métro have?
In welk jaar werd Amazon opgericht?	In what year was Amazon founded?
Hoeveel cent zit er in één euro?	How many cents are there in one euro?
In welk jaar werd de eerste commerciële mobiele telefoon uitgebracht?	In what year was the first commercial mobile phone released?
Hoe zwaar was de zwaarste pompoen ooit in kilogram?	How many kilograms did the heaviest pumpkin ever recorded weigh?
Hoeveel vierkante kilometer is de Noordzee ongeveer groot?	How many square kilometres is the North Sea in area, approximately?
In welk jaar werd de eerste e-mail verstuurd?	In what year was the first email sent?
Hoeveel punten levert een safety op bij American football?	How many points is a safety worth in American football?
Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?	How many players does a Dutch korfball team have on the court?
Hoeveel Eurovision Songfestivals won Ierland (2024 stand)?	How many Eurovision Song Contests had Ireland won (as of 2024)?
Hoeveel dollarcent zit er in één Amerikaanse dollar?	How many cents are there in one US dollar?
Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?	How many Dutch waterlines are part of the Oude Nederlandsche Waterlinie?
Hoeveel minuten officiële speeltijd heeft een rugbyunionwedstrijd?	How many minutes of official playing time does a rugby union match have?
Hoeveel spelers staan er op het ijs bij ijshockey (beide teams inclusief keepers)?	How many players are on the ice in an ice hockey match, counting both teams and their goaltenders?
Hoe lang was de langste hond ooit in centimeters?	How many centimetres long was the longest dog ever recorded?
Wat is de autorij-afstand van Amsterdam naar Rome in km?	How many kilometres is the driving distance from Amsterdam to Rome?
Hoe hoog was de hoogste hond ooit in centimeters?	How many centimetres tall was the tallest dog ever recorded?
Wat is de gemiddelde afstand van de aarde tot de zon?	How many kilometres is the average distance from Earth to the Sun?
Hoe lang was de langste man ooit in centimeters?	How many centimetres tall was the tallest man ever recorded?
Wat is de lengte van de rivier de Amazone in kilometers?	How many kilometres long is the Amazon River?
Hoe hoog was het hoogste paard ooit in centimeters?	How many centimetres tall was the tallest horse ever recorded?
Wat is de totale lengte van alle onderzeese internetkabels op aarde in duizend kilometer?	How many thousand kilometres long are all the world's submarine internet cables combined?
Wat weegt het hart van een volwassen Blauwe Vinvis in kilogram?	How many kilograms does the heart of an adult blue whale weigh?
Wat is de autorij-afstand van Amsterdam naar Parijs in km?	How many kilometres is the driving distance from Amsterdam to Paris?
Wat is de geschatte temperatuur aan het oppervlak van de zon?	How many degrees Celsius is the estimated temperature at the surface of the Sun?
Wat is de dakhoogte van het Empire State Building in New York in meters?	How many metres high is the roof of the Empire State Building in New York?
Hoe groot was het grootste permanente IMAX-scherm in vierkante meter?	How many square metres was the largest permanent IMAX screen?
Wat is de snelheid van het geluid in droge lucht bij 20°C in km/u?	How many kilometres per hour is the speed of sound in dry air at 20°C?
Hoe groot was de grootste pizza ooit in vierkante meter?	How many square metres was the largest pizza ever made?
Wat is de capaciteit van het Narendra Modi Stadium in India?	How many spectators can the Narendra Modi Stadium in India hold?
Hoe lang was de langste kat ooit in centimeters?	How many centimetres long was the longest cat ever recorded?
