vlag	nederlands	engels
	Hoeveel start- en landingsbanen heeft Schiphol?	How many runways does Schiphol have?
	In welk jaar bereikte een expeditie voor het eerst de Zuidpool?	In what year did an expedition first reach the South Pole?
	Hoeveel poten heeft een kreeftachtige van de orde Isopoda?	How many legs has a lobster-like of the order Isopoda?
	In welk jaar werd de eerste televisie-uitzending verzorgd?	In what year was the first television broadcast arranged?
GEEN	Hoeveel duizend inwoners heeft Rotterdam?	
GEEN	Hoeveel geboden telt de Thora volgens de miswot-telling?	
	Hoeveel liften heeft de Burj Khalifa?	How many lifts does the Burj Khalifa have?
	Hoeveel deelverzamelingen heeft een verzameling met acht elementen?	How many subsets does a set with eight elements have?
	Hoeveel gram eiwit bevat een Amerikaanse McDonald’s Big Mac?	How many grams of protein does an American McDonald... contain Big Mac?
	Wat is de lengte van de rivier de Amazone in kilometers?	What is the length of the Amazon River in kilometres?
	Hoeveel kilometer lang is Japan van noord naar zuid ongeveer?	How many kilometres long is Japan from north to south about?
	Hoeveel ribben heeft een menselijk lichaam in totaal?	How many ribs does a human body have in total?
	Hoeveel kilometer lang is de HSL-Zuid hogesnelheidslijn?	How many kilometres long is the HSL-South high-speed line?
	In welk jaar werd de New York Stock Exchange opgericht?	In what year was the New York Stock Exchange established?
	Hoeveel botten heeft een volwassen menselijk lichaam?	How many bones does an adult human body have?
	In welk jaar werd Google opgericht?	What year was Google founded?
	In welk jaar werd de eerste volledige sequentie van het menselijke genoom gepubliceerd?	In what year was the first complete sequence of the human genome published?
	Hoeveel afleveringen telt de serie Breaking Bad?	How many episodes does the Breaking Bad series have?
GEEN	In welk jaar viel de Berlijnse Muur niet maar werd Japan aangevallen door de VS in Pearl Harbor?	
GEEN	Hoeveel meter diep kan de potvis duiken?	
GEEN	Hoeveel kaassoorten produceert Frankrijk ongeveer?	
	Hoeveel soldaten telde het leger van Napoleon tijdens de invasie van Rusland?	How many soldiers did Napoleon's army count during the invasion of Russia?
	Hoeveel bitcoins kunnen er maximaal worden gecreëerd?	How many bitcoins can be created maximum?
NL?	Hoeveel etappes telt de Tour de France doorgaans?	How many stages does the Tour de France usually have?
	Hoeveel tegels bedekken het dak van het Sydney Opera House?	How many tiles cover the roof of the Sydney Opera House?
	Hoeveel koppen had de Hydra van Lerna volgens de bekendste versie?	How many heads did the Hydra of Lerna have according to the most famous version?
	Hoeveel miljoen kubieke meter aarde werd er uitgegraven voor de bouw van het Panamakanaal?	How many million cubic meters of earth were dug out to build the Panama Canal?
	Hoe hoog was het hoogste paard ooit in centimeters?	How high was the highest horse ever in centimeters?
	Hoeveel verdiepingen hebben de Petronas Twin Towers?	How many floors do the Petronas Twin Towers have?
	Hoeveel Oscars won The Lord of the Rings: The Return of the King?	How many Oscars won The Lord of the Rings: The Return of the King?
	Hoeveel centimeter hoog is de Mona Lisa?	How many centimeters is the Mona Lisa?
	Hoeveel ogen heeft een bij?	How many eyes does a bee have?
	Hoeveel letters heeft het Georgische alfabet?	How many letters does the Georgian alphabet have?
	Hoeveel aardse jaren duurt een jaar op Neptunus ongeveer?	How many Earth years on Neptune last about a year?
	Hoeveel kilometer lang is de Betuweroute goederenspoorlijn?	How many kilometers is the Betuweroute freight line?
	Hoeveel kamers heeft het menselijk hart?	How many rooms does the human heart have?
GEEN	Hoeveel procent van de Nederlanders woont in de Randstad?	
	Wat is de totale lengte van alle onderzeese internetkabels op aarde in duizend kilometer?	What is the total length of all submarine Internet cables on Earth in a thousand kilometers?
GEEN	Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?	
	Hoeveel kilometer lang is het Great Barrier Reef ongeveer?	How many kilometres long is the Great Barrier Reef about?
	Hoeveel graden Celsius is het smeltpunt van tin ongeveer?	How many degrees Celsius is the melting point of tin about?
	Hoeveel speelkaarten zitten er in een standaard kaartspel (zonder jokers)?	How many cards are in a standard card game (without jokers)?
	Wat weegt het hart van een volwassen Blauwe Vinvis in kilogram?	What weighs the heart of an adult blue whale in kilograms?
	Hoeveel zangen telt Dante’s Inferno?	How many sings does Dante hindered Inferno have?
	Hoeveel duizend knipperbewegingen met je ogen maak je gemiddeld per dag?	How many thousand blinks with your eyes do you make on average a day?
	Wat is de autorij-afstand van Amsterdam naar Parijs in km?	What is the driving distance from Amsterdam to Paris in km?
	Hoeveel metrostations heeft de Parijse metro?	How many subway stations does the Paris subway have?
	Welk percentage van plastic afval wordt wereldwijd slecht beheerd?	What percentage of plastic waste is poorly managed worldwide?
	Hoeveel landen gebruiken de CFA-frank in West- en Centraal-Afrika samen?	How many countries use the CFA franc in West and Central Africa together?
	Hoeveel liften heeft het Empire State Building?	How many elevators does the Empire State Building have?
	In welk jaar werd Egypte officieel onafhankelijk van Groot-Brittannië?	In what year did Egypt officially become independent of Britain?
	In welk jaar werd de eerste exoplaneet rond een zonachtige ster ontdekt?	In what year was the first exoplanet discovered around a sun-like star?
	Hoeveel liter zuurstof ademt een mens gemiddeld per dag in?	How many liters of oxygen does a human breathe on average a day?
	Hoeveel stations heeft de New York City Subway?	How many stations does the New York City Subway have?
	Hoeveel procent van de lucht bestaat uit stikstof?	How much of the air is nitrogen?
	Hoeveel delen bevat Plato’s De Staat?	How many parts does Plato... the State contain?
	In welk jaar voer de eerste moderne onderzeeër succesvol?	What year was the first modern submarine successful?
	Hoeveel vierkante centimeter is de totale oppervlakte van je huid?	How many square centimeters is the total area of your skin?
	Wat is de geschatte temperatuur aan het oppervlak van de zon?	What is the estimated temperature at the surface of the sun?
GEEN	Hoeveel UNESCO-werelderfgoedlocaties heeft Duitsland (stand 2026)?	
	Hoeveel procent van het lichaam was bedekt met tatoeages bij de meest getatoeëerde man?	How many percent of the body was covered in tattoos with the most tattooed man?
GEEN	In welk jaar werd Nelson Mandela vrijgelaten uit de gevangenis?	
	Hoeveel treden heeft de trap van de CN Tower ongeveer?	How many steps does the staircase of the CN Tower have about?
	Hoeveel kilometer lang is de Mississippi ongeveer?	How many kilometres is the Mississippi about?
GEEN	Hoeveel meter lang is de Golden Gate Bridge?	
GEEN	In welk jaar werd Mexico onafhankelijk van Spanje?	
	Hoe zwaar was de zwaarste schildpad ooit in kilogram?	How heavy was the toughest turtle ever in kilograms?
	Hoeveel officiële inwoners heeft Vaticaanstad?	How many official residents does Vatican City have?
	Hoeveel Starbucks-winkels zijn er wereldwijd ongeveer?	How many Starbucks stores around the world?
GEEN	Hoeveel mensen bezochten de Wereldtentoonstelling van 1889 in Parijs?	
	Hoeveel soldaten telde het Franse leger bij Waterloo ongeveer?	How many soldiers did the French army count at Waterloo?
GEEN	Hoeveel ton ijzer werd gebruikt voor de Eiffeltoren?	
	Hoeveel studioalbums bracht Michael Jackson uit?	How many studio albums did Michael Jackson release?
	Hoeveel gram weegt een standaard Mars reep?	How many grams does a standard Mars bar weigh?
	Hoeveel hoofdgoden telt de Griekse mythologie op de berg Olympus (de Twaalf Olympiërs)?	How many chief gods do Greek mythology count on Mount Olympus (the Twelve Olympics)?
GEEN	Hoeveel nationale parken telt de Verenigde Staten?	
	Hoeveel zuilen heeft de Grote Zuilenzaal van de Tempel van Karnak ongeveer?	How many columns does the Great Pillar Hall of the Temple of Karnak have about?
	Hoeveel toetsen heeft een standaard computertoetsenbord ongeveer?	How many keys does a standard computer keyboard have about?
	Welk percentage van het zoete water bevindt zich in grondwater?	What percentage of fresh water is in groundwater?
	Hoeveel damstenen krijgt iedere speler bij de start van een standaard damspel?	How many checkers does each player get at the start of a standard checker?
	Hoeveel boeken bevat de Griekse eposreeks Ilias?	How many books does the Greek epic series Ilias contain?
	Hoeveel IKEA-winkels zijn er wereldwijd ongeveer?	How many IKEA stores are there around the world?
GEEN	Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?	
	Hoeveel landen liggen aan de Adriatische Zee?	How many countries are on the Adriatic?
	Hoeveel strijkkwartetten componeerde Beethoven?	How many string quartets did Beethoven compose?
GEEN	In welk jaar werd Bolivia onafhankelijk van Spanje?	
	Hoeveel aardse uren duurt één volledige draai van Jupiter ongeveer?	How many earthly hours does one complete spin of Jupiter take about?
	In welk jaar reed de eerste elektrische auto?	What year was the first electric car driving?
GEEN	Hoeveel meter hoog is de Cairo Tower?	
	Hoeveel jaar kan een reuzenschildpad ongeveer oud worden?	How many years can a giant turtle grow about old?
	Hoeveel genummerde vakjes heeft een Europees roulettewiel, inclusief 0?	How many numbered boxes has a European roulette wheel, including 0?
	Hoeveel chemische elementen telt het huidige periodiek systeem?	How many chemical elements does the current periodic table have?
	Hoeveel boeken bevat de originele The Hunger Games-trilogie?	How many books does the original The Hunger Games trilogy contain?
	Hoeveel treden telt de wenteltrap in het Vrijheidsbeeld naar de kroon?	How many steps does the spiral staircase in the Statue of Liberty have to the crown?
	Hoeveel actieve vulkanen zijn er op aarde naar schatting?	How many active volcanoes are estimated on Earth?
GEEN	Hoeveel kilogram rundvlees eet een Argentijn per jaar?	
	Hoeveel boeken bevat het Nieuwe Testament?	How many books does the New Testament contain?
	In welk jaar werd Brazilië officieel onafhankelijk van Portugal?	In what year did Brazil officially become independent of Portugal?
	Hoeveel meter hoog zijn de torens van de Brooklyn Bridge?	How many meters high are the towers of the Brooklyn Bridge?
	In welk jaar werd de eerste radio-uitzending gemaakt?	What year was the first radio broadcast made?
	Wat is de dakhoogte van het Empire State Building in New York in meters?	What is the roof height of the Empire State Building in New York in metres?
	Hoe zwaar was de zwaarste hond ooit in kilogram?	How heavy was the toughest dog ever in kilograms?
	Hoeveel vakjes telt het speelbord van Scrabble in totaal?	How many boxes does the Scrabble game board have in total?
GEEN	Hoeveel bekende manen heeft Saturnus (stand 2026)?	
	Hoeveel hoofdstukken bevat Animal Farm?	How many chapters does Animal Farm contain?
GEEN	Hoeveel kilometer lang is de Donau?	
	Hoe groot was het grootste permanente IMAX-scherm in vierkante meter?	How big was the largest permanent IMAX screen in square meters?
	Hoeveel medeklinkerletters heeft het Thaise alfabet?	How many consonant letters does the Thai alphabet have?
	Hoeveel boeken bevat de Hebreeuwse Bijbel volgens de joodse indeling?	How many books does the Hebrew Bible contain according to the Jewish format?
	Wat is de snelheid van het geluid in droge lucht bij 20°C in km/u?	What is the speed of sound in dry air at 20°C in km/h?
	Hoeveel kilocalorieën bevat een Amerikaanse McDonald’s Big Mac?	How many kilocalories does an American McDonald's Big Mac contain?
	In welk jaar vond de Slag bij Waterloo plaats?	What year did the Battle of Waterloo take place?
	In welk jaar werd de eerste volledige kaart van de wereldbol gemaakt?	In what year was the first complete map of the globe made?
	Hoe groot was de grootste pizza ooit in vierkante meter?	How big was the biggest pizza ever in square meters?
	Hoeveel uren duurde de historische Apollo 11-missie naar de maan?	How many hours did the historic Apollo 11 mission to the moon last?
	Hoeveel eitjes kan een koninginnenbij per dag leggen?	How many eggs can a queen bee lay a day?
	Hoeveel boeken bevat de protestantse Bijbel?	How many books does the Protestant Bible contain?
	Wat is de capaciteit van het Narendra Modi Stadium in India?	What is the capacity of Narendra Modi Stadium in India?
	Hoeveel liter water stroomt er gemiddeld per seconde over de Niagarawatervallen?	How many liters of water on average per second flows over the Niagara Falls?
GEEN	Hoeveel minuten duurt de film Avatar: The Way of Water?	
	Hoeveel kilogram weegt de Moai-beelden op Paaseiland gemiddeld?	How many kilograms does the Moai statues weigh on Easter Island on average?
	Welk percentage van het aardoppervlak bestaat uit oceanen en zeeën?	What percentage of the Earth's surface is oceans and seas?
GEEN	Hoeveel miljoen inwoners heeft Colombia?	
	Hoe lang was de langste kat ooit in centimeters?	How long was the longest cat ever in centimeters?
	Wat is de lengte van het Panamakanaal van de Atlantische naar de Stille Oceaan in km?	What is the length of the Panama Canal from the Atlantic to the Pacific in km?
GEEN	Hoeveel miljoen zakken koffie produceert Brazilië per jaar?	
	Hoeveel botten heeft een volwassen menselijke schedel volgens de gebruikelijke anatomische indeling?	How many bones does an adult human skull have according to the usual anatomical classification?
	Hoeveel centimeter breed is de Mona Lisa?	How many centimeters is the Mona Lisa?
	Hoeveel bloedgroepen kent het ABO-systeem?	How many blood types does the ABO system know?
GEEN	Hoeveel miljoen inwoners heeft Brazilië?	
	Hoeveel procent van Antarctica is met ijs bedekt?	What percent of Antarctica is covered in ice?
	Hoeveel procent van het Great Barrier Reef bestaat uit koraalriffen?	What percent of the Great Barrier Reef is made up of coral reefs?
	Hoeveel afleveringen telt de originele Britse serie The Office (inclusief specials)?	How many episodes does the original British series The Office (including specials) have?
	Hoeveel wervels telt de menselijke wervelkolom in totaal?	How many vertebrae does the human spine have in total?
	Hoe lang duurde de langste voetbalwedstrijd ooit in minuten?	How long did the longest football game ever last in minutes?
	Hoeveel afleveringen telt de serie Friends in totaal?	How many episodes does the series Friends total?
	Hoeveel afleveringen telt de serie Seinfeld?	How many episodes does the Seinfeld series have?
	Hoeveel procent van de wereldbevolking werkt direct of indirect in de landbouw?	How many percent of the world's population work directly or indirectly in agriculture?
	Hoeveel sonnetten schreef Shakespeare?	How many sonnets did Shakespeare write?
	Hoeveel vakken heeft een klassieke eierdoos meestal?	How many boxes does a classic egg box usually have?
GEEN	Hoeveel dagvlindersoorten komen voor in Nederland?	
	Hoeveel kilometer lang is het Baikalmeer ongeveer?	How many kilometres is Lake Baikal?
	Hoeveel dagen duurt de zwangerschap van een schaap?	How many days does a sheep's pregnancy last?
	Hoeveel boeken bevat The Chronicles of Narnia?	How many books does The Chronicles of Narnia contain?
	Hoeveel procent van de atmosfeer bestaat ongeveer uit zuurstof?	What percent of the atmosphere is about oxygen?
	In welk jaar werd de eerste trans-Atlantische vlucht voltooid?	In what year was the first transatlantic flight completed?
	Hoeveel procent van het aardoppervlak bestaat uit water en land samen?	How much of the earth's surface is water and land together?
	In welk jaar werd de eerste foto van een zwart gat gepubliceerd?	In what year was the first photo of a black hole published?
	Hoe lang duurde de langste plank ooit in minuten?	How long did the longest shelf ever last in minutes?
	Hoeveel biljoen bacteriën leven er naar schatting in en op het menselijk lichaam?	How many trillion bacteria live in and on the human body?
	Hoeveel meter hoog is One World Trade Center?	How many metres tall is One World Trade Center?
	Hoeveel dagen duurde de reis van de Mayflower naar Noord-Amerika?	How many days did the Mayflower travel to North America?
	Hoeveel letters heeft het Turkse alfabet?	How many letters does the Turkish alphabet have?
	In welk jaar vertrok de eerste commerciële passagiersvlucht?	What year did the first commercial passenger flight leave?
	Hoeveel liter water is volgens de gangbare berekening nodig om één kilogram rundvlees te produceren?	How many litres of water is required according to the usual calculation to produce one kilogram of beef?
	Hoeveel kilogram weegt een gemiddeld stenen blok van de Piramide van Cheops?	How many kilograms weigh an average stone block of the Pyramid of Cheops?
	Hoeveel seizoenen heeft The Sopranos?	How many seasons does The Sopranos have?
	Hoe lang is de langste levende vrouw in centimeters?	How long is the longest living woman in centimetres?
	In welk jaar begon de Franse Revolutie?	What year did the French Revolution begin?
GEEN	In welk jaar werd Facebook opgericht?	
	In welk jaar vond de kernramp in Tsjernobyl plaats?	What year did the Chernobyl nuclear disaster take place?
	Hoeveel electorale stemmen heeft Texas (2024)?	How many electoral votes does Texas (2024) have?
GEEN	In welk jaar werd Sony opgericht?	
	Hoeveel leden telt het Britse House of Commons?	How many members does the British House of Commons have?
GEEN	Hoeveel kilogram weegt een volwassen witte neushoorn?	
	Hoeveel Aardes passen er qua volume in de Zon?	How many Earths do the Sun fit in volume?
	Hoeveel zware stenen kalksteenblokken zijn er gebruikt om de Grote Piramide van Gizeh (Cheops) te bouwen?	How many heavy stone limestone blocks have been used to build the Great Pyramid of Giza (Cheops)?
GEEN	Hoeveel bekende manen heeft de planeet Jupiter officieel (stand 2026)?	
	Hoeveel liter soep bevatte de grootste kom soep ooit?	How many liters of soup did the biggest bowl of soup ever contain?
	Hoeveel pianoconcerten componeerde Mozart volgens de nummering voor solo piano en orkest?	How many piano concerts did Mozart compose according to the numbering for solo piano and orchestra?
	Hoeveel kilometer per uur waait wind bij windkracht 8 volgens de schaal van Beaufort?	How many kilometres per hour does wind blow at wind force 8 according to the scale of Beaufort?
	Hoeveel verdiepingen heeft Taipei 101?	How many floors does Taipei 101 have?
	Hoeveel afleveringen telt de Amerikaanse versie van The Office?	How many episodes does the American version of The Office have?
	Hoeveel delen bevat Don Quichot?	How many parts does Don Quixote contain?
GEEN	Hoeveel kilometer lang is de Elfstedentocht?	
	Hoeveel gram koffie gebruikt een standaard espresso van 25 ml?	How many grams of coffee does a standard 25 ml espresso use?
	Hoeveel boeken bevat de Harry Potter-hoofdserie?	How many books does the Harry Potter main series contain?
GEEN	Hoeveel landen telt Azië?	
	Hoeveel landen heeft Coca-Cola als afzetmarkt ongeveer?	How many countries have Coca-Cola as a market?
	Hoeveel pionnen bevat een klassieke Monopoly-set volgens de moderne standaarduitvoering?	How many pawns does a classic Monopoly set contain according to the modern standard version?
	Hoeveel millimeter per jaar verschuiven de aardplaten gemiddeld?	How many millimeters per year do the earthplates shift on average?
	Hoeveel verdiepingen heeft de Burj Khalifa?	How many floors does the Burj Khalifa have?
	Hoeveel kilometer lang is het Victoriameer ongeveer?	How many kilometres is Lake Victoria?
	Hoeveel vel papier zitten er in een standaard riem printpapier?	How many sheets of paper are in a standard belt printed paper?
	Hoeveel kilometer lang is de Grand Canyon ongeveer?	How many kilometres is the Grand Canyon about?
	Hoeveel meter lang is een officiële atletiekbaan op de binnenbaan?	How many meters long is an official track on the court?
	Hoeveel chromosomen telt een gezonde menselijke cel?	How many chromosomes does a healthy human cell have?
	Hoeveel duizend keer klopt een mensenhart per dag (bij rust)?	How many thousand times does a human heart beat a day (at rest)?
	Hoeveel landen telt de Schengenzone?	How many countries is the Schengen area?
	Hoeveel afzonderlijke riffen omvat het Great Barrier Reef ongeveer?	How many separate reefs does the Great Barrier Reef include?
	Hoeveel piercings had de persoon met de meeste piercings ooit?	How many piercings did the person with the most piercings ever have?
	Hoeveel films telt de originele Back to the Future-trilogie?	How many films does the original Back to the Future trilogy have?
GEEN	Hoeveel zetels telt het Australische Huis van Afgevaardigden?	
	Hoeveel megabytes zitten er volgens de binaire definitie in één gigabyte?	How many megabytes are in one gigabyte according to the binary definition?
	Hoeveel eilanden omvat het Great Barrier Reef Marine Park ongeveer?	How many islands does the Great Barrier Reef Marine Park comprise?
	In welk jaar werd de eerste vlucht rond de wereld voltooid?	In what year was the first flight around the world completed?
	In welk jaar werd de eerste reageerbuisbaby geboren?	What year was the first test tube baby born?
	In welk jaar werd de eerste barcode in een winkel gescand?	What year was the first barcode scanned in a store?
	Hoeveel hoofdeilanden heeft Japan?	How many main islands does Japan have?
	Hoeveel koppen had Cerberus, de mythologische hond die de onderwereld bewaakt?	How many heads did Cerberus have, the mythological dog guarding the underworld?
GEEN	Hoeveel leden telt het Amerikaanse Huis van Afgevaardigden?	
	Hoeveel marathons liep de persoon met het record voor de meeste marathons?	How many marathons did the person record for most marathons?
GEEN	In welk jaar werd Nigeria onafhankelijk?	
	Hoeveel straten, stations en nutsbedrijven kun je kopen op een klassiek Monopoly-bord?	How many streets, stations and utilities can you buy on a classic Monopoly board?
	Hoeveel kcal heeft een middelgroot ei?	How much kcal has a medium-sized egg?
GEEN	Hoeveel meter hoog is de Tokyo Tower?	
	In welk jaar werd de eerste röntgenfoto gemaakt?	What year was the first X-ray taken?
GEEN	Hoeveel meter hoog is Mount Kosciuszko, het hoogste punt van Australië?	
	Hoeveel treden heeft de Burj Khalifa in Dubai?	How many steps does the Burj Khalifa have in Dubai?
GEEN	Hoeveel eilanden telt het Great Barrier Reef?	
	In welk jaar werd de eerste Bitcoin-transactie uitgevoerd?	In what year was the first Bitcoin transaction executed?
	Hoeveel artikelen bevat de Nederlandse Grondwet?	How many articles does the Dutch Constitution contain?
	Hoeveel haren heeft een mens gemiddeld op zijn hoofd (afgerond)?	How many hairs does a man have on average on his head (rounded)?
	Hoeveel vierkante kilometer is Antarctica ongeveer groot?	How many square kilometres is Antarctica about large?
	Hoeveel ton weegt de Eiffeltoren in totaal?	How many tons does the Eiffel Tower weigh?
	Hoeveel landen grenzen aan de Dode Zee?	How many countries border the Dead Sea?
	Hoeveel is de som van de getallen 1 tot en met 100?	What is the sum of the numbers 1 to 100?
	Hoeveel protonen heeft een neutraal atoom van wolfraam?	How many protons has a neutral atom of tungsten?
	Hoeveel diagonalen heeft een regelmatige twintighoek?	How many diagonals has a regular 20-angle?
	Hoeveel stippen (inclusief de 4 grote power pellets) moet Pac-Man opeten om een level uit te spelen?	How many dots (including the 4 large power pellets) should Pac-Man eat to play a level?
GEEN	Hoeveel meter hoog is de Grote Piramide van Gizeh nu?	
	Hoeveel schepen telde de Spaanse Armada volgens de gebruikelijke telling?	How many ships did the Spanish Armada count according to the usual count?
	Hoeveel spelers staan er per team op het veld bij honkbal?	How many players per team are on the field at baseball?
	Hoeveel meter is de afstand van de Olympische mannen-hordensprint?	How many meters is the distance from the Olympic men's horden sprint?
	Hoeveel landen grenzen aan Zwitserland?	How many countries border on Switzerland?
	Hoeveel passagiers kan een Boeing 777-300ER maximaal vervoeren?	How many passengers can a Boeing 777-300ER carry?
	Hoeveel boeken bevat de Koran?	How many books does the Qur'an contain?
	Hoeveel facetten (geslepen vlakjes) heeft een standaard ronde briljant geslepen diamant?	How many facets (cut flats) has a standard round brilliant cut diamond?
	Hoeveel bogen heeft de Sydney Harbour Bridge?	How many arches does the Sydney Harbour Bridge have?
	Hoeveel kamers heeft de maag van een koe?	How many rooms does a cow's stomach have?
GEEN	Hoeveel kilometer lang is de Rijn?	
	Hoeveel kilometer per uur is de geluidssnelheid op zeeniveau afgerond?	How many kilometers per hour is the sound speed at sea level rounded?
GEEN	Hoeveel eilanden telt Fiji?	
GEEN	Hoeveel UNESCO-werelderfgoedlocaties heeft China (stand 2026)?	
	Hoeveel stations heeft de Londense Underground?	How many stations does the London Underground have?
	Hoeveel speelvelden heeft een standaard schaakbord?	How many playing fields does a standard chess board have?
