nr	modus	vraag	bestandsnaam	wikipedia-artikel
23	puzzel	Hoeveel treden heeft de trap van de CN Tower ongeveer?	Toronto - ON - CN Tower bei Nacht2.jpg	CN Tower
24	puzzel	Hoeveel treden heeft het Empire State Building van straatniveau tot het observatiedek?	Empire State Building from Rockefeller Center (51197886181) (cropped).jpg	Empire State Building
25	puzzel	Hoeveel verdiepingen hebben de Petronas Twin Towers?	Petronas Panorama II.jpg	Petronas Twin Towers
26	puzzel	Hoeveel verdiepingen heeft Taipei 101?	Taipei Skyline 2022.06.29.jpg	Taipei
31	puzzel	Hoeveel kilometer lang is het Baikalmeer ongeveer?	Baikal.A2001296.0420.250m-NASA.jpg	Baikalmeer
32	puzzel	Hoeveel landen grenzen aan Zwitserland?	Flag of Switzerland (Pantone).svg	Zwitserland
35	puzzel	Hoeveel procent van Antarctica is met ijs bedekt?	Antarctica (orthographic projection).svg	Antarctica
36	puzzel	In welk jaar werd Antarctica voor het eerst waargenomen door een expeditie?	Antarctica (orthographic projection).svg	Antarctica
38	puzzel	Hoeveel dagen duurde de reis van de Mayflower naar Noord-Amerika?	Location North America, all conceptions.svg	Noord-Amerika
40	puzzel	In welk jaar vond de Slag bij Waterloo plaats?	Caletones.jpg	Slag
45	puzzel	Hoeveel ton goud wordt wereldwijd jaarlijks gewonnen?	Gold-crystals.jpg	Goud
46	puzzel	Welk percentage van het wereldwijde cement wordt geproduceerd in China?	The Great Wall pic 1.jpg	China
49	puzzel	Hoeveel procent van de bekende plant- en diersoorten leeft in tropische regenwouden?	View from Bukit Terisek.jpg	Regenwoud
53	puzzel	Welk percentage van het zoete water zit vast in ijs en gletsjers?	Glaciar Vinciguerra.jpg	Gletsjer
55	puzzel	Hoeveel Grammy’s heeft Beyoncé volgens de stand na de Grammy Awards van 2025 gewonnen?	Beyoncé - Tottenham Hotspur Stadium - 1st June 2023 (71 of 118) (52945301662) (face cropped).jpg	Beyoncé
57	puzzel	Hoeveel toetsen heeft een standaard MIDI-pianotoetsenbord met vijf octaven?	Octaaf0320w.JPG	Octaaf (muziek)
58	puzzel	Hoeveel witte toetsen heeft een concertpiano?	Keith Jarrett - The Köln Concert 1975 - Vinyl side I.jpg	The Köln Concert
59	puzzel	Hoeveel kilometer per uur is de geluidssnelheid op zeeniveau afgerond?	Trends in global average absolute sea level, 1880-2013.png	Zeeniveau
65	puzzel	Hoeveel rechters telt het Internationaal Gerechtshof?	International Court of Justice Seal.svg	Internationaal Gerechtshof
67	puzzel	Hoe lang duurde de langste voetbalwedstrijd ooit in minuten?	Football in Bloomington, Indiana, 1995.jpg	Voetbal
69	puzzel	Hoe lang was de langste vrouw ooit in centimeters?	Venus symbol.svg	Vrouw
73	puzzel	Hoeveel protonen heeft een neutraal atoom van goud?	Gold-crystals.jpg	Goud
74	puzzel	Hoeveel LEGO-steentjes worden er wereldwijd per seconde gemaakt?	Lego Color Bricks.jpg	LEGO
76	puzzel	Hoeveel speelkaarten zitten er in een standaard kaartspel (zonder jokers)?	White jk b.svg	Jokeren
77	puzzel	Hoeveel etappes telt de Tour de France doorgaans?	Flag of France.svg	France
79	puzzel	Hoeveel spelers staan er per team op het veld bij honkbal?	Baseballpositions.png	Honkbal
92	puzzel	In welk jaar werd de eerste drukpers met losse letters in Europa gebruikt?	Europe (orthographic projection).svg	Europa (werelddeel)
97	puzzel	Hoeveel metrostations heeft de Parijse metro?	La Tour Eiffel vue de la Tour Saint-Jacques, Paris août 2014 (2).jpg	Parijs
98	puzzel	Hoeveel start- en landingsbanen heeft Schiphol?	AMS airport logo.svg	Luchthaven Schiphol
99	puzzel	Hoeveel wielen heeft een Airbus A380?	A6-EDY A380 Emirates 31 jan 2013 jfk (8442269364) (cropped).jpg	Airbus A380
103	puzzel	Hoeveel diagonalen heeft een regelmatige twintighoek?	Icosagon.svg	Twintighoek
107	puzzel	Hoeveel botten bevat één menselijke hand inclusief de pols?	Human skeleton front en.svg	Bot (anatomie)
113	puzzel	Hoeveel chromosomenparen heeft een mens?	Human.svg	Mens
114	puzzel	Hoeveel haren heeft een mens gemiddeld op zijn hoofd (afgerond)?	Human.svg	Mens
116	puzzel	Hoeveel kamers heeft het menselijk hart?	Anatomy Heart Latin Tiesworks.jpg	Hart
117	puzzel	Hoeveel melktanden heeft een kind in een compleet melkgebit?	Deciduous teeth by David Shankbone new.jpg	Melkgebit
121	puzzel	Hoeveel smaakpapillen heeft een menselijke tong ongeveer?	Female anatomy numbers 1.png	Menselijke vagina
124	puzzel	In welk jaar werd de eerste reageerbuisbaby geboren?	Lambing in England -10March2012 (2).jpg	Geboorte (leven)
127	puzzel	In welk jaar werd de eerste volledige sequentie van het menselijke genoom gepubliceerd?	Part of DNA sequence prototypification of complete genome of virus 5418 nucleotides.gif	Genoom
129	puzzel	Hoe lang is de Afsluitdijk in kilometers?	Afsluitdijk kaart OSM.jpg	Afsluitdijk
130	puzzel	Hoeveel boeken bevat The Chronicles of Narnia?	Books-bookshelf-bookstore-159778.jpg	De Kronieken van Narnia
132	puzzel	Hoeveel boeken bevat de gepubliceerde hoofdserie A Song of Ice and Fire (stand 2026)?	Earth & Fire.png	Earth & Fire
138	puzzel	Hoeveel komedies schreef Shakespeare volgens de traditionele genre-indeling?	Shakespeare.jpg	William Shakespeare
144	puzzel	In welk jaar werd de eerste moderne krant gepubliceerd?	Amsterdam Wibautstraat Trouw 001.JPG	Trouw (krant)
145	puzzel	Hoeveel kleuren heeft de vlag van België?	Flag of Belgium.svg	België
146	puzzel	Hoeveel poten heeft een standaard statief?	Alfred Stieglitz self-portrait, freienwald, 1886.jpg	Statief
148	puzzel	Hoeveel armen heeft de gewone vijfarmige zeester?	海星（正面）.JPG	Zeesterren
150	puzzel	Hoeveel bulten heeft een kameel?	2011 Trampeltier 1528.JPG	Kameel
155	puzzel	Hoeveel keer per minuut klopt het hart van een kolibrie tijdens het vliegen maximaal?	Chrysops.relictus.male.jpg	Vliegen (dieren)
161	puzzel	Hoeveel paar chromosomen heeft een kat?	Chromosoom Dutch text.png	Chromosoom
169	puzzel	Hoeveel EU-landen voerden de euro in bij de start van de euro in 1999?	Flag of Europe.svg	Europese Unie
171	puzzel	Hoeveel individuele landen telt de G20?	2025 G20 Johannesburg summit Family Photo.jpg	G20
172	puzzel	Hoeveel landen gebruiken de CFA-frank in West- en Centraal-Afrika samen?	Africa-countries-central.svg	Centraal-Afrika
174	puzzel	Hoeveel landen vormen de G20?	2025 G20 Johannesburg summit Family Photo.jpg	G20
175	puzzel	Hoeveel landen zijn lid van de G20?	2025 G20 Johannesburg summit Family Photo.jpg	G20
179	puzzel	Hoeveel procent bedraagt het standaard-btw-tarief in Duitsland?	Flag of Germany.svg	Duitsland
182	puzzel	Hoeveel basis-ingrediënten heeft een klassieke pizza Margherita?	Margherita - Five50 Aria.jpg	Pizza margherita
185	puzzel	Hoeveel gram koolhydraten bevat een Amerikaanse McDonald’s cheeseburger?	McDonald's Golden Arches.svg	McDonald's
193	puzzel	Hoeveel Oscars won The Lord of the Rings: The Return of the King?	Unico Anello.jpg	The Lord of the Rings (films)
195	puzzel	Hoeveel afleveringen telt de Amerikaanse versie van The Office?	Flag of the United States.svg	Verenigde Staten
199	puzzel	Hoeveel afleveringen telt de serie Seinfeld?	Seinfeld logo.svg	Seinfeld
200	puzzel	Hoeveel boeken bevat de originele The Hunger Games-trilogie?	4DX 2019 logo.svg	List of 4DX motion-enhanced films
201	puzzel	Hoeveel delen telt de originele The Godfather-filmreeks?	Talia Shire 1977.jpg	Talia Shire
204	puzzel	Hoeveel films telt de originele The Matrix-trilogie?	Nintendo-Game-Boy-Advance-Purple-FL.jpg	List of Game Boy Advance games
205	puzzel	Hoeveel films vormen de originele Jurassic Park-trilogie?	Kathleen Kennedy 2011.jpg	Kathleen Kennedy (filmproducent)
206	puzzel	Hoeveel seizoenen heeft The Sopranos?	Tony Soprano (The Sopranos Family Tree).jpg	The Sopranos
207	puzzel	Hoeveel seizoenen van The Simpsons waren er uitgezonden (stand 2026)?	Simpsons Statues (cropped).jpg	The Simpsons
208	puzzel	In hoeveel officiële James Bond-films speelde Sean Connery de hoofdrol?	Sean Connery (1983).jpg	Sean Connery
223	puzzel	Hoeveel jaar duurde de bouw van de Taj Mahal?	Taj Mahal, Agra, India edit3.jpg	Taj Mahal
224	puzzel	Hoeveel kamers heeft het Witte Huis?	US-WhiteHouse-Logo.svg	Witte Huis (Washington)
225	puzzel	Hoeveel kilogram weegt de Great Bell, de grote klok van Big Ben?	Big-ben-1858.jpg	Big Ben
227	puzzel	Hoeveel klinknagels zaten er naar schatting in de romp van de Titanic?	RMS Titanic 3.jpg	Titanic (schip, 1912)
232	puzzel	Hoeveel meter hoog is het Empire State Building inclusief antenne?	Empire State Building from Rockefeller Center (51197886181) (cropped).jpg	Empire State Building
238	puzzel	Hoeveel miljoen kubieke meter aarde werd er uitgegraven voor de bouw van het Panamakanaal?	Panama Canal Map EN.png	Panamakanaal
239	puzzel	Hoeveel minaretten heeft de Blauwe Moskee in Istanbul?	Sultan Ahmed Mosque Istanbul Turkey retouched.jpg	Sultan Ahmetmoskee
247	puzzel	Hoeveel treden telt de wenteltrap in het Vrijheidsbeeld naar de kroon?	Statue of Liberty 7.jpg	Vrijheidsbeeld (New York)
252	puzzel	Uit hoeveel afzonderlijke onderdelen bestaat de UNESCO-site van Le Corbusier?	Le Corbusier (1964).jpg	Le Corbusier
254	puzzel	Wat is de hoogte van de Eiffeltoren in meters (met antenne)?	Tour Eiffel Wikimedia Commons.jpg	Eiffeltoren
255	puzzel	Wat is de hoogte van het Vrijheidsbeeld in New York inclusief sokkel in meters?	View of Empire State Building from Rockefeller Center New York City dllu (cropped).jpg	New York (stad)
257	puzzel	Door hoeveel landen loopt het UNESCO-werelderfgoedgebied de Waddenzee?	Morze Wattowe.png	Waddenzee
262	puzzel	Hoeveel gewesten heeft België?	Flag of Belgium.svg	België
264	puzzel	Hoeveel inwoners heeft Monaco?	Flag of Monaco.svg	Monaco
265	puzzel	Hoeveel kilometer lang is Japan van noord naar zuid ongeveer?	Flag of Japan.svg	Japan
268	puzzel	Hoeveel kilometer lang is de Yangtze ongeveer?	Yangtze River Map.png	Yangtze
270	puzzel	Hoeveel kilometer lang is de kustlijn van Noorwegen ongeveer, inclusief eilanden?	Flag of Norway.svg	Noorwegen
273	puzzel	Hoeveel kilometer lang is het Himalayagebergte ongeveer?	Hymalayas 86.15103E 31.99726N.jpg	Himalaya
278	puzzel	Hoeveel landen grenzen aan de Rode Zee?	Red Sea 37.95521E 21.41271N.jpg	Rode Zee
282	puzzel	Hoeveel landen liggen aan het Meer van Genève?	Genfersee satellit.jpg	Meer van Genève
286	puzzel	Hoeveel landen telt de Schengenzone?	Schengen Area participation.svg	Verdragen van Schengen
290	puzzel	Hoeveel meter onder zeeniveau ligt het diepste punt van de Noordzee ongeveer?	Locatie Noordzee.PNG	Noordzee
294	puzzel	Hoeveel oorspronkelijke meetpunten van de Struve-geodetische boog zijn als UNESCO-onderdeel opgenomen?	Welterbe.svg	Werelderfgoedlijst
296	puzzel	Hoeveel tijdzones overspant Rusland over zijn gehele grondgebied?	Flag of Russia.svg	Rusland
298	puzzel	Hoeveel vierkante kilometer is de Noordzee ongeveer groot?	Locatie Noordzee.PNG	Noordzee
302	puzzel	Hoeveel vierkante kilometer is het Arctische zee-ijs in de zomer ongeveer minimaal?	Arctic circle.svg	Noordpoolgebied
305	puzzel	In welk jaar werd de Mount Everest voor het eerst succesvol beklommen?	Mt Everest Aerial.jpg	Mount Everest
307	puzzel	Op welke hoogte ligt het Titicacameer ongeveer boven zeeniveau?	Lake Titicaca map.png	Titicacameer
311	puzzel	Hoeveel chromosomen telt een gezonde menselijke cel?	Female anatomy numbers 1.png	Menselijke vagina
312	puzzel	Hoeveel componenten telt het UNESCO-deel van de Neder-Germaanse Limes?	Limes1.png	Neder-Germaanse limes
315	puzzel	Hoeveel farao’s waren er volgens de traditionele telling tijdens de 18e dynastie van Egypte?	Flag of Egypt.svg	Egypte (land)
320	puzzel	Hoeveel kilometer lang was de Romeinse rijksgrens, de Roman Limes, volgens UNESCO ongeveer?	Exercitus romanus 80AD png.png	Limes (Romeinse rijk)
321	puzzel	Hoeveel koloniën kwamen in 1776 in opstand tegen Groot-Brittannië?	Flag of Great Britain (1707–1800).svg	Koninkrijk Groot-Brittannië
322	puzzel	Hoeveel letters telt ons Latijnse alfabet?	Arco Sisto V targa M.jpg	Latijn
324	puzzel	Hoeveel oorspronkelijke koloniën vormden de Verenigde Staten?	Flag of the United States.svg	Verenigde Staten
329	puzzel	Hoeveel schepen werden ingezet bij de evacuatie van Duinkerke?	BeffroiDunkerque.JPG	Duinkerke
330	puzzel	Hoeveel soldaten namen aan beide kanten samen deel aan de Slag bij Waterloo?	Caletones.jpg	Slag
337	puzzel	In welk jaar bereikte Christoffel Columbus volgens de traditionele Europese geschiedschrijving Amerika?	Christopher Columbus.PNG	Christoffel Columbus
338	puzzel	In welk jaar eindigde de Tweede Wereldoorlog in Europa?	WW2Montage.PNG	Tweede Wereldoorlog
344	puzzel	Wat is de autorij-afstand van Amsterdam naar Parijs in km?	La Tour Eiffel vue de la Tour Saint-Jacques, Paris août 2014 (2).jpg	Parijs
351	puzzel	Hoeveel landen ondertekenden de UNESCO-grondwet in 1945?	Map of UNESCO Intangible cultural heritage (en).png	Representatieve lijst van het immaterieel cultureel erfgoed van de mensheid
353	puzzel	Hoeveel nationale talen heeft Zuid-Afrika volgens de grondwet?	South Africa (centered orthographic projection).svg	Zuid-Afrika
354	puzzel	Hoeveel schilderijen uit de serie Zonnebloemen maakte Van Gogh?	Vincent van Gogh - Self-Portrait - Google Art Project (454045).jpg	Vincent van Gogh
367	puzzel	Hoeveel IKEA-winkels zijn er wereldwijd ongeveer?	IKEA (8020223012).jpg	IKEA
375	puzzel	Hoeveel procent van het aardoppervlak bestaat uit water en land samen?	H2O 2D labelled.svg	Water
378	puzzel	Hoeveel procent van het wereldwijde waterverbruik gaat naar landbouw?	Unload wheat by the combine Claas Lexion 584.jpg	Landbouw
379	puzzel	Welk percentage van het zoete water bevindt zich in grondwater?	Groundwater flow NL.svg	Grondwater
386	puzzel	Hoeveel Grammy-nominaties had Beyoncé volgens de Grammy’s vóór de uitreiking van 2025?	Barbra Streisand with Francis Collins and Anthony Fauci (27806589237) (cropped).jpg	Barbra Streisand
387	puzzel	Hoeveel noten bevat een standaard majeurtoonladder inclusief het herhaalde octaaf?	Octaaf0320w.JPG	Octaaf (muziek)
388	puzzel	Hoeveel nummers bevatte het album Un Verano Sin Ti van Bad Bunny?	Un Verano Sin Ti logo.png	Un Verano Sin Ti
395	puzzel	Hoeveel studioalbums bracht Michael Jackson uit?	Michael Jackson 1983 (3x4 cropped) (contrast).jpg	Michael Jackson
398	puzzel	Hoeveel toetsen heeft een standaard piano?	Steinway Vienna 002.JPG	Piano
400	puzzel	Hoeveel facetten (geslepen vlakjes) heeft een standaard ronde briljant geslepen diamant?	Brillanten.jpg	Diamant
405	puzzel	Hoeveel meter is één internationale zeemijl exact?	Nautic mile definition v2.png	Zeemijl
413	puzzel	Hoeveel leden heeft de Nederlandse Eerste Kamer?	Logo of the Eerste Kamer.svg	Eerste Kamer der Staten-Generaal
415	puzzel	Hoeveel liter water gebruikt een gemiddeld huishouden per persoon per dag in Nederland?	EU-Netherlands.svg	Nederland
417	puzzel	Hoeveel officiële gemeenten telde Nederland in 2024?	EU-Netherlands.svg	Nederland
419	puzzel	Hoeveel volt heeft een standaard stopcontact in Nederland?	EU-Netherlands.svg	Nederland
422	puzzel	Wat is de autorij-afstand van Amsterdam naar Rome in km?	Trevi Fountain, Rome, Italy 2 - May 2007.jpg	Rome
425	puzzel	Hoeveel artikelen bevat de Franse Verklaring van de Rechten van de Mens en de Burger?	Vallain-liberty.jpg	Franse Revolutie
426	puzzel	Hoeveel artikelen bevat het Handvest van de Verenigde Naties?	United Nations (Member States and Territories).svg	Verenigde Naties
428	puzzel	Hoeveel landen zijn lid van de NAVO?	Flag of NATO.svg	Noord-Atlantische Verdragsorganisatie
429	puzzel	Hoeveel leden telt de Duitse Bondsdag volgens de wettelijke omvang sinds de hervorming?	Deutscher Bundestag logo.svg	Bondsdag
437	puzzel	Hoe hoog was het hoogste paard ooit in centimeters?	Spinvis-Paard.v.Troje14.jpg	Paard
438	puzzel	Hoe klein was het kleinste paard ooit in centimeters?	Spinvis-Paard.v.Troje14.jpg	Paard
439	puzzel	Hoe lang duurde de langste plank ooit in minuten?	Dusheme.jpg	Plank
444	puzzel	Hoe lang was de langste hotdog ooit in meters?	HEMA Hot Dog.jpg	Hotdog
447	puzzel	Hoe oud werd de oudste hond volgens Guinness World Records in jaren?	Ironing guinness 0357.JPG	Guinness Book of Records
449	puzzel	Hoe zwaar was de zwaarste hond ooit in kilogram?	Huskiesatrest.jpg	Hond
454	puzzel	Hoeveel piercings had de persoon met de meeste piercings ooit?	Cas-car.jpg	Piercing
463	puzzel	Hoeveel elektronen heeft een natriumion, Na⁺?	Keukenzout.jpg	Natriumchloride
477	puzzel	Hoeveel Algemeen Fonds-kaarten bevat een klassiek Monopoly-spel?	German Monopoly board in the middle of a game.jpg	Monopoly
481	puzzel	Hoeveel genummerde vakjes heeft een Europees roulettewiel, inclusief 0?	Europe (orthographic projection).svg	Europa (werelddeel)
482	puzzel	Hoeveel kaarten bevat een standaard UNO-deck?	UNO Logo.svg	Uno (card game)
487	puzzel	Hoeveel stippen (inclusief de 4 grote power pellets) moet Pac-Man opeten om een level uit te spelen?	Prickätarpucken.svg	Pac-Man
489	puzzel	Hoeveel straten, stations en nutsbedrijven kun je kopen op een klassiek Monopoly-bord?	German Monopoly board in the middle of a game.jpg	Monopoly
491	puzzel	Hoeveel vakjes heeft een standaard Mens-erger-je-niet-bord?	Mens erger je niet 02.jpg	Mens erger je niet!
493	puzzel	Hoeveel vakken bevat een standaard Monopoly-bord in totaal?	German Monopoly board in the middle of a game.jpg	Monopoly
495	puzzel	Hoeveel cilinders had de Honda RA168E Formule 1-motor uit 1988?	Lando Norris drives the McLaren MCL36 during the 2022 British Grand Prix..jpg	Grand Prix-resultaten van McLaren
499	puzzel	Hoeveel punten levert een safety op bij American football?	Vince Young scores a touchdown in the 2005 Big 12 Championship Game.JPG	American football
503	puzzel	Hoeveel spelers staan er per voetbalteam op het veld?	Football in Bloomington, Indiana, 1995.jpg	Voetbal
504	puzzel	Hoeveel spelers staan er tegelijk op het veld bij basketbal?	Jordan by Lipofsky 16577.jpg	Basketbal
505	puzzel	Hoeveel spelers staan er tegelijk op het veld bij een honkbalwedstrijd?	Baseballpositions.png	Honkbal
506	puzzel	Hoeveel spelers telt een cricketteam op het veld?	Flag of the Netherlands.svg	Nederlands cricketelftal (mannen)
509	puzzel	Hoeveel aardse dagen duurt een jaar op Jupiter ongeveer?	Jupiter.jpg	Jupiter (planeet)
510	puzzel	Hoeveel aardse dagen duurt een jaar op Venus ongeveer?	Venus from Mariner 10.jpg	Venus (planeet)
516	puzzel	Hoeveel bekende manen heeft Saturnus officieel (stand 2026)?	Saturn from Cassini Orbiter (2004-10-06).jpg	Saturnus (planeet)
534	puzzel	Op hoeveel kilometer hoogte boven de aarde draait het ISS gemiddeld?	The station pictured from the SpaceX Crew Dragon 5 (cropped).jpg	ISS (ruimtestation)
539	puzzel	Hoeveel letters had het klassieke Latijnse alfabet?	Arco Sisto V targa M.jpg	Latijn
541	puzzel	Hoeveel letters heeft het Arabische alfabet?	Learning Arabic calligraphy.jpg	Arabisch
543	puzzel	Hoeveel letters heeft het Russische alfabet?	Flag of Russia.svg	Rusland
545	puzzel	Hoeveel medeklinkerletters heeft het Thaise alfabet?	Flag of Thailand.svg	Thailand
547	puzzel	Hoeveel pixels breed is een standaard 4K Ultra HD videoscherm?	Resolution of SD, Full HD, 4K Ultra HD & 8K Ultra HD.svg	Ultra-high-definition television
548	puzzel	Hoeveel toetsen heeft een standaard computertoetsenbord ongeveer?	LenovoKeyboard.jpg	Toetsenbord (computer)
552	puzzel	In welk jaar werd Microsoft Excel voor het eerst uitgebracht?	Microsoft Office Excel (2025–present).svg	Microsoft Excel
554	puzzel	In welk jaar werd de eerste PlayStation uitgebracht?	Black and white Playstation 5 base edition with controller.png	PlayStation 5
563	puzzel	Hoeveel landen grenzen aan Brazilië?	Coat of arms of Brazil.svg	Brazilië
568	puzzel	Hoeveel staten telt Mexico?	Flag of Mexico.svg	Mexico (land)
574	puzzel	Hoeveel meter lang is een Airbus A380 ongeveer?	A6-EDY A380 Emirates 31 jan 2013 jfk (8442269364) (cropped).jpg	Airbus A380
575	puzzel	Hoeveel metrolijnen heeft de New York City Subway?	View of Empire State Building from Rockefeller Center New York City dllu (cropped).jpg	New York (stad)
576	puzzel	Hoeveel metrolijnen heeft de Parijse metro?	La Tour Eiffel vue de la Tour Saint-Jacques, Paris août 2014 (2).jpg	Parijs
583	puzzel	Hoeveel wagons heeft een Eurostar-trein meestal in een volledige standaardtrein?	Eurostar at St Pancras railway station.jpg	Eurostar
589	puzzel	In welk jaar reed de eerste auto met een verbrandingsmotor?	PSM V18 D500 An american internal combustion otto engine.jpg	Verbrandingsmotor
595	puzzel	Hoeveel graden is elke binnenhoek van een regelmatige vijfhoek?	01-Fünfeck simple.svg	Regelmatige vijfhoek
604	puzzel	Hoeveel duizend keer klopt een mensenhart per dag (bij rust)?	Rust programming language black logo.svg	Rust (programmeertaal)
605	puzzel	Hoeveel liter bloed pompt een mensenhart gemiddeld per dag rond?	Venous and arterial blood.jpg	Bloed
607	puzzel	Hoeveel liter zuurstof ademt een mens gemiddeld per dag in?	Human.svg	Mens
609	puzzel	Hoeveel procent van het menselijk lichaam bestaat ongeveer uit water?	H2O 2D labelled.svg	Water
612	puzzel	Hoeveel vierkante centimeter is de totale oppervlakte van je huid?	Light skin and hair.jpg	Huid
617	puzzel	Hoeveel boeken bevat Homerus’ Odyssee?	OdysseyPopeTP1752.jpg	Odyssee
618	puzzel	Hoeveel boeken bevat de Griekse eposreeks Ilias?	La Ilíada (Luis Segalá y Estalella).djvu	Ilias
619	puzzel	Hoeveel boeken bevat de Hebreeuwse Bijbel volgens de joodse indeling?	BijbelvertalingenVUHoofdgebouw.jpg	Bible translations into Dutch
626	puzzel	Hoeveel toneelstukken bevatte de First Folio van Shakespeare?	William Shakespeare - First Folio 1623.jpg	First Folio
627	puzzel	Hoeveel toneelstukken schreef Shakespeare volgens de gangbare telling?	Shakespeare.jpg	William Shakespeare
635	puzzel	Hoeveel centimeter hoog wordt een volwassen emoe?	Dromaius novaehollandiae - 02.jpg	Emoe
636	puzzel	Hoeveel dagen duurt de draagtijd van een olifant ongeveer?	2005-bandipur-tusker.jpg	Olifanten
639	puzzel	Hoeveel eitjes kan een koninginnenbij per dag leggen?	Duck Duck Goose.jpg	Zakdoekje leggen
645	puzzel	Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?	Africa (orthographic projection).svg	Afrika
646	puzzel	Hoeveel kilogram weegt een volwassen Aziatische olifant?	Asia (orthographic projection) without New Guinea.svg	Azië
648	puzzel	Hoeveel kilogram weegt een volwassen nijlpaard?	Nijlpaard.jpg	Nijlpaard
649	puzzel	Hoeveel kilogram weegt een volwassen emoe?	Dromaius novaehollandiae - 02.jpg	Emoe
650	puzzel	Hoeveel kilogram weegt een volwassen giraffe?	Giraffa camelopardalis angolensis.jpg	Giraffen
651	puzzel	Hoeveel kilogram weegt een volwassen mannelijke jaguar?	Jaguar (Panthera onca) frustrated male in "flehmen" attitude ... No mating for now !!! (27806801562).jpg	Jaguar
652	puzzel	Hoeveel kilogram weegt een volwassen witte neushoorn?	Neushoorngr.jpg	Neushoorns
653	puzzel	Hoeveel kilogram weegt een volwassen wombat?	Vombatus ursinus -Maria Island National Park Edit 2.jpg	Wombat
656	puzzel	Hoeveel kilometer per uur sprint een jaguar?	Jaguar (Panthera onca) frustrated male in "flehmen" attitude ... No mating for now !!! (27806801562).jpg	Jaguar
658	puzzel	Hoeveel liter water kan een kameel in één keer drinken?	William-Adolphe Bouguereau (1825-1905) - Thirst (1886).jpg	Drinken
660	puzzel	Hoeveel meter kan een blauwe vinvis ongeveer lang worden?	Blue Whale 001 noaa body color.jpg	Blauwe vinvis
